Albania,albania
Bahrain,bahrain
Cocos (Keeling) Islands,cocos-keeling-islands
Gabon,gabon
Sierra Leone,sierra-leone
Japan,japan
Swaziland,swaziland
Gibraltar,gibraltar
Hungary,hungary
"Macao, SAR China",macao-sar-china
Trinidad and Tobago,trinidad-and-tobago
United States of America,united-states
"Macedonia, Republic of",macedonia
Réunion,réunion
Benin,benin
Papua New Guinea,papua-new-guinea
Somalia,somalia
Czech Republic,czech-republic
Antigua and Barbuda,antigua-and-barbuda
Iceland,iceland
Jamaica,jamaica
Malaysia,malaysia
Saint Vincent and Grenadines,saint-vincent-and-the-grenadines
US Minor Outlying Islands,us-minor-outlying-islands
Comoros,comoros
Isle of Man,isle-of-man
Korea (North),korea-north
Lithuania,lithuania
Pakistan,pakistan
Romania,romania
Belarus,belarus
Gambia,gambia
Mozambique,mozambique
Equatorial Guinea,equatorial-guinea
Nigeria,nigeria
Turks and Caicos Islands,turks-and-caicos-islands
Norway,norway
Palestinian Territory,palestine
Singapore,singapore
Brazil,brazil
Croatia,croatia
Finland,finland
Oman,oman
Puerto Rico,puerto-rico
Uruguay,uruguay
Bosnia and Herzegovina,bosnia-and-herzegovina
French Guiana,french-guiana
Guernsey,guernsey
Moldova,moldova
South Africa,south-africa
"Iran, Islamic Republic of",iran
Viet Nam,vietnam
United Kingdom,united-kingdom
Central African Republic,central-african-republic
Faroe Islands,faroe-islands
Niue,niue
Saint Kitts and Nevis,saint-kitts-and-nevis
Svalbard and Jan Mayen Islands,svalbard-and-jan-mayen-islands
"Tanzania, United Republic of",tanzania
Zimbabwe,zimbabwe
Congo (Kinshasa),congo-kinshasa
Malta,malta
Netherlands,netherlands
Poland,poland
Sri Lanka,sri-lanka
Ethiopia,ethiopia
Saint Pierre and Miquelon,saint-pierre-and-miquelon
Tonga,tonga
South Sudan,south-sudan
Antarctica,antarctica
Austria,austria
Bhutan,bhutan
Guatemala,guatemala
Nauru,nauru
Spain,spain
Azerbaijan,azerbaijan
United Arab Emirates,united-arab-emirates
Georgia,georgia
Guyana,guyana
Peru,peru
Tunisia,tunisia
Libya,libya
Seychelles,seychelles
Uganda,uganda
Australia,australia
Ireland,ireland
Mexico,mexico
New Zealand,new-zealand
Sudan,sudan
Thailand,thailand
Belgium,belgium
France,france
Germany,germany
Guinea-Bissau,guinea-bissau
Jordan,jordan
Netherlands Antilles,netherlands-antilles
Western Sahara,western-sahara
Barbados,barbados
Chad,chad
Dominica,dominica
Falkland Islands (Malvinas),falkland-islands-malvinas
Haiti,haiti
"Micronesia, Federated States of",micronesia
Vanuatu,vanuatu
Ghana,ghana
Martinique,martinique
Ecuador,ecuador
Estonia,estonia
Lesotho,lesotho
Maldives,maldives
Eritrea,eritrea
Mongolia,mongolia
Republic of Kosovo,kosovo
Bahamas,bahamas
Bulgaria,bulgaria
Dominican Republic,dominican-republic
Kenya,kenya
Liberia,liberia
British Indian Ocean Territory,british-indian-ocean-territory
Christmas Island,christmas-island
Nicaragua,nicaragua
Bermuda,bermuda
