Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
1,0,0,1,2020-02-24
0,0,0,1,2020-02-25
0,0,0,1,2020-02-26
0,0,0,1,2020-02-27
0,0,0,1,2020-02-28
0,0,0,1,2020-02-29
0,0,0,1,2020-03-01
0,0,0,1,2020-03-02
0,0,0,1,2020-03-03
0,0,0,1,2020-03-04
0,0,0,1,2020-03-05
0,0,0,1,2020-03-06
0,0,0,1,2020-03-07
3,0,0,4,2020-03-08
0,0,0,4,2020-03-09
1,0,0,5,2020-03-10
2,0,0,7,2020-03-11
0,0,0,7,2020-03-12
0,0,0,7,2020-03-13
4,0,0,11,2020-03-14
5,0,0,16,2020-03-15
5,0,1,20,2020-03-16
1,0,0,21,2020-03-17
0,0,0,21,2020-03-18
0,0,0,21,2020-03-19
2,0,0,23,2020-03-20
0,0,0,23,2020-03-21
16,1,0,38,2020-03-22
0,0,0,38,2020-03-23
34,0,0,72,2020-03-24
10,1,1,80,2020-03-25
10,2,0,88,2020-03-26
16,0,0,104,2020-03-27
0,0,0,104,2020-03-28
10,0,0,114,2020-03-29
50,0,0,164,2020-03-30
4,0,3,165,2020-03-31
63,0,0,228,2020-04-01
36,2,5,257,2020-04-02
8,0,0,265,2020-04-03
18,1,0,282,2020-04-04
50,0,5,327,2020-04-05
18,4,3,338,2020-04-06
56,3,0,391,2020-04-07
21,0,11,401,2020-04-08
40,1,3,437,2020-04-09
37,0,0,474,2020-04-10
34,3,0,505,2020-04-11
52,0,0,557,2020-04-12
58,3,0,612,2020-04-13
49,2,8,651,2020-04-14
70,2,3,716,2020-04-15
56,5,11,756,2020-04-16
66,0,45,777,2020-04-17
27,0,13,791,2020-04-18
63,3,19,832,2020-04-19
30,3,4,855,2020-04-20
66,0,15,906,2020-04-21
84,4,16,970,2020-04-22
103,2,13,1058,2020-04-23
72,1,9,1120,2020-04-24
112,4,0,1228,2020-04-25
68,3,19,1274,2020-04-26
172,7,13,1426,2020-04-27
125,1,8,1542,2020-04-28
111,2,24,1627,2020-04-29
232,4,8,1847,2020-04-30
164,4,50,1957,2020-05-01
134,4,21,2066,2020-05-02
235,13,14,2274,2020-05-03
190,5,52,2407,2020-05-04
330,5,24,2708,2020-05-05
168,9,37,2830,2020-05-06
171,2,10,2989,2020-05-07
215,3,4,3197,2020-05-08
255,6,30,3416,2020-05-09
369,5,56,3724,2020-05-10
285,2,0,4007,2020-05-11
276,5,52,4226,2020-05-12
263,5,38,4446,2020-05-13
413,4,43,4812,2020-05-14
414,17,54,5155,2020-05-15
349,15,0,5489,2020-05-16
262,1,33,5717,2020-05-17
408,4,23,6098,2020-05-18
581,5,49,6625,2020-05-19
492,9,80,7028,2020-05-20
531,6,8,7545,2020-05-21
540,12,58,8015,2020-05-22
782,11,44,8742,2020-05-23
584,2,35,9289,2020-05-24
591,1,22,9857,2020-05-25
658,1,31,10483,2020-05-26
625,7,10,11091,2020-05-27
580,8,71,11592,2020-05-28
623,11,50,12154,2020-05-29
866,3,44,12973,2020-05-30
680,8,25,13620,2020-05-31
545,8,100,14057,2020-06-01
759,5,22,14789,2020-06-02
758,24,72,15451,2020-06-03
787,6,63,16169,2020-06-04
915,9,177,16898,2020-06-05
582,18,68,17394,2020-06-06
791,30,45,18110,2020-06-07
575,12,296,18377,2020-06-08
