Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
2,0,0,2,2020-03-09
8,0,0,10,2020-03-10
2,1,0,11,2020-03-11
11,0,0,22,2020-03-12
10,0,0,32,2020-03-13
5,0,0,37,2020-03-14
4,0,0,41,2020-03-15
9,0,0,50,2020-03-16
4,0,0,54,2020-03-17
4,1,0,57,2020-03-18
5,0,0,62,2020-03-19
6,0,0,68,2020-03-20
6,0,2,72,2020-03-21
13,0,0,85,2020-03-22
15,2,0,98,2020-03-23
19,1,8,108,2020-03-24
23,0,7,124,2020-03-25
28,1,0,151,2020-03-26
12,2,14,147,2020-03-27
11,2,0,156,2020-03-28
15,0,2,169,2020-03-29
11,1,11,168,2020-03-30
20,4,8,176,2020-03-31
16,0,15,177,2020-04-01
18,1,9,185,2020-04-02
27,1,13,198,2020-04-03
29,3,10,214,2020-04-04
28,0,5,237,2020-04-05
16,1,12,240,2020-04-06
6,1,15,230,2020-04-07
17,0,23,224,2020-04-08
9,1,11,221,2020-04-09
7,0,17,211,2020-04-10
17,0,15,213,2020-04-11
13,0,20,206,2020-04-12
21,0,15,212,2020-04-13
8,1,16,203,2020-04-14
19,1,3,218,2020-04-15
24,1,26,215,2020-04-16
21,0,6,230,2020-04-17
9,0,19,220,2020-04-18
14,0,12,222,2020-04-19
22,0,13,231,2020-04-20
25,0,18,238,2020-04-21
25,1,11,251,2020-04-22
29,0,29,251,2020-04-23
15,0,9,257,2020-04-24
34,0,9,282,2020-04-25
14,1,7,288,2020-04-26
10,0,12,286,2020-04-27
14,2,9,289,2020-04-28
16,0,24,281,2020-04-29
7,1,15,272,2020-04-30
9,0,18,263,2020-05-01
7,0,31,239,2020-05-02
6,0,12,233,2020-05-03
8,0,12,229,2020-05-04
17,0,27,219,2020-05-05
12,0,25,206,2020-05-06
10,0,10,206,2020-05-07
8,0,15,199,2020-05-08
6,0,7,198,2020-05-09
12,0,23,187,2020-05-10
4,0,4,187,2020-05-11
4,0,28,163,2020-05-12
4,0,6,161,2020-05-13
18,0,6,173,2020-05-14
18,0,11,180,2020-05-15
17,0,9,188,2020-05-16
13,0,1,200,2020-05-17
2,0,12,190,2020-05-18
1,0,15,176,2020-05-19
15,0,16,175,2020-05-20
5,0,13,167,2020-05-21
12,0,6,173,2020-05-22
8,0,6,175,2020-05-23
9,1,6,177,2020-05-24
6,0,6,177,2020-05-25
25,1,8,193,2020-05-26
21,0,9,205,2020-05-27
26,0,11,220,2020-05-28
23,0,28,215,2020-05-29
23,0,6,232,2020-05-30
15,0,15,232,2020-05-31
6,0,5,233,2020-06-01
21,0,14,240,2020-06-02
20,0,7,253,2020-06-03
13,0,0,266,2020-06-04
15,0,12,269,2020-06-05
20,1,15,273,2020-06-06
14,0,13,274,2020-06-07
17,0,7,284,2020-06-08
36,0,15,305,2020-06-09
42,0,20,327,2020-06-10
44,1,21,349,2020-06-11
