Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
1,0,0,1,2020-02-25
0,0,0,1,2020-02-26
0,0,0,1,2020-02-27
0,0,0,1,2020-02-28
0,0,0,1,2020-02-29
0,0,0,1,2020-03-01
2,0,0,3,2020-03-02
2,0,0,5,2020-03-03
7,0,0,12,2020-03-04
0,0,0,12,2020-03-05
5,0,0,17,2020-03-06
0,0,0,17,2020-03-07
2,0,0,19,2020-03-08
1,0,0,20,2020-03-09
0,0,0,20,2020-03-10
0,0,0,20,2020-03-11
4,1,8,15,2020-03-12
2,1,0,16,2020-03-13
11,1,4,22,2020-03-14
11,1,0,32,2020-03-15
6,0,0,38,2020-03-16
6,0,0,44,2020-03-17
14,3,0,55,2020-03-18
13,2,20,46,2020-03-19
3,2,0,47,2020-03-20
49,4,0,92,2020-03-21
62,2,33,119,2020-03-22
29,0,0,148,2020-03-23
34,2,-41,221,2020-03-24
38,2,41,216,2020-03-25
65,4,-36,313,2020-03-26
42,1,0,354,2020-03-27
45,3,2,394,2020-03-28
57,2,0,449,2020-03-29
73,4,6,512,2020-03-30
132,9,9,626,2020-03-31
131,14,15,728,2020-04-01
139,28,0,839,2020-04-02
185,19,1,1004,2020-04-03
80,25,28,1031,2020-04-04
69,22,0,1078,2020-04-05
103,21,0,1160,2020-04-06
45,20,23,1162,2020-04-07
104,12,124,1130,2020-04-08
94,30,110,1084,2020-04-09
95,21,58,1100,2020-04-10
64,19,55,1090,2020-04-11
89,18,131,1030,2020-04-12
69,20,10,1069,2020-04-13
87,13,90,1053,2020-04-14
90,10,17,1116,2020-04-15
108,12,75,1137,2020-04-16
150,16,63,1208,2020-04-17
116,3,48,1273,2020-04-18
95,8,153,1207,2020-04-19
89,9,52,1235,2020-04-20
93,8,53,1267,2020-04-21
99,10,52,1304,2020-04-22
97,5,151,1245,2020-04-23
120,8,53,1304,2020-04-24
129,4,71,1358,2020-04-25
126,6,29,1449,2020-04-26
135,7,50,1527,2020-04-27
132,5,93,1561,2020-04-28
199,7,51,1702,2020-04-29
158,6,77,1777,2020-04-30
148,3,42,1880,2020-05-01
141,6,51,1964,2020-05-02
179,4,64,2075,2020-05-03
174,2,62,2185,2020-05-04
190,5,69,2301,2020-05-05
159,6,130,2324,2020-05-06
185,7,126,2376,2020-05-07
187,5,144,2414,2020-05-08
189,6,79,2518,2020-05-09
165,8,132,2543,2020-05-10
168,5,163,2543,2020-05-11
176,8,157,2554,2020-05-12
186,7,60,2673,2020-05-13
189,7,100,2755,2020-05-14
187,7,113,2822,2020-05-15
192,6,138,2870,2020-05-16
198,6,98,2964,2020-05-17
182,7,118,3021,2020-05-18
176,6,121,3070,2020-05-19
165,7,222,3006,2020-05-20
186,7,94,3091,2020-05-21
190,7,194,3080,2020-05-22
195,10,170,3095,2020-05-23
193,8,358,2922,2020-05-24
197,9,-37,3147,2020-05-25
194,8,171,3162,2020-05-26
160,6,211,3105,2020-05-27
140,7,148,3090,2020-05-28
137,8,145,3074,2020-05-29
133,8,127,3072,2020-05-30
127,7,199,2993,2020-05-31
119,8,146,2958,2020-06-01
113,6,173,2892,2020-06-02
107,6,151,2842,2020-06-03
98,8,79,2853,2020-06-04
104,9,156,2792,2020-06-05
115,8,178,2721,2020-06-06
