Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
1,0,0,1,2020-03-03
0,0,0,1,2020-03-04
0,0,0,1,2020-03-05
1,0,0,2,2020-03-06
6,0,0,8,2020-03-07
4,1,0,11,2020-03-08
0,0,0,11,2020-03-09
5,0,0,16,2020-03-10
2,0,0,18,2020-03-11
0,0,0,18,2020-03-12
12,1,0,29,2020-03-13
3,0,1,31,2020-03-14
11,0,0,42,2020-03-15
11,0,0,53,2020-03-16
12,0,2,63,2020-03-17
11,0,0,74,2020-03-18
18,1,0,91,2020-03-19
31,0,0,122,2020-03-20
30,1,0,151,2020-03-21
108,0,0,259,2020-03-22
35,0,0,294,2020-03-23
86,2,49,329,2020-03-24
0,2,0,327,2020-03-25
115,1,11,430,2020-03-26
87,4,9,504,2020-03-27
101,5,0,600,2020-03-28
55,1,0,654,2020-03-29
75,4,156,569,2020-03-30
234,4,12,787,2020-03-31
0,1,8,778,2020-04-01
79,8,8,841,2020-04-02
132,3,10,960,2020-04-03
186,4,13,1129,2020-04-04
0,1,1,1127,2020-04-05
103,4,45,1181,2020-04-06
74,8,13,1234,2020-04-07
87,7,20,1294,2020-04-08
80,9,7,1358,2020-04-09
180,10,10,1518,2020-04-10
0,1,65,1452,2020-04-11
167,7,28,1584,2020-04-12
66,7,47,1596,2020-04-13
69,5,44,1616,2020-04-14
166,9,37,1736,2020-04-15
128,4,35,1825,2020-04-16
98,8,35,1880,2020-04-17
89,6,19,1944,2020-04-18
81,3,24,1998,2020-04-19
102,4,28,2068,2020-04-20
90,11,103,2044,2020-04-21
113,5,32,2120,2020-04-22
291,13,47,2351,2020-04-23
172,11,57,2455,2020-04-24
173,9,54,2565,2020-04-25
112,7,77,2593,2020-04-26
111,5,33,2666,2020-04-27
124,10,22,2758,2020-04-28
158,7,30,2879,2020-04-29
143,4,64,2954,2020-04-30
104,7,36,3015,2020-05-01
149,12,28,3124,2020-05-02
102,9,34,3183,2020-05-03
104,14,88,3185,2020-05-04
133,4,30,3284,2020-05-05
188,9,52,3411,2020-05-06
163,9,77,3488,2020-05-07
240,11,58,3659,2020-05-08
165,7,69,3748,2020-05-09
258,5,29,3972,2020-05-10
244,9,80,4127,2020-05-11
285,5,25,4382,2020-05-12
316,10,404,4284,2020-05-13
255,24,119,4396,2020-05-14
345,3,112,4626,2020-05-15
326,7,37,4908,2020-05-16
263,10,35,5126,2020-05-17
303,9,56,5364,2020-05-18
438,11,247,5544,2020-05-19
474,10,61,5947,2020-05-20
648,13,99,6483,2020-05-21
718,17,30,7154,2020-05-22
704,12,468,7378,2020-05-23
723,7,202,7892,2020-05-24
552,15,267,8162,2020-05-25
600,17,168,8577,2020-05-26
705,16,182,9084,2020-05-27
769,8,268,9577,2020-05-28
717,12,171,10111,2020-05-29
795,8,0,10898,2020-05-30
637,11,548,10976,2020-05-31
564,17,185,11338,2020-06-01
904,13,188,12041,2020-06-02
949,14,187,12789,2020-06-03
929,25,97,13596,2020-06-04
840,24,95,14317,2020-06-05
983,16,92,15192,2020-06-06
774,16,729,15221,2020-06-07
