Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
4,0,0,4,2020-01-26
1,0,0,5,2020-01-27
0,0,0,5,2020-01-28
1,0,0,6,2020-01-29
3,0,2,7,2020-01-30
0,0,0,7,2020-01-31
3,0,0,10,2020-02-01
0,0,0,10,2020-02-02
0,0,0,10,2020-02-03
1,0,0,11,2020-02-04
0,0,0,11,2020-02-05
1,0,0,12,2020-02-06
1,0,0,13,2020-02-07
0,0,0,13,2020-02-08
0,0,0,13,2020-02-09
0,0,0,13,2020-02-10
0,0,0,13,2020-02-11
0,0,0,13,2020-02-12
0,0,6,7,2020-02-13
0,0,0,7,2020-02-14
0,0,0,7,2020-02-15
0,0,0,7,2020-02-16
0,0,2,5,2020-02-17
0,0,0,5,2020-02-18
0,0,0,5,2020-02-19
0,0,0,5,2020-02-20
0,0,1,4,2020-02-21
0,0,0,4,2020-02-22
0,0,0,4,2020-02-23
0,0,0,4,2020-02-24
0,0,0,4,2020-02-25
0,0,0,4,2020-02-26
0,0,0,4,2020-02-27
0,0,0,4,2020-02-28
10,0,0,14,2020-02-29
2,1,0,15,2020-03-01
3,0,0,18,2020-03-02
9,0,0,27,2020-03-03
13,1,0,39,2020-03-04
3,0,10,32,2020-03-05
5,0,0,37,2020-03-06
3,0,0,40,2020-03-07
13,1,0,52,2020-03-08
15,0,0,67,2020-03-09
16,0,0,83,2020-03-10
21,0,0,104,2020-03-11
0,0,0,104,2020-03-12
72,0,2,174,2020-03-13
50,0,0,224,2020-03-14
47,0,0,271,2020-03-15
80,0,0,351,2020-03-16
75,2,0,424,2020-03-17
116,1,0,539,2020-03-18
113,0,3,649,2020-03-19
110,1,0,758,2020-03-20
280,0,0,1038,2020-03-21
478,0,62,1454,2020-03-22
133,0,0,1587,2020-03-23
362,1,27,1921,2020-03-24
320,0,4,2237,2020-03-25
446,5,53,2625,2020-03-26
333,0,22,2936,2020-03-27
497,1,50,3382,2020-03-28
344,2,0,3724,2020-03-29
377,1,13,4087,2020-03-30
198,1,101,4183,2020-03-31
303,2,64,4420,2020-04-01
254,4,98,4572,2020-04-02
214,4,129,4653,2020-04-03
220,2,52,4819,2020-04-04
137,5,56,4895,2020-04-05
110,5,323,4677,2020-04-06
98,5,0,4770,2020-04-07
115,5,0,4880,2020-04-08
98,1,392,4585,2020-04-09
107,3,321,4368,2020-04-10
88,3,13,4440,2020-04-11
12,3,0,4449,2020-04-12
36,1,0,4484,2020-04-13
64,1,380,4167,2020-04-14
25,1,0,4191,2020-04-15
22,0,169,4044,2020-04-16
60,3,1453,2648,2020-04-17
46,1,316,2377,2020-04-18
42,0,0,2419,2020-04-19
13,0,167,2265,2020-04-20
22,0,404,1883,2020-04-21
7,0,237,1653,2020-04-22
10,8,115,1540,2020-04-23
15,4,89,1462,2020-04-24
17,1,240,1238,2020-04-25
20,3,165,1090,2020-04-26
7,0,47,1050,2020-04-27
23,6,77,990,2020-04-28
8,2,50,946,2020-04-29
14,2,27,931,2020-04-30
12,0,33,910,2020-05-01
21,1,39,891,2020-05-02
23,1,35,878,2020-05-03
25,1,38,864,2020-05-04
28,1,88,803,2020-05-05
19,0,56,766,2020-05-06
19,0,47,738,2020-05-07
5,0,44,699,2020-05-08
21,0,19,701,2020-05-09
9,0,26,684,2020-05-10
22,0,46,660,2020-05-11
10,1,57,612,2020-05-12
9,0,27,594,2020-05-13
30,0,37,587,2020-05-14
16,0,25,578,2020-05-15
9,0,5,582,2020-05-16
10,1,28,563,2020-05-17
14,0,21,556,2020-05-18
4,1,18,541,2020-05-19
9,0,39,511,2020-05-20
14,1,8,516,2020-05-21
4,0,7,513,2020-05-22
15,1,23,504,2020-05-23
0,0,23,481,2020-05-24
12,0,21,472,2020-05-25
13,1,8,476,2020-05-26
11,0,19,468,2020-05-27
15,0,-3,486,2020-05-28
19,0,29,476,2020-05-29
8,0,9,475,2020-05-30
10,0,4,481,2020-05-31
19,-1,8,493,2020-06-01
8,0,10,491,2020-06-02
11,0,12,490,2020-06-03
7,0,35,462,2020-06-04
5,0,5,462,2020-06-05
7,0,15,454,2020-06-06
6,0,3,457,2020-06-07
2,0,14,445,2020-06-08
