Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
2,0,0,2,2020-02-25
0,0,0,2,2020-02-26
1,0,0,3,2020-02-27
0,0,0,3,2020-02-28
6,0,0,9,2020-02-29
5,0,0,14,2020-03-01
4,0,0,18,2020-03-02
3,0,0,21,2020-03-03
8,0,0,29,2020-03-04
12,0,0,41,2020-03-05
14,0,0,55,2020-03-06
24,0,0,79,2020-03-07
25,0,0,104,2020-03-08
27,0,2,129,2020-03-09
51,0,2,178,2020-03-10
64,0,0,242,2020-03-11
56,1,0,297,2020-03-12
202,0,2,497,2020-03-13
151,0,0,648,2020-03-14
205,0,0,853,2020-03-15
158,2,0,1009,2020-03-16
314,0,-5,1328,2020-03-17
314,1,8,1633,2020-03-18
367,2,0,1998,2020-03-19
375,0,0,2373,2020-03-20
426,2,0,2797,2020-03-21
768,8,0,3557,2020-03-22
892,5,0,4444,2020-03-23
809,7,0,5246,2020-03-24
305,2,0,5549,2020-03-25
1321,19,103,6748,2020-03-26
748,9,113,7374,2020-03-27
614,10,0,7978,2020-03-28
517,18,254,8223,2020-03-29
830,22,157,8874,2020-03-30
562,20,459,8957,2020-03-31
531,18,341,9129,2020-04-01
418,12,313,9222,2020-04-02
395,10,273,9334,2020-04-03
257,18,485,9088,2020-04-04
270,18,491,8849,2020-04-05
246,16,465,8614,2020-04-06
342,23,583,8350,2020-04-07
303,30,466,8157,2020-04-08
302,22,728,7709,2020-04-09
311,24,824,7172,2020-04-10
251,18,540,6865,2020-04-11
139,13,383,6608,2020-04-12
96,18,356,6330,2020-04-13
185,16,290,6209,2020-04-14
110,9,465,5845,2020-04-15
140,17,888,5080,2020-04-16
119,21,718,4460,2020-04-17
76,12,510,4014,2020-04-18
78,9,287,3796,2020-04-19
46,18,130,3694,2020-04-20
78,21,340,3411,2020-04-21
52,19,357,3087,2020-04-22
77,12,366,2786,2020-04-23
69,8,178,2669,2020-04-24
77,6,231,2509,2020-04-25
77,6,179,2401,2020-04-26
49,7,80,2363,2020-04-27
83,20,218,2208,2020-04-28
45,11,199,2043,2020-04-29
50,4,128,1961,2020-04-30
79,5,203,1832,2020-05-01
27,7,70,1782,2020-05-02
39,2,48,1771,2020-05-03
24,2,88,1705,2020-05-04
29,6,146,1582,2020-05-05
34,2,177,1437,2020-05-06
68,1,59,1445,2020-05-07
22,5,138,1324,2020-05-08
59,1,92,1290,2020-05-09
38,3,63,1262,2020-05-10
11,2,70,1201,2020-05-11
79,3,87,1190,2020-05-12
36,1,156,1069,2020-05-13
61,2,101,1027,2020-05-14
51,2,66,1010,2020-05-15
92,1,53,1048,2020-05-16
41,0,39,1050,2020-05-17
27,0,51,1026,2020-05-18
52,3,64,1011,2020-05-19
32,1,204,838,2020-05-20
51,0,69,820,2020-05-21
32,2,54,796,2020-05-22
50,4,32,810,2020-05-23
17,1,26,800,2020-05-24
36,1,75,760,2020-05-25
18,2,44,732,2020-05-26
34,2,46,718,2020-05-27
37,23,58,674,2020-05-28
27,0,61,640,2020-05-29
30,0,173,497,2020-05-30
46,0,73,470,2020-05-31
2,0,3,469,2020-06-01
26,1,33,461,2020-06-02
12,1,43,429,2020-06-03
34,0,45,418,2020-06-04
38,2,25,429,2020-06-05
55,0,47,437,2020-06-06
