Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
3,0,0,3,2020-03-01
0,0,0,3,2020-03-02
0,0,0,3,2020-03-03
0,0,0,3,2020-03-04
3,0,0,6,2020-03-05
0,0,0,6,2020-03-06
3,0,0,9,2020-03-07
0,0,0,9,2020-03-08
0,0,0,9,2020-03-09
2,0,0,11,2020-03-10
0,0,3,8,2020-03-11
0,0,0,8,2020-03-12
4,1,0,11,2020-03-13
0,0,0,11,2020-03-14
8,0,3,16,2020-03-15
5,0,0,21,2020-03-16
0,0,0,21,2020-03-17
0,0,0,21,2020-03-18
16,0,0,37,2020-03-19
0,0,0,37,2020-03-20
9,0,5,41,2020-03-21
12,0,-1,54,2020-03-22
7,0,0,61,2020-03-23
15,0,0,76,2020-03-24
6,1,0,81,2020-03-25
29,1,5,104,2020-03-26
43,0,0,147,2020-03-27
17,1,0,163,2020-03-28
27,0,0,190,2020-03-29
64,0,11,243,2020-03-30
25,1,0,267,2020-03-31
61,0,0,328,2020-04-01
41,0,0,369,2020-04-02
43,0,6,406,2020-04-03
78,0,0,484,2020-04-04
63,2,0,545,2020-04-05
57,0,12,590,2020-04-06
76,1,0,665,2020-04-07
105,0,19,751,2020-04-08
104,1,38,816,2020-04-09
65,1,58,822,2020-04-10
67,1,41,847,2020-04-11
40,0,50,837,2020-04-12
50,1,39,847,2020-04-13
49,1,62,833,2020-04-14
56,0,53,836,2020-04-15
30,2,56,808,2020-04-16
57,0,68,797,2020-04-17
33,3,62,765,2020-04-18
25,1,122,667,2020-04-19
38,0,79,626,2020-04-20
44,1,74,595,2020-04-21
38,0,42,591,2020-04-22
30,0,41,580,2020-04-23
44,1,65,558,2020-04-24
25,0,67,516,2020-04-25
28,0,59,485,2020-04-26
33,1,23,494,2020-04-27
39,0,59,474,2020-04-28
49,1,46,476,2020-04-29
38,1,58,455,2020-04-30
50,1,40,464,2020-05-01
40,0,46,458,2020-05-02
38,0,30,466,2020-05-03
52,1,39,478,2020-05-04
76,0,28,526,2020-05-05
67,2,28,563,2020-05-06
77,0,15,625,2020-05-07
75,0,25,675,2020-05-08
143,3,44,771,2020-05-09
97,1,30,837,2020-05-10
70,0,30,877,2020-05-11
104,1,0,980,2020-05-12
65,2,109,934,2020-05-13
121,0,44,1011,2020-05-14
101,1,53,1058,2020-05-15
158,0,58,1158,2020-05-16
136,3,71,1220,2020-05-17
113,1,40,1292,2020-05-18
131,1,143,1279,2020-05-19
113,2,55,1335,2020-05-20
118,1,87,1365,2020-05-21
106,2,59,1410,2020-05-22
127,3,107,1427,2020-05-23
140,0,101,1466,2020-05-24
149,2,134,1479,2020-05-25
132,1,78,1532,2020-05-26
165,2,78,1617,2020-05-27
191,2,125,1681,2020-05-28
230,2,103,1806,2020-05-29
257,3,202,1858,2020-05-30
248,2,101,2003,2020-05-31
168,5,80,2086,2020-06-01
273,3,56,2300,2020-06-02
325,5,101,2519,2020-06-03
262,2,72,2707,2020-06-04
338,4,134,2907,2020-06-05
379,2,153,3131,2020-06-06
314,4,125,3316,2020-06-07
323,5,228,3406,2020-06-08
315,5,229,3487,2020-06-09
