Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
1,0,0,1,2020-02-24
22,0,0,23,2020-02-25
10,0,0,33,2020-02-26
0,0,0,33,2020-02-27
3,0,0,36,2020-02-28
5,0,0,41,2020-02-29
6,0,0,47,2020-03-01
2,0,0,49,2020-03-02
0,0,0,49,2020-03-03
3,0,0,52,2020-03-04
3,0,0,55,2020-03-05
5,0,4,56,2020-03-06
25,0,0,81,2020-03-07
0,0,0,81,2020-03-08
10,0,10,81,2020-03-09
15,0,8,88,2020-03-10
85,0,13,160,2020-03-11
0,0,0,160,2020-03-12
0,0,9,151,2020-03-13
15,0,0,166,2020-03-14
4,0,16,154,2020-03-15
0,1,17,136,2020-03-16
14,0,4,146,2020-03-17
28,0,7,167,2020-03-18
22,0,12,177,2020-03-19
7,0,0,184,2020-03-20
20,0,25,179,2020-03-21
29,1,24,183,2020-03-22
43,0,0,226,2020-03-23
15,1,28,212,2020-03-24
27,1,0,238,2020-03-25
39,0,27,250,2020-03-26
8,0,23,235,2020-03-27
10,0,38,207,2020-03-28
23,0,7,223,2020-03-29
16,0,7,232,2020-03-30
52,0,16,268,2020-03-31
2,0,42,228,2020-04-01
74,0,44,258,2020-04-02
29,0,1,286,2020-04-03
16,0,41,261,2020-04-04
12,0,8,265,2020-04-05
56,0,27,294,2020-04-06
55,1,0,348,2020-04-07
12,0,19,341,2020-04-08
64,0,42,363,2020-04-09
38,1,20,380,2020-04-10
115,0,16,479,2020-04-11
96,0,3,572,2020-04-12
225,0,33,764,2020-04-13
167,1,54,876,2020-04-14
143,0,18,1001,2020-04-15
29,0,40,990,2020-04-16
40,0,22,1008,2020-04-17
33,0,30,1011,2020-04-18
108,0,4,1115,2020-04-19
26,0,10,1131,2020-04-20
66,0,15,1182,2020-04-21
54,0,242,994,2020-04-22
190,1,56,1127,2020-04-23
301,0,31,1397,2020-04-24
70,0,47,1420,2020-04-25
59,0,29,1450,2020-04-26
76,0,29,1497,2020-04-27
88,0,92,1493,2020-04-28
110,0,145,1458,2020-04-29
119,0,45,1532,2020-04-30
130,0,55,1607,2020-05-01
114,0,13,1708,2020-05-02
99,0,150,1657,2020-05-03
150,0,26,1781,2020-05-04
187,0,18,1950,2020-05-05
214,0,98,2066,2020-05-06
265,0,140,2191,2020-05-07
245,0,28,2408,2020-05-08
330,0,27,2711,2020-05-09
167,0,15,2863,2020-05-10
295,0,82,3076,2020-05-11
295,1,40,3330,2020-05-12
285,1,13,3601,2020-05-13
382,0,148,3835,2020-05-14
385,2,287,3931,2020-05-15
164,0,122,3973,2020-05-16
209,0,148,4034,2020-05-17
228,0,21,4241,2020-05-18
348,0,21,4568,2020-05-19
356,0,616,4308,2020-05-20
286,0,305,4289,2020-05-21
240,0,223,4306,2020-05-22
388,1,369,4324,2020-05-23
336,1,122,4537,2020-05-24
33,0,166,4404,2020-05-25
195,0,185,4414,2020-05-26
326,1,214,4525,2020-05-27
360,0,267,4618,2020-05-28
397,0,281,4734,2020-05-29
344,2,126,4950,2020-05-30
605,2,847,4706,2020-05-31
473,0,397,4782,2020-06-01
440,0,337,4885,2020-06-02
504,1,3,5385,2020-06-03
481,1,318,5547,2020-06-04
539,1,857,5228,2020-06-05
548,2,471,5303,2020-06-06
380,2,412,5269,2020-06-07
