Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
1,0,0,1,2020-02-28
0,0,0,1,2020-02-29
0,0,0,1,2020-03-01
0,0,0,1,2020-03-02
0,0,0,1,2020-03-03
5,0,0,6,2020-03-04
0,0,0,6,2020-03-05
0,0,0,6,2020-03-06
0,0,0,6,2020-03-07
0,0,0,6,2020-03-08
0,0,1,5,2020-03-09
3,0,2,6,2020-03-10
0,0,0,6,2020-03-11
3,0,0,9,2020-03-12
15,0,0,24,2020-03-13
0,0,0,24,2020-03-14
0,0,0,24,2020-03-15
9,0,0,33,2020-03-16
0,0,0,33,2020-03-17
15,0,2,46,2020-03-18
0,0,0,46,2020-03-19
18,0,0,64,2020-03-20
7,0,10,61,2020-03-21
0,0,0,61,2020-03-22
5,0,0,66,2020-03-23
0,0,7,59,2020-03-24
5,0,7,57,2020-03-25
0,0,0,57,2020-03-26
8,0,3,62,2020-03-27
0,0,0,62,2020-03-28
0,0,0,62,2020-03-29
58,0,0,120,2020-03-30
0,1,15,104,2020-03-31
11,1,6,108,2020-04-01
141,2,0,247,2020-04-02
47,0,0,294,2020-04-03
89,1,0,382,2020-04-04
122,3,-1,502,2020-04-05
138,5,1,634,2020-04-06
161,0,1,794,2020-04-07
205,0,23,976,2020-04-08
420,3,62,1331,2020-04-09
495,3,30,1793,2020-04-10
245,4,3,2031,2020-04-11
352,3,31,2349,2020-04-12
341,3,0,2687,2020-04-13
362,4,0,3045,2020-04-14
447,3,0,3489,2020-04-15
476,4,0,3961,2020-04-16
575,2,139,4395,2020-04-17
518,3,0,4910,2020-04-18
510,2,152,5266,2020-04-19
457,4,20,5699,2020-04-20
459,4,63,6091,2020-04-21
558,3,192,6454,2020-04-22
741,2,169,7024,2020-04-23
751,3,182,7590,2020-04-24
817,4,453,7950,2020-04-25
873,5,122,8696,2020-04-26
826,3,45,9474,2020-04-27
919,4,253,10136,2020-04-28
973,5,79,11025,2020-04-29
846,5,314,11552,2020-04-30
890,4,532,11906,2020-05-01
911,4,199,12614,2020-05-02
877,2,79,13410,2020-05-03
784,4,63,14127,2020-05-04
861,4,512,14472,2020-05-05
905,5,617,14755,2020-05-06
913,4,679,14985,2020-05-07
933,5,417,15496,2020-05-08
951,5,566,15876,2020-05-09
921,5,356,16436,2020-05-10
933,4,125,17240,2020-05-11
967,7,443,17757,2020-05-12
952,4,737,17968,2020-05-13
947,5,457,18453,2020-05-14
958,5,639,18767,2020-05-15
951,4,691,19023,2020-05-16
969,5,434,19553,2020-05-17
922,6,198,20271,2020-05-18
936,4,490,20713,2020-05-19
918,4,795,20832,2020-05-20
945,6,642,21129,2020-05-21
932,5,776,21280,2020-05-22
941,4,695,21522,2020-05-23
954,5,627,21844,2020-05-24
946,5,294,22491,2020-05-25
915,4,637,22765,2020-05-26
897,6,837,22819,2020-05-27
902,5,737,22979,2020-05-28
906,5,730,23150,2020-05-29
894,5,574,23465,2020-05-30
898,6,550,23807,2020-05-31
847,5,262,24387,2020-06-01
852,3,419,24817,2020-06-02
861,5,976,24697,2020-06-03
865,5,991,24566,2020-06-04
887,6,904,24543,2020-06-05
883,4,949,24473,2020-06-06
879,6,632,24714,2020-06-07
