Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
1,0,0,1,2020-02-04
0,0,0,1,2020-02-05
0,0,0,1,2020-02-06
0,0,0,1,2020-02-07
0,0,0,1,2020-02-08
0,0,0,1,2020-02-09
0,0,0,1,2020-02-10
0,0,0,1,2020-02-11
0,0,0,1,2020-02-12
0,0,0,1,2020-02-13
0,0,0,1,2020-02-14
0,0,0,1,2020-02-15
0,0,0,1,2020-02-16
0,0,1,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
1,0,0,1,2020-03-01
6,0,0,7,2020-03-02
5,0,0,12,2020-03-03
10,0,0,22,2020-03-04
27,0,0,49,2020-03-05
59,0,0,108,2020-03-06
60,0,0,168,2020-03-07
31,0,0,199,2020-03-08
39,0,0,238,2020-03-09
28,0,0,266,2020-03-10
47,3,0,310,2020-03-11
0,0,0,310,2020-03-12
245,0,0,555,2020-03-13
130,1,0,684,2020-03-14
197,0,0,881,2020-03-15
172,1,0,1052,2020-03-16
185,5,0,1232,2020-03-17
243,4,30,1441,2020-03-18
309,7,0,1743,2020-03-19
462,16,-30,2219,2020-03-20
558,30,262,2485,2020-03-21
586,8,0,3063,2020-03-22
342,13,0,3392,2020-03-23
526,34,198,3686,2020-03-24
668,56,86,4212,2020-03-25
1298,42,128,5340,2020-03-26
1049,69,183,6137,2020-03-27
1850,64,205,7718,2020-03-28
1702,78,296,9046,2020-03-29
1063,82,168,9859,2020-03-30
876,192,169,10374,2020-03-31
1189,123,436,11004,2020-04-01
1384,183,363,11842,2020-04-02
1422,132,377,12755,2020-04-03
1661,140,375,13901,2020-04-04
1260,164,504,14493,2020-04-05
1123,185,235,15196,2020-04-06
1380,403,171,16002,2020-04-07
1209,205,524,16482,2020-04-08
1580,283,483,17296,2020-04-09
1684,496,404,18080,2020-04-10
1351,327,418,18686,2020-04-11
1629,254,477,19584,2020-04-12
942,303,244,19979,2020-04-13
530,254,161,20094,2020-04-14
2454,283,239,22026,2020-04-15
1236,417,455,22390,2020-04-16
1329,306,399,23014,2020-04-17
1045,290,387,23382,2020-04-18
1313,230,409,24056,2020-04-19
1487,145,138,25260,2020-04-20
973,170,107,25956,2020-04-21
933,264,431,26194,2020-04-22
908,228,367,26507,2020-04-23
1496,189,322,27492,2020-04-24
1032,238,295,27991,2020-04-25
809,177,368,28255,2020-04-26
553,113,93,28602,2020-04-27
647,124,65,29060,2020-04-28
525,170,340,29075,2020-04-29
660,93,293,29349,2020-04-30
513,109,316,29437,2020-05-01
485,62,319,29541,2020-05-02
389,79,98,29753,2020-05-03
361,80,69,29965,2020-05-04
242,92,63,30052,2020-05-05
272,323,290,29711,2020-05-06
639,76,249,30025,2020-05-07
591,106,221,30289,2020-05-08
585,60,210,30604,2020-05-09
485,75,231,30783,2020-05-10
368,51,55,31045,2020-05-11
330,54,35,31286,2020-05-12
202,82,205,31201,2020-05-13
307,60,174,31274,2020-05-14
356,56,190,31384,2020-05-15
345,46,159,31524,2020-05-16
291,47,170,31598,2020-05-17
279,28,27,31822,2020-05-18
232,28,30,31996,2020-05-19
192,42,160,31986,2020-05-20
252,36,141,32061,2020-05-21
276,26,135,32176,2020-05-22
299,25,32,32418,2020-05-23
282,43,117,32540,2020-05-24
250,32,25,32733,2020-05-25
113,22,23,32801,2020-05-26
137,30,145,32763,2020-05-27
257,24,107,32889,2020-05-28
212,42,110,32949,2020-05-29
125,23,87,32964,2020-05-30
195,14,118,33027,2020-05-31
136,19,32,33112,2020-06-01
98,19,15,33176,2020-06-02
70,17,25,33204,2020-06-03
82,26,89,33171,2020-06-04
