Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
2,0,0,2,2020-03-05
0,0,0,2,2020-03-06
1,0,0,3,2020-03-07
0,0,0,3,2020-03-08
0,0,0,3,2020-03-09
2,0,0,5,2020-03-10
2,0,0,7,2020-03-11
4,0,0,11,2020-03-12
2,0,0,13,2020-03-13
5,0,0,18,2020-03-14
6,0,0,24,2020-03-15
1,0,0,25,2020-03-16
1,0,2,24,2020-03-17
12,0,0,36,2020-03-18
25,0,0,61,2020-03-19
26,0,0,87,2020-03-20
4,1,0,90,2020-03-21
33,0,0,123,2020-03-22
10,0,0,133,2020-03-23
30,2,0,161,2020-03-24
10,0,0,171,2020-03-25
15,0,0,186,2020-03-26
46,1,3,228,2020-03-27
21,1,0,248,2020-03-28
65,1,3,309,2020-03-29
45,4,9,341,2020-03-30
52,3,0,390,2020-03-31
39,0,2,427,2020-04-01
74,3,1,497,2020-04-02
46,1,7,535,2020-04-03
45,4,3,573,2020-04-04
30,2,0,601,2020-04-05
20,6,17,598,2020-04-06
90,4,21,663,2020-04-07
40,1,11,691,2020-04-08
54,1,22,722,2020-04-09
43,1,28,736,2020-04-10
45,1,10,770,2020-04-11
63,2,54,777,2020-04-12
28,0,13,792,2020-04-13
46,1,30,807,2020-04-14
27,1,17,816,2020-04-15
57,2,24,847,2020-04-16
47,3,43,848,2020-04-17
54,1,18,883,2020-04-18
17,1,9,890,2020-04-19
24,1,34,879,2020-04-20
33,2,56,854,2020-04-21
26,2,23,855,2020-04-22
45,1,25,874,2020-04-23
8,1,53,828,2020-04-24
65,2,54,837,2020-04-25
30,2,32,833,2020-04-26
49,1,35,846,2020-04-27
20,3,23,840,2020-04-28
92,2,28,902,2020-04-29
80,4,17,961,2020-04-30
24,1,28,956,2020-05-01
58,2,24,988,2020-05-02
18,5,46,955,2020-05-03
69,1,30,993,2020-05-04
20,1,56,956,2020-05-05
41,7,17,973,2020-05-06
40,4,26,983,2020-05-07
43,8,6,1012,2020-05-08
20,4,99,929,2020-05-09
27,5,47,904,2020-05-10
24,6,8,914,2020-05-11
17,4,54,873,2020-05-12
23,3,60,833,2020-05-13
37,2,44,824,2020-05-14
18,6,64,772,2020-05-15
31,1,19,783,2020-05-16
23,4,81,721,2020-05-17
14,0,28,707,2020-05-18
17,1,58,665,2020-05-19
17,2,35,645,2020-05-20
12,4,39,614,2020-05-21
22,1,18,617,2020-05-22
19,0,48,588,2020-05-23
10,3,18,577,2020-05-24
5,2,16,564,2020-05-25
10,3,25,546,2020-05-26
19,2,23,540,2020-05-27
27,2,37,528,2020-05-28
23,0,22,529,2020-05-29
9,0,28,510,2020-05-30
16,0,31,495,2020-05-31
14,1,26,482,2020-06-01
11,3,22,468,2020-06-02
16,0,29,455,2020-06-03
43,2,12,484,2020-06-04
12,0,17,479,2020-06-05
0,0,0,479,2020-06-06
0,0,0,479,2020-06-07
98,1,55,521,2020-06-08
24,0,26,519,2020-06-09
47,1,14,551,2020-06-10
57,0,37,571,2020-06-11
