Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
1,0,0,1,2020-02-26
0,0,0,1,2020-02-27
0,0,0,1,2020-02-28
1,0,0,2,2020-02-29
0,0,0,2,2020-03-01
0,0,0,2,2020-03-02
0,0,0,2,2020-03-03
2,0,0,4,2020-03-04
0,0,0,4,2020-03-05
9,0,0,13,2020-03-06
0,0,0,13,2020-03-07
7,0,0,20,2020-03-08
5,0,0,25,2020-03-09
6,0,0,31,2020-03-10
7,0,0,38,2020-03-11
14,0,0,52,2020-03-12
99,0,0,151,2020-03-13
0,0,0,151,2020-03-14
11,0,0,162,2020-03-15
38,0,1,199,2020-03-16
121,1,1,318,2020-03-17
51,2,0,367,2020-03-18
249,3,0,613,2020-03-19
172,5,0,780,2020-03-20
228,4,0,1004,2020-03-21
525,10,0,1519,2020-03-22
378,9,0,1888,2020-03-23
323,12,0,2199,2020-03-24
307,13,0,2493,2020-03-25
431,18,4,2902,2020-03-26
432,15,0,3319,2020-03-27
487,19,0,3787,2020-03-28
352,25,0,4114,2020-03-29
323,23,114,4300,2020-03-30
1138,42,7,5389,2020-03-31
1119,39,0,6469,2020-04-01
1208,84,0,7593,2020-04-02
1012,35,0,8570,2020-04-03
1304,86,0,9788,2020-04-04
770,41,0,10517,2020-04-05
1031,78,0,11470,2020-04-06
1873,122,0,13221,2020-04-07
2136,133,0,15224,2020-04-08
1922,131,46,16969,2020-04-09
1546,107,0,18408,2020-04-10
1089,67,0,19430,2020-04-11
1465,99,0,20796,2020-04-12
1238,105,0,21929,2020-04-13
1832,204,2873,20684,2020-04-14
3058,204,10980,12558,2020-04-15
2105,188,0,14475,2020-04-16
3257,217,0,17515,2020-04-17
2976,213,0,20278,2020-04-18
1996,108,8104,14062,2020-04-19
2089,125,0,16026,2020-04-20
2336,154,861,17347,2020-04-21
2678,165,2327,17533,2020-04-22
4279,425,1255,20132,2020-04-23
4007,373,1082,22684,2020-04-24
5281,353,1505,26107,2020-04-25
3776,229,992,28662,2020-04-26
4346,317,990,31701,2020-04-27
5789,480,1402,35608,2020-04-28
6450,430,1588,40040,2020-04-29
7502,493,1803,45246,2020-04-30
5015,406,2104,47751,2020-05-01
4898,349,2898,49402,2020-05-02
4726,290,2054,51784,2020-05-03
6794,316,2824,55438,2020-05-04
6835,571,2406,59296,2020-05-05
11156,650,3149,66653,2020-05-06
9162,602,3980,71233,2020-05-07
11121,827,3947,77580,2020-05-08
9167,639,2388,83720,2020-05-09
6638,467,3272,86619,2020-05-10
6895,530,2427,90557,2020-05-11
8620,808,5213,93156,2020-05-12
11923,779,5827,98473,2020-05-13
13028,759,1055,109687,2020-05-14
17126,963,5491,120359,2020-05-15
13220,700,4702,128177,2020-05-16
7569,456,4450,130840,2020-05-17
14288,735,6337,138056,2020-05-18
16517,1130,6335,147108,2020-05-19
19694,876,9889,156037,2020-05-20
18508,1188,9277,164080,2020-05-21
20803,1001,9470,174412,2020-05-22
16508,965,7157,182798,2020-05-23
15813,653,7324,190634,2020-05-24
11687,807,3922,197592,2020-05-25
16324,1039,4760,208117,2020-05-26
20599,1086,8054,219576,2020-05-27
26417,1156,10957,233880,2020-05-28
26928,1124,11872,247812,2020-05-29
33274,956,11416,268714,2020-05-30
