Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
4,0,0,4,2020-03-08
0,0,0,4,2020-03-09
0,0,0,4,2020-03-10
3,1,0,6,2020-03-11
0,0,0,6,2020-03-12
16,0,0,22,2020-03-13
18,1,0,39,2020-03-14
10,0,0,49,2020-03-15
1,0,0,50,2020-03-16
15,0,0,65,2020-03-17
25,0,0,90,2020-03-18
2,1,0,91,2020-03-19
33,0,0,124,2020-03-20
36,0,3,157,2020-03-21
24,0,0,181,2020-03-22
14,0,0,195,2020-03-23
17,0,0,212,2020-03-24
24,0,1,235,2020-03-25
22,0,4,253,2020-03-26
29,0,1,281,2020-03-27
38,4,2,313,2020-03-28
15,1,3,324,2020-03-29
13,0,3,334,2020-03-30
40,0,0,374,2020-03-31
23,2,3,392,2020-04-01
35,0,5,422,2020-04-02
28,4,5,441,2020-04-03
18,3,4,452,2020-04-04
28,3,3,474,2020-04-05
18,2,2,488,2020-04-06
28,1,3,512,2020-04-07
16,1,0,527,2020-04-08
25,0,6,546,2020-04-09
17,1,6,556,2020-04-10
26,3,8,571,2020-04-11
14,1,6,578,2020-04-12
10,3,3,582,2020-04-13
28,3,10,597,2020-04-14
34,1,24,606,2020-04-15
53,2,17,640,2020-04-16
46,3,19,664,2020-04-17
32,0,12,684,2020-04-18
16,1,8,691,2020-04-19
35,1,6,719,2020-04-20
46,2,3,760,2020-04-21
49,4,4,801,2020-04-22
73,3,16,855,2020-04-23
137,2,7,983,2020-04-24
13,1,0,995,2020-04-25
53,1,8,1039,2020-04-26
63,2,1,1099,2020-04-27
36,0,16,1119,2020-04-28
48,6,21,1140,2020-04-29
59,2,23,1174,2020-04-30
49,2,10,1211,2020-05-01
39,4,11,1235,2020-05-02
24,1,21,1237,2020-05-03
34,5,13,1253,2020-05-04
52,2,21,1282,2020-05-05
74,4,18,1334,2020-05-06
51,0,24,1361,2020-05-07
43,2,17,1385,2020-05-08
49,4,21,1409,2020-05-09
44,1,22,1430,2020-05-10
25,2,17,1436,2020-05-11
33,2,15,1452,2020-05-12
46,1,23,1474,2020-05-13
31,3,32,1470,2020-05-14
38,3,14,1491,2020-05-15
37,3,28,1497,2020-05-16
36,3,25,1505,2020-05-17
24,2,14,1513,2020-05-18
24,2,34,1501,2020-05-19
33,4,38,1492,2020-05-20
39,4,43,1484,2020-05-21
41,5,42,1478,2020-05-22
36,1,39,1474,2020-05-23
19,4,32,1457,2020-05-24
6,0,22,1441,2020-05-25
10,0,18,1433,2020-05-26
17,3,32,1415,2020-05-27
17,1,53,1378,2020-05-28
8,2,51,1333,2020-05-29
14,3,48,1296,2020-05-30
14,1,10,1299,2020-05-31
6,0,16,1289,2020-06-01
19,4,33,1271,2020-06-02
22,2,83,1208,2020-06-03
25,1,116,1116,2020-06-04
42,12,68,1078,2020-06-05
84,1,155,1006,2020-06-06
16,0,3,1019,2020-06-07
83,4,39,1059,2020-06-08
