Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
1,0,0,1,2020-03-06
0,0,0,1,2020-03-07
1,0,0,2,2020-03-08
0,0,0,2,2020-03-09
0,0,0,2,2020-03-10
0,0,0,2,2020-03-11
0,0,0,2,2020-03-12
0,0,0,2,2020-03-13
0,0,0,2,2020-03-14
0,0,0,2,2020-03-15
2,0,0,4,2020-03-16
6,0,0,10,2020-03-17
0,0,0,10,2020-03-18
3,0,0,13,2020-03-19
7,0,0,20,2020-03-20
7,0,0,27,2020-03-21
13,0,0,40,2020-03-22
16,0,0,56,2020-03-23
10,0,0,66,2020-03-24
9,1,2,72,2020-03-25
0,0,0,72,2020-03-26
16,1,0,87,2020-03-27
0,0,0,87,2020-03-28
48,4,3,128,2020-03-29
0,0,0,128,2020-03-30
54,0,0,182,2020-03-31
40,0,5,217,2020-04-01
73,1,0,289,2020-04-02
203,1,7,484,2020-04-03
46,1,0,529,2020-04-04
95,0,0,624,2020-04-05
8,0,0,632,2020-04-06
0,0,26,606,2020-04-07
72,1,17,660,2020-04-08
0,0,0,660,2020-04-09
90,2,38,710,2020-04-10
0,0,0,710,2020-04-11
0,0,0,710,2020-04-12
0,0,0,710,2020-04-13
28,2,32,704,2020-04-14
0,3,35,666,2020-04-15
148,5,-1,810,2020-04-16
0,0,0,810,2020-04-17
21,0,13,818,2020-04-18
0,20,128,670,2020-04-19
146,0,0,816,2020-04-20
0,1,24,791,2020-04-21
0,0,68,723,2020-04-22
171,0,271,623,2020-04-23
96,0,0,719,2020-04-24
88,10,29,768,2020-04-25
103,3,89,779,2020-04-26
84,2,19,842,2020-04-27
0,0,110,732,2020-04-28
127,3,19,837,2020-04-29
0,0,0,837,2020-04-30
0,0,0,837,2020-05-01
245,3,19,1060,2020-05-02
0,0,0,1060,2020-05-03
27,0,0,1087,2020-05-04
0,0,0,1087,2020-05-05
161,44,47,1157,2020-05-06
2,0,2,1157,2020-05-07
0,0,0,1157,2020-05-08
7,0,230,934,2020-05-09
305,6,233,1000,2020-05-10
110,11,59,1040,2020-05-11
0,0,0,1040,2020-05-12
111,11,19,1121,2020-05-13
154,3,10,1262,2020-05-14
151,1,14,1398,2020-05-15
0,0,0,1398,2020-05-16
0,0,0,1398,2020-05-17
424,0,0,1822,2020-05-18
0,0,0,1822,2020-05-19
204,6,28,1992,2020-05-20
555,10,213,2324,2020-05-21
112,3,14,2419,2020-05-22
0,0,0,2419,2020-05-23
490,6,43,2860,2020-05-24
0,0,0,2860,2020-05-25
546,10,131,3265,2020-05-26
0,0,0,3265,2020-05-27
0,0,0,3265,2020-05-28
0,2,1330,1933,2020-05-29
468,14,242,2145,2020-05-30
0,0,0,2145,2020-05-31
493,8,61,2569,2020-06-01
188,1,47,2709,2020-06-02
0,0,0,2709,2020-06-03
204,3,29,2881,2020-06-04
603,2,870,2612,2020-06-05
207,7,12,2800,2020-06-06
309,0,148,2961,2020-06-07
152,0,13,3100,2020-06-08
