Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
0,0,0,0,2020-03-14
0,0,0,0,2020-03-15
0,0,0,0,2020-03-16
0,0,0,0,2020-03-17
0,0,0,0,2020-03-18
1,0,0,1,2020-03-19
0,0,0,1,2020-03-20
0,0,0,1,2020-03-21
0,0,0,1,2020-03-22
0,0,0,1,2020-03-23
2,0,0,3,2020-03-24
0,0,0,3,2020-03-25
0,0,0,3,2020-03-26
0,0,0,3,2020-03-27
0,0,0,3,2020-03-28
0,0,0,3,2020-03-29
2,0,0,5,2020-03-30
2,0,0,7,2020-03-31
0,0,0,7,2020-04-01
1,0,0,8,2020-04-02
0,0,0,8,2020-04-03
1,0,0,9,2020-04-04
0,0,0,9,2020-04-05
0,0,0,9,2020-04-06
1,0,2,8,2020-04-07
0,0,0,8,2020-04-08
1,0,0,9,2020-04-09
0,0,0,9,2020-04-10
0,0,0,9,2020-04-11
7,0,0,16,2020-04-12
5,0,0,21,2020-04-13
0,0,0,21,2020-04-14
0,0,0,21,2020-04-15
4,0,3,22,2020-04-16
0,0,0,22,2020-04-17
6,0,3,25,2020-04-18
0,0,0,25,2020-04-19
0,0,0,25,2020-04-20
0,0,0,25,2020-04-21
0,0,0,25,2020-04-22
0,0,0,25,2020-04-23
7,0,0,32,2020-04-24
6,0,7,31,2020-04-25
0,0,0,31,2020-04-26
0,0,0,31,2020-04-27
6,2,4,31,2020-04-28
0,0,0,31,2020-04-29
21,3,14,35,2020-04-30
0,0,0,35,2020-05-01
44,5,6,68,2020-05-02
0,0,0,68,2020-05-03
0,0,0,68,2020-05-04
53,7,4,110,2020-05-05
0,0,0,110,2020-05-06
83,10,7,176,2020-05-07
7,1,0,182,2020-05-08
62,3,3,238,2020-05-09
0,0,0,238,2020-05-10
0,0,0,238,2020-05-11
35,9,23,241,2020-05-12
15,2,2,252,2020-05-13
27,4,5,270,2020-05-14
29,2,5,292,2020-05-15
46,2,23,313,2020-05-16
29,3,6,333,2020-05-17
16,0,0,349,2020-05-18
26,3,22,350,2020-05-19
20,1,38,331,2020-05-20
23,1,9,344,2020-05-21
23,0,10,357,2020-05-22
37,2,8,384,2020-05-23
27,0,11,400,2020-05-24
12,1,29,382,2020-05-25
13,1,59,335,2020-05-26
15,2,56,292,2020-05-27
11,1,54,248,2020-05-28
33,0,31,250,2020-05-29
0,0,26,224,2020-05-30
19,0,21,222,2020-05-31
12,1,48,185,2020-06-01
13,0,23,175,2020-06-02
17,0,28,164,2020-06-03
8,0,43,129,2020-06-04
8,2,24,111,2020-06-05
0,1,15,95,2020-06-06
1,0,0,96,2020-06-07
2,1,13,84,2020-06-08
5,1,21,67,2020-06-09
2,1,0,68,2020-06-10
2,0,0,70,2020-06-11
