Confirmed,Deaths,Recovered,Active,Date
548,17,28,503,2020-01-22
95,1,2,595,2020-01-23
277,8,6,858,2020-01-24
486,16,3,1325,2020-01-25
669,14,10,1970,2020-01-26
802,26,9,2737,2020-01-27
2632,49,43,5277,2020-01-28
578,2,19,5834,2020-01-29
2054,38,15,7835,2020-01-30
1661,42,79,9375,2020-01-31
2089,46,61,11357,2020-02-01
4739,102,188,15806,2020-02-02
3086,64,151,18677,2020-02-03
3991,66,229,22373,2020-02-04
3733,72,272,25762,2020-02-05
3147,70,362,28477,2020-02-06
3523,85,522,31393,2020-02-07
2704,87,597,33413,2020-02-08
3015,100,623,35705,2020-02-09
2525,107,699,37424,2020-02-10
2032,100,718,38638,2020-02-11
373,5,446,38560,2020-02-12
15136,252,1135,52309,2020-02-13
6463,152,1760,56860,2020-02-14
2055,142,1321,57452,2020-02-15
2100,103,1457,57992,2020-02-16
1921,98,1707,58108,2020-02-17
1777,139,1744,58002,2020-02-18
408,113,1756,56541,2020-02-19
458,122,2052,54825,2020-02-20
473,0,690,54608,2020-02-21
1451,205,3995,51859,2020-02-22
21,2,488,51390,2020-02-23
219,150,1828,49631,2020-02-24
513,70,2661,47413,2020-02-25
412,52,2408,45365,2020-02-26
434,29,2846,42924,2020-02-27
328,44,3399,39809,2020-02-28
428,47,2991,37199,2020-02-29
576,35,2842,34898,2020-03-01
204,42,2692,32368,2020-03-02
125,33,2596,29864,2020-03-03
125,36,2551,27402,2020-03-04
151,32,2291,25230,2020-03-05
153,29,1652,23702,2020-03-06
80,28,1595,22159,2020-03-07
53,28,1849,20335,2020-03-08
37,23,1416,18933,2020-03-09
27,16,1377,17567,2020-03-10
34,22,1463,16116,2020-03-11
11,11,1257,14859,2020-03-12
13,8,1295,13569,2020-03-13
32,13,1464,12124,2020-03-14
26,10,1357,10783,2020-03-15
30,14,893,9906,2020-03-16
25,13,888,9030,2020-03-17
44,11,957,8106,2020-03-18
54,8,780,7372,2020-03-19
94,4,731,6731,2020-03-20
55,6,591,6189,2020-03-21
130,15,505,5799,2020-03-22
63,0,452,5410,2020-03-23
93,7,466,5030,2020-03-24
70,4,493,4603,2020-03-25
121,6,408,4310,2020-03-26
115,5,539,3881,2020-03-27
102,3,380,3600,2020-03-28
123,5,482,3236,2020-03-29
76,4,341,2967,2020-03-30
81,1,283,2764,2020-03-31
82,7,199,2640,2020-04-01
71,6,160,2545,2020-04-02
79,4,195,2425,2020-04-03
32,4,186,2267,2020-04-04
59,3,261,2062,2020-04-05
63,2,103,2020,2020-04-06
53,0,100,1973,2020-04-07
91,2,157,1905,2020-04-08
74,2,112,1865,2020-04-09
