Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
1,0,0,1,2020-03-06
0,0,0,1,2020-03-07
0,0,0,1,2020-03-08
0,0,0,1,2020-03-09
2,0,0,3,2020-03-10
6,0,0,9,2020-03-11
0,0,0,9,2020-03-12
4,0,0,13,2020-03-13
9,0,0,22,2020-03-14
12,0,0,34,2020-03-15
23,0,0,57,2020-03-16
18,0,1,74,2020-03-17
27,0,0,101,2020-03-18
6,0,0,107,2020-03-19
50,0,0,157,2020-03-20
38,0,0,195,2020-03-21
35,2,2,226,2020-03-22
46,1,0,271,2020-03-23
101,0,3,369,2020-03-24
92,1,2,458,2020-03-25
21,2,0,477,2020-03-26
48,0,2,523,2020-03-27
69,0,0,592,2020-03-28
94,4,0,682,2020-03-29
96,2,5,771,2020-03-30
108,4,16,859,2020-03-31
159,1,8,1009,2020-04-01
96,2,16,1087,2020-04-02
106,6,0,1187,2020-04-03
139,7,30,1289,2020-04-04
79,3,3,1362,2020-04-05
94,11,0,1445,2020-04-06
201,4,12,1630,2020-04-07
274,4,23,1877,2020-04-08
169,15,51,1980,2020-04-09
250,11,23,2196,2020-04-10
236,20,17,2395,2020-04-11
67,9,56,2397,2020-04-12
76,3,49,2421,2020-04-13
127,15,35,2498,2020-04-14
126,4,98,2522,2020-04-15
128,13,98,2539,2020-04-16
206,9,84,2652,2020-04-17
182,13,0,2821,2020-04-18
171,13,77,2902,2020-04-19
185,10,93,2984,2020-04-20
172,7,0,3149,2020-04-21
207,10,66,3280,2020-04-22
205,9,57,3419,2020-04-23
320,10,76,3653,2020-04-24
261,8,64,3842,2020-04-25
237,11,66,4002,2020-04-26
218,9,77,4134,2020-04-27
352,16,58,4412,2020-04-28
258,9,143,4518,2020-04-29
300,15,28,4775,2020-04-30
499,21,112,5141,2020-05-01
279,10,115,5295,2020-05-02
383,16,56,5606,2020-05-03
305,18,85,5808,2020-05-04
640,20,206,6222,2020-05-05
346,19,135,6414,2020-05-06
497,10,152,6749,2020-05-07
595,21,124,7199,2020-05-08
444,17,145,7481,2020-05-09
568,18,136,7895,2020-05-10
550,16,120,8309,2020-05-11
659,14,146,8808,2020-05-12
658,16,162,9288,2020-05-13
680,16,225,9727,2020-05-14
606,21,102,10210,2020-05-15
723,16,127,10790,2020-05-16
635,12,164,11249,2020-05-17
721,18,152,11800,2020-05-18
640,21,147,12272,2020-05-19
752,17,206,12801,2020-05-20
643,22,175,13247,2020-05-21
801,30,144,13874,2020-05-22
1046,23,143,14754,2020-05-23
998,22,298,15432,2020-05-24
806,23,249,15966,2020-05-25
1022,26,246,16716,2020-05-26
1101,27,600,17190,2020-05-27
1262,19,21,18412,2020-05-28
1322,31,555,19148,2020-05-29
1548,37,248,20411,2020-05-30
1147,49,97,21412,2020-05-31
1110,30,1352,21140,2020-06-01
1340,40,1305,21135,2020-06-02
1521,36,1482,21138,2020-06-03
1766,42,1148,21714,2020-06-04
1515,58,1351,21820,2020-06-05
