Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
1,0,0,1,2020-03-11
0,0,0,1,2020-03-12
1,0,0,2,2020-03-13
0,0,0,2,2020-03-14
0,0,0,2,2020-03-15
0,0,0,2,2020-03-16
1,0,0,3,2020-03-17
1,0,0,4,2020-03-18
10,0,0,14,2020-03-19
4,0,0,18,2020-03-20
5,1,0,22,2020-03-21
7,0,0,29,2020-03-22
6,0,0,35,2020-03-23
9,1,0,43,2020-03-24
3,0,0,46,2020-03-25
3,1,0,48,2020-03-26
0,0,2,46,2020-03-27
14,3,0,57,2020-03-28
0,0,0,57,2020-03-29
16,2,0,71,2020-03-30
17,0,0,88,2020-03-31
11,1,1,97,2020-04-01
25,4,0,118,2020-04-02
0,0,0,118,2020-04-03
20,5,0,133,2020-04-04
0,0,0,133,2020-04-05
7,0,2,138,2020-04-06
19,0,4,153,2020-04-07
0,0,0,153,2020-04-08
0,0,0,153,2020-04-09
35,2,4,182,2020-04-10
8,0,3,187,2020-04-11
11,0,0,198,2020-04-12
1,0,1,198,2020-04-13
6,0,3,201,2020-04-14
13,1,1,212,2020-04-15
13,1,2,222,2020-04-16
20,1,2,239,2020-04-17
20,2,1,256,2020-04-18
20,0,0,276,2020-04-19
5,0,1,280,2020-04-20
18,0,8,290,2020-04-21
9,0,10,289,2020-04-22
18,0,2,305,2020-04-23
17,0,1,321,2020-04-24
22,3,1,339,2020-04-25
26,0,1,364,2020-04-26
17,0,0,381,2020-04-27
12,2,6,385,2020-04-28
20,0,3,402,2020-04-29
81,1,14,468,2020-04-30
32,1,2,497,2020-05-01
70,1,0,566,2020-05-02
0,0,0,566,2020-05-03
8,1,5,568,2020-05-04
23,0,10,581,2020-05-05
92,1,2,670,2020-05-06
66,1,11,724,2020-05-07
74,3,27,768,2020-05-08
0,0,0,768,2020-05-09
54,2,6,814,2020-05-10
33,0,5,842,2020-05-11
78,3,5,912,2020-05-12
67,6,2,971,2020-05-13
73,0,9,1035,2020-05-14
56,0,55,1036,2020-05-15
157,11,58,1124,2020-05-16
0,0,0,1124,2020-05-17
83,0,2,1205,2020-05-18
91,0,18,1278,2020-05-19
102,0,12,1368,2020-05-20
104,0,1,1471,2020-05-21
110,2,9,1570,2020-05-22
80,0,0,1650,2020-05-23
116,0,5,1761,2020-05-24
156,4,20,1893,2020-05-25
106,1,3,1995,2020-05-26
143,0,25,2113,2020-05-27
114,1,16,2210,2020-05-28
173,0,19,2364,2020-05-29
133,0,28,2469,2020-05-30
104,3,20,2550,2020-05-31
125,0,6,2669,2020-06-01
131,0,28,2772,2020-06-02
169,3,10,2928,2020-06-03
149,3,3,3071,2020-06-04
120,3,17,3171,2020-06-05
114,1,25,3259,2020-06-06
138,3,0,3394,2020-06-07
90,3,0,3481,2020-06-08
153,2,2,3630,2020-06-09
