Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
1,0,0,1,2020-03-06
0,0,0,1,2020-03-07
4,0,0,5,2020-03-08
4,0,0,9,2020-03-09
0,0,0,9,2020-03-10
4,0,0,13,2020-03-11
9,0,0,22,2020-03-12
1,0,0,23,2020-03-13
3,0,0,26,2020-03-14
1,0,0,27,2020-03-15
8,0,0,35,2020-03-16
6,0,0,41,2020-03-17
9,0,0,50,2020-03-18
19,1,0,68,2020-03-19
20,0,0,88,2020-03-20
28,1,2,113,2020-03-21
17,0,0,130,2020-03-22
24,0,0,154,2020-03-23
19,0,0,173,2020-03-24
24,0,0,197,2020-03-25
30,0,0,227,2020-03-26
32,0,1,258,2020-03-27
32,0,0,290,2020-03-28
19,0,0,309,2020-03-29
16,0,1,324,2020-03-30
17,0,0,341,2020-03-31
28,0,0,369,2020-04-01
21,0,2,388,2020-04-02
20,0,5,403,2020-04-03
19,0,2,420,2020-04-04
19,0,3,436,2020-04-05
13,0,2,447,2020-04-06
16,0,6,457,2020-04-07
19,1,5,470,2020-04-08
37,0,1,506,2020-04-09
19,0,12,513,2020-04-10
19,0,7,525,2020-04-11
18,0,7,536,2020-04-12
17,0,6,547,2020-04-13
6,0,4,549,2020-04-14
8,1,1,555,2020-04-15
16,0,7,564,2020-04-16
7,0,14,557,2020-04-17
6,0,9,554,2020-04-18
5,1,15,543,2020-04-19
2,1,12,532,2020-04-20
7,0,26,513,2020-04-21
12,0,30,495,2020-04-22
5,0,16,484,2020-04-23
1,0,20,465,2020-04-24
6,0,26,445,2020-04-25
2,0,22,425,2020-04-26
2,0,23,404,2020-04-27
8,0,19,393,2020-04-28
8,0,17,384,2020-04-29
6,0,15,375,2020-04-30
6,0,17,364,2020-05-01
8,0,17,355,2020-05-02
6,0,14,347,2020-05-03
3,0,13,337,2020-05-04
13,0,14,336,2020-05-05
6,0,15,327,2020-05-06
4,0,17,314,2020-05-07
8,0,16,306,2020-05-08
7,0,19,294,2020-05-09
12,1,21,284,2020-05-10
9,0,16,277,2020-05-11
3,0,3,277,2020-05-12
11,1,7,280,2020-05-13
15,0,8,287,2020-05-14
13,1,7,292,2020-05-15
10,1,9,292,2020-05-16
10,0,14,288,2020-05-17
3,0,10,281,2020-05-18
16,0,2,295,2020-05-19
15,0,5,305,2020-05-20
6,0,10,301,2020-05-21
8,0,8,301,2020-05-22
7,0,7,301,2020-05-23
12,0,13,300,2020-05-24
21,0,8,313,2020-05-25
5,0,6,312,2020-05-26
28,0,5,335,2020-05-27
16,0,7,344,2020-05-28
22,0,7,359,2020-05-29
25,0,5,379,2020-05-30
9,0,11,377,2020-05-31
28,0,7,398,2020-06-01
21,0,6,413,2020-06-02
52,0,3,462,2020-06-03
37,0,2,497,2020-06-04
34,0,8,523,2020-06-05
35,0,6,552,2020-06-06
55,0,3,604,2020-06-07
24,1,8,619,2020-06-08
33,0,5,647,2020-06-09
86,1,5,727,2020-06-10
77,0,0,804,2020-06-11
