Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
1,0,0,1,2020-02-25
2,0,0,3,2020-02-26
0,0,0,3,2020-02-27
2,0,0,5,2020-02-28
1,0,0,6,2020-02-29
1,0,0,7,2020-03-01
0,0,0,7,2020-03-02
2,0,0,9,2020-03-03
1,0,0,10,2020-03-04
0,0,0,10,2020-03-05
1,0,0,11,2020-03-06
1,0,0,12,2020-03-07
0,0,0,12,2020-03-08
0,0,0,12,2020-03-09
2,0,0,14,2020-03-10
5,0,0,19,2020-03-11
0,0,0,19,2020-03-12
13,0,1,31,2020-03-13
6,0,0,37,2020-03-14
11,0,0,48,2020-03-15
8,0,1,55,2020-03-16
8,0,2,61,2020-03-17
16,0,0,77,2020-03-18
24,1,1,99,2020-03-19
23,0,0,122,2020-03-20
78,0,0,200,2020-03-21
48,0,0,248,2020-03-22
61,0,0,309,2020-03-23
67,0,0,376,2020-03-24
60,0,17,419,2020-03-25
53,2,0,470,2020-03-26
91,0,15,546,2020-03-27
71,2,8,607,2020-03-28
56,1,7,655,2020-03-29
77,0,15,717,2020-03-30
77,0,0,794,2020-03-31
96,0,6,884,2020-04-01
48,1,15,916,2020-04-02
68,1,4,979,2020-04-03
47,4,27,995,2020-04-04
56,3,6,1042,2020-04-05
40,1,5,1076,2020-04-06
60,2,37,1097,2020-04-07
61,1,12,1145,2020-04-08
64,1,40,1168,2020-04-09
88,1,12,1243,2020-04-10
39,0,92,1190,2020-04-11
66,2,50,1204,2020-04-12
50,2,27,1225,2020-04-13
54,6,15,1258,2020-04-14
37,2,58,1235,2020-04-15
50,2,56,1227,2020-04-16
23,1,71,1178,2020-04-17
18,3,15,1178,2020-04-18
39,8,94,1115,2020-04-19
10,0,62,1063,2020-04-20
27,1,30,1059,2020-04-21
42,0,68,1033,2020-04-22
31,2,14,1048,2020-04-23
28,1,99,976,2020-04-24
7,3,52,928,2020-04-25
14,1,69,872,2020-04-26
9,4,63,814,2020-04-27
8,4,66,752,2020-04-28
15,4,56,707,2020-04-29
14,2,60,659,2020-04-30
9,6,73,589,2020-05-01
3,2,42,548,2020-05-02
8,2,26,528,2020-05-03
5,1,33,499,2020-05-04
11,3,38,469,2020-05-05
7,2,41,433,2020-05-06
6,1,40,398,2020-05-07
36,0,48,386,2020-05-08
15,1,37,363,2020-05-09
11,3,38,333,2020-05-10
9,1,20,321,2020-05-11
11,0,24,308,2020-05-12
6,3,26,285,2020-05-13
8,0,16,277,2020-05-14
1,1,19,258,2020-05-15
2,0,44,216,2020-05-16
2,0,23,195,2020-05-17
2,0,10,187,2020-05-18
4,1,21,169,2020-05-19
2,0,11,160,2020-05-20
3,1,0,162,2020-05-21
6,2,33,133,2020-05-22
0,0,12,121,2020-05-23
1,0,4,118,2020-05-24
0,1,8,109,2020-05-25
0,1,11,97,2020-05-26
0,0,1,96,2020-05-27
1,1,4,92,2020-05-28
0,1,8,83,2020-05-29
1,0,4,80,2020-05-30
0,0,9,71,2020-05-31
0,0,5,66,2020-06-01
0,0,11,55,2020-06-02
0,0,7,48,2020-06-03
1,0,10,39,2020-06-04
0,0,8,31,2020-06-05
0,1,8,22,2020-06-06
0,0,5,17,2020-06-07
0,0,2,15,2020-06-08
0,2,2,11,2020-06-09
2,0,0,13,2020-06-10
