Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
3,0,0,3,2020-03-12
1,0,0,4,2020-03-13
0,0,0,4,2020-03-14
0,0,0,4,2020-03-15
0,0,0,4,2020-03-16
1,0,0,5,2020-03-17
2,1,0,6,2020-03-18
4,0,0,10,2020-03-19
5,0,0,15,2020-03-20
5,0,0,20,2020-03-21
14,0,0,34,2020-03-22
5,0,0,39,2020-03-23
8,0,1,46,2020-03-24
9,0,0,55,2020-03-25
10,1,0,64,2020-03-26
13,0,3,74,2020-03-27
39,1,0,112,2020-03-28
20,0,0,132,2020-03-29
31,1,0,162,2020-03-30
16,2,4,172,2020-03-31
26,0,4,194,2020-04-01
21,0,1,214,2020-04-02
36,0,2,248,2020-04-03
19,0,0,267,2020-04-04
32,2,0,297,2020-04-05
30,1,3,323,2020-04-06
46,2,9,358,2020-04-07
61,1,0,418,2020-04-08
58,3,1,472,2020-04-09
49,0,23,498,2020-04-10
56,1,26,527,2020-04-11
49,2,15,559,2020-04-12
57,3,29,584,2020-04-13
40,0,11,613,2020-04-14
48,3,19,639,2020-04-15
48,3,20,664,2020-04-16
61,4,21,700,2020-04-17
63,1,35,727,2020-04-18
49,2,28,746,2020-04-19
52,2,30,766,2020-04-20
50,2,24,790,2020-04-21
52,2,32,808,2020-04-22
46,3,24,827,2020-04-23
50,6,51,820,2020-04-24
52,2,21,849,2020-04-25
32,3,64,814,2020-04-26
20,2,24,808,2020-04-27
48,2,50,804,2020-04-28
30,0,42,792,2020-04-29
34,3,64,759,2020-04-30
36,3,33,759,2020-05-01
74,2,51,780,2020-05-02
38,1,62,755,2020-05-03
19,2,49,723,2020-05-04
17,0,78,662,2020-05-05
18,0,47,633,2020-05-06
26,4,30,625,2020-05-07
12,1,47,589,2020-05-08
13,0,62,540,2020-05-09
12,3,53,496,2020-05-10
17,0,36,477,2020-05-11
21,1,48,449,2020-05-12
6,1,49,405,2020-05-13
20,0,57,368,2020-05-14
10,0,42,336,2020-05-15
22,0,35,323,2020-05-16
10,0,35,298,2020-05-17
9,0,10,297,2020-05-18
6,0,33,270,2020-05-19
13,0,35,248,2020-05-20
8,1,30,225,2020-05-21
8,1,28,204,2020-05-22
15,0,40,179,2020-05-23
10,1,18,170,2020-05-24
6,0,15,161,2020-05-25
16,0,5,172,2020-05-26
11,0,15,168,2020-05-27
9,0,10,167,2020-05-28
22,0,26,163,2020-05-29
20,1,35,147,2020-05-30
20,0,14,153,2020-05-31
38,0,17,174,2020-06-01
9,0,1,182,2020-06-02
15,0,3,194,2020-06-03
12,0,9,197,2020-06-04
14,0,9,202,2020-06-05
40,0,7,235,2020-06-06
18,0,7,246,2020-06-07
9,0,6,249,2020-06-08
5,0,12,242,2020-06-09
6,0,6,242,2020-06-10
8,1,7,242,2020-06-11
