Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
2,0,0,2,2020-03-09
1,0,0,3,2020-03-10
3,0,0,6,2020-03-11
0,0,0,6,2020-03-12
8,0,0,14,2020-03-13
12,0,0,26,2020-03-14
0,0,0,26,2020-03-15
7,0,0,33,2020-03-16
13,0,0,46,2020-03-17
3,0,0,49,2020-03-18
18,0,0,67,2020-03-19
0,0,0,67,2020-03-20
17,0,0,84,2020-03-21
11,1,3,91,2020-03-22
21,0,0,112,2020-03-23
8,2,0,118,2020-03-24
8,0,0,126,2020-03-25
14,0,1,139,2020-03-26
16,2,11,142,2020-03-27
17,0,0,159,2020-03-28
35,0,0,194,2020-03-29
16,2,7,201,2020-03-30
32,1,1,231,2020-03-31
58,1,5,283,2020-04-01
36,1,0,318,2020-04-02
40,1,0,357,2020-04-03
30,0,5,382,2020-04-04
20,-2,4,400,2020-04-05
19,0,8,411,2020-04-06
29,0,2,438,2020-04-07
32,0,5,465,2020-04-08
38,1,1,501,2020-04-09
31,0,5,527,2020-04-10
21,0,3,545,2020-04-11
17,1,4,557,2020-04-12
29,1,0,585,2020-04-13
33,0,0,618,2020-04-14
20,0,0,638,2020-04-15
20,0,12,646,2020-04-16
15,0,0,661,2020-04-17
11,0,2,670,2020-04-18
6,0,2,674,2020-04-19
5,0,0,679,2020-04-20
12,0,17,674,2020-04-21
6,1,0,679,2020-04-22
5,0,0,684,2020-04-23
9,1,0,692,2020-04-24
6,0,50,648,2020-04-25
7,0,0,655,2020-04-26
5,1,0,659,2020-04-27
15,0,0,674,2020-04-28
6,0,0,680,2020-04-29
7,0,148,539,2020-04-30
7,0,0,546,2020-05-01
7,0,0,553,2020-05-02
8,0,0,561,2020-05-03
2,0,0,563,2020-05-04
4,0,0,567,2020-05-05
5,0,0,572,2020-05-06
6,0,104,474,2020-05-07
2,0,0,476,2020-05-08
1,0,1,476,2020-05-09
6,1,0,481,2020-05-10
3,0,0,484,2020-05-11
2,0,48,438,2020-05-12
2,1,0,439,2020-05-13
2,0,32,409,2020-05-14
3,0,0,412,2020-05-15
4,0,34,382,2020-05-16
2,0,0,384,2020-05-17
1,0,0,385,2020-05-18
1,0,0,386,2020-05-19
4,0,1,389,2020-05-20
1,0,45,345,2020-05-21
4,0,0,349,2020-05-22
0,0,33,316,2020-05-23
8,0,0,324,2020-05-24
2,0,0,326,2020-05-25
2,0,0,328,2020-05-26
0,0,0,328,2020-05-27
2,0,190,140,2020-05-28
1,0,0,141,2020-05-29
2,0,6,137,2020-05-30
0,0,0,137,2020-05-31
5,0,0,142,2020-06-01
3,0,0,145,2020-06-02
6,0,0,151,2020-06-03
0,0,0,151,2020-06-04
2,0,17,136,2020-06-05
0,1,0,135,2020-06-06
4,0,0,139,2020-06-07
6,0,0,145,2020-06-08
2,0,0,147,2020-06-09
2,0,0,149,2020-06-10
1,0,0,150,2020-06-11
