Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
3,0,0,3,2020-03-01
0,0,0,3,2020-03-02
2,0,0,5,2020-03-03
3,0,0,8,2020-03-04
4,0,0,12,2020-03-05
6,0,0,18,2020-03-06
1,0,0,19,2020-03-07
12,0,0,31,2020-03-08
0,0,0,31,2020-03-09
10,0,0,41,2020-03-10
50,0,0,91,2020-03-11
3,0,0,94,2020-03-12
47,0,0,141,2020-03-13
48,0,0,189,2020-03-14
64,0,0,253,2020-03-15
45,0,3,295,2020-03-16
98,0,0,393,2020-03-17
68,0,0,461,2020-03-18
230,0,0,691,2020-03-19
139,0,1,829,2020-03-20
162,0,2,989,2020-03-21
125,1,0,1113,2020-03-22
116,0,0,1229,2020-03-23
158,2,4,1381,2020-03-24
260,3,0,1638,2020-03-25
271,3,0,1906,2020-03-26
354,0,1,2259,2020-03-27
352,2,0,2609,2020-03-28
186,5,0,2790,2020-03-29
184,7,14,2953,2020-03-30
307,8,20,3232,2020-03-31
200,8,16,3408,2020-04-01
350,5,6,3747,2020-04-02
233,9,5,3966,2020-04-03
381,6,6,4335,2020-04-04
115,8,18,4424,2020-04-05
235,11,25,4623,2020-04-06
195,10,51,4757,2020-04-07
295,11,61,4980,2020-04-08
257,13,68,5156,2020-04-09
163,7,45,5267,2020-04-10
99,10,65,5291,2020-04-11
160,9,53,5389,2020-04-12
68,5,55,5397,2020-04-13
52,18,123,5308,2020-04-14
105,5,177,5231,2020-04-15
217,3,153,5292,2020-04-16
116,4,202,5202,2020-04-17
57,8,53,5198,2020-04-18
140,5,71,5262,2020-04-19
154,8,261,5147,2020-04-20
133,7,194,5079,2020-04-21
99,7,236,4935,2020-04-22
55,2,163,4825,2020-04-23
86,4,219,4688,2020-04-24
79,4,82,4681,2020-04-25
52,2,92,4639,2020-04-26
41,3,281,4396,2020-04-27
59,4,122,4329,2020-04-28
75,0,160,4244,2020-04-29
103,9,206,4132,2020-04-30
55,4,58,4125,2020-05-01
18,5,89,4049,2020-05-02
26,3,126,3946,2020-05-03
38,4,220,3760,2020-05-04
77,5,199,3633,2020-05-05
78,5,199,3507,2020-05-06
57,8,166,3390,2020-05-07
46,3,42,3391,2020-05-08
18,3,34,3372,2020-05-09
28,4,27,3369,2020-05-10
53,2,237,3183,2020-05-11
45,1,178,3049,2020-05-12
48,7,158,2932,2020-05-13
82,3,194,2817,2020-05-14
55,2,140,2730,2020-05-15
49,1,41,2737,2020-05-16
20,2,40,2715,2020-05-17
111,-1,179,2648,2020-05-18
61,5,85,2619,2020-05-19
74,2,104,2587,2020-05-20
33,2,96,2522,2020-05-21
59,6,99,2476,2020-05-22
77,2,19,2532,2020-05-23
65,1,34,2562,2020-05-24
47,2,104,2503,2020-05-25
48,0,88,2463,2020-05-26
36,0,100,2399,2020-05-27
54,2,90,2361,2020-05-28
56,0,40,2377,2020-05-29
34,0,46,2365,2020-05-30
38,1,12,2390,2020-05-31
34,1,84,2339,2020-06-01
62,2,44,2355,2020-06-02
74,2,63,2364,2020-06-03
56,1,60,2359,2020-06-04
35,1,72,2321,2020-06-05
38,0,4,2355,2020-06-06
