Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
1,0,0,1,2020-03-01
0,0,0,1,2020-03-02
0,0,0,1,2020-03-03
0,0,0,1,2020-03-04
0,0,0,1,2020-03-05
1,0,0,2,2020-03-06
0,0,0,2,2020-03-07
3,0,0,5,2020-03-08
0,0,0,5,2020-03-09
0,0,0,5,2020-03-10
0,0,0,5,2020-03-11
0,0,0,5,2020-03-12
0,0,0,5,2020-03-13
6,0,0,11,2020-03-14
0,0,0,11,2020-03-15
0,0,0,11,2020-03-16
10,1,0,20,2020-03-17
0,0,0,20,2020-03-18
13,1,0,32,2020-03-19
38,0,0,70,2020-03-20
40,0,0,110,2020-03-21
90,1,0,199,2020-03-22
43,0,0,242,2020-03-23
67,3,3,303,2020-03-24
80,4,0,379,2020-03-25
96,0,0,475,2020-03-26
93,10,0,558,2020-03-27
138,8,0,688,2020-03-28
140,11,0,817,2020-03-29
42,3,1,855,2020-03-30
208,9,1,1053,2020-03-31
175,6,4,1218,2020-04-01
96,3,7,1304,2020-04-02
108,8,0,1404,2020-04-03
0,0,0,1404,2020-04-04
257,14,1,1646,2020-04-05
83,4,16,1709,2020-04-06
128,12,3,1822,2020-04-07
155,10,14,1953,2020-04-08
238,10,30,2151,2020-04-09
271,8,18,2396,2020-04-10
139,9,10,2516,2020-04-11
208,38,23,2663,2020-04-12
200,4,21,2838,2020-04-13
119,6,10,2941,2020-04-14
328,6,46,3217,2020-04-15
141,7,7,3344,2020-04-16
371,4,53,3658,2020-04-17
209,17,44,3806,2020-04-18
345,9,51,4091,2020-04-19
284,9,53,4313,2020-04-20
80,10,47,4336,2020-04-21
256,15,118,4459,2020-04-22
243,5,0,4697,2020-04-23
206,2,182,4719,2020-04-24
177,6,59,4831,2020-04-25
209,5,88,4947,2020-04-26
158,4,83,5018,2020-04-27
123,4,172,4965,2020-04-28
236,7,63,5131,2020-04-29
320,8,73,5370,2020-04-30
316,12,86,5588,2020-05-01
290,13,94,5771,2020-05-02
376,7,125,6015,2020-05-03
281,13,165,6118,2020-05-04
245,8,134,6221,2020-05-05
327,8,55,6485,2020-05-06
288,11,104,6658,2020-05-07
281,7,222,6710,2020-05-08
506,5,298,6913,2020-05-09
465,3,179,7196,2020-05-10
287,5,107,7371,2020-05-11
266,9,351,7277,2020-05-12
296,7,0,7566,2020-05-13
124,13,130,7547,2020-05-14
419,2,206,7758,2020-05-15
371,4,169,7956,2020-05-16
204,0,2121,6039,2020-05-17
411,6,766,5678,2020-05-18
498,7,0,6169,2020-05-19
254,5,529,5889,2020-05-20
180,2,224,5843,2020-05-21
332,8,206,5961,2020-05-22
433,2,282,6110,2020-05-23
379,0,279,6210,2020-05-24
272,2,152,6328,2020-05-25
191,8,249,6262,2020-05-26
459,6,256,6459,2020-05-27
345,11,162,6631,2020-05-28
463,3,314,6777,2020-05-29
377,10,291,6853,2020-05-30
377,4,1002,6224,2020-05-31
287,0,334,6177,2020-06-01
180,13,182,6162,2020-06-02
288,1,149,6300,2020-06-03
279,4,250,6325,2020-06-04
389,5,262,6447,2020-06-05
487,11,183,6740,2020-06-06
