Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
6,0,0,6,2020-03-01
0,0,0,6,2020-03-02
1,0,0,7,2020-03-03
3,0,0,10,2020-03-04
3,0,0,13,2020-03-05
0,0,0,13,2020-03-06
0,0,0,13,2020-03-07
1,0,0,14,2020-03-08
1,0,0,15,2020-03-09
0,0,0,15,2020-03-10
2,0,0,17,2020-03-11
0,0,0,17,2020-03-12
0,0,0,17,2020-03-13
11,2,0,26,2020-03-14
0,0,0,26,2020-03-15
9,0,0,35,2020-03-16
21,0,0,56,2020-03-17
53,0,0,109,2020-03-18
88,1,0,196,2020-03-19
168,2,0,362,2020-03-20
139,2,3,496,2020-03-21
283,7,0,772,2020-03-22
192,4,0,960,2020-03-23
101,9,0,1052,2020-03-24
91,1,0,1142,2020-03-25
230,6,0,1366,2020-03-26
192,2,0,1556,2020-03-27
228,12,0,1772,2020-03-28
101,10,0,1863,2020-03-29
38,2,0,1899,2020-03-30
278,15,51,2111,2020-03-31
508,18,4,2597,2020-04-01
415,27,7,2978,2020-04-02
205,25,0,3158,2020-04-03
97,27,35,3193,2020-04-04
181,8,0,3366,2020-04-05
101,11,0,3456,2020-04-06
0,0,0,3456,2020-04-07
703,51,40,4068,2020-04-08
515,30,199,4354,2020-04-09
2196,25,29,6496,2020-04-10
96,18,43,6531,2020-04-11
209,18,90,6632,2020-04-12
63,22,96,6577,2020-04-13
74,14,99,6538,2020-04-14
255,19,84,6690,2020-04-15
367,15,58,6984,2020-04-16
225,18,0,7191,2020-04-17
572,35,170,7558,2020-04-18
446,18,53,7933,2020-04-19
660,33,89,8471,2020-04-20
270,13,57,8671,2020-04-21
452,17,55,9051,2020-04-22
333,23,66,9295,2020-04-23
11536,16,38,20777,2020-04-24
0,0,0,20777,2020-04-25
0,0,0,20777,2020-04-26
521,87,191,21020,2020-04-27
1018,208,0,21830,2020-04-28
417,12,0,22235,2020-04-29
259,17,1,22476,2020-04-30
1402,163,355,23360,2020-05-01
1128,308,219,23961,2020-05-02
2074,193,1168,24674,2020-05-03
2343,5,133,26879,2020-05-04
0,0,0,26879,2020-05-05
0,49,0,26830,2020-05-06
-1583,36,0,25211,2020-05-07
-1480,50,0,23681,2020-05-08
253,13,0,23921,2020-05-09
488,410,0,23999,2020-05-10
-50,18,0,23931,2020-05-11
910,182,0,24659,2020-05-12
67,7,0,24719,2020-05-13
16,4,0,24731,2020-05-14
965,256,0,25440,2020-05-15
1296,94,0,26642,2020-05-16
419,48,0,27013,2020-05-17
400,63,0,27350,2020-05-18
569,40,24,27855,2020-05-19
703,49,100,28409,2020-05-20
452,51,0,28810,2020-05-21
522,117,0,29215,2020-05-22
430,40,0,29605,2020-05-23
498,12,3,30088,2020-05-24
599,95,14443,16149,2020-05-25
0,0,0,16149,2020-05-26
748,72,422,16403,2020-05-27
368,38,0,16733,2020-05-28
100,21,765,16047,2020-05-29
0,0,0,16047,2020-05-30
527,24,402,16148,2020-05-31
0,0,0,16148,2020-06-01
1316,80,427,16957,2020-06-02
552,48,0,17461,2020-06-03
0,0,0,17461,2020-06-04
609,48,549,17473,2020-06-05
