Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
2,0,0,2,2020-01-24
1,0,0,3,2020-01-25
0,0,0,3,2020-01-26
0,0,0,3,2020-01-27
1,0,0,4,2020-01-28
1,0,0,5,2020-01-29
0,0,0,5,2020-01-30
0,0,0,5,2020-01-31
1,0,0,6,2020-02-01
0,0,0,6,2020-02-02
0,0,0,6,2020-02-03
0,0,0,6,2020-02-04
0,0,0,6,2020-02-05
0,0,0,6,2020-02-06
0,0,0,6,2020-02-07
5,0,0,11,2020-02-08
0,0,0,11,2020-02-09
0,0,0,11,2020-02-10
0,0,0,11,2020-02-11
0,0,2,9,2020-02-12
0,0,0,9,2020-02-13
0,0,0,9,2020-02-14
1,1,2,7,2020-02-15
0,0,0,7,2020-02-16
0,0,0,7,2020-02-17
0,0,0,7,2020-02-18
0,0,0,7,2020-02-19
0,0,0,7,2020-02-20
0,0,0,7,2020-02-21
0,0,0,7,2020-02-22
0,0,0,7,2020-02-23
0,0,0,7,2020-02-24
2,0,7,2,2020-02-25
4,1,0,5,2020-02-26
20,0,0,25,2020-02-27
19,0,0,44,2020-02-28
43,0,1,86,2020-02-29
30,0,0,116,2020-03-01
61,1,0,176,2020-03-02
13,1,0,188,2020-03-03
84,0,0,272,2020-03-04
92,2,0,362,2020-03-05
276,3,0,635,2020-03-06
303,2,0,936,2020-03-07
177,8,0,1105,2020-03-08
83,0,0,1188,2020-03-09
575,14,0,1749,2020-03-10
499,15,0,2233,2020-03-11
0,0,0,2233,2020-03-12
1388,31,0,3590,2020-03-13
815,12,0,4393,2020-03-14
36,0,0,4429,2020-03-15
2151,58,0,6522,2020-03-16
1032,0,0,7554,2020-03-17
1409,0,0,8963,2020-03-18
1846,95,0,10714,2020-03-19
1788,207,0,12295,2020-03-20
1705,112,0,13888,2020-03-21
1780,113,2194,13361,2020-03-22
3880,186,0,17055,2020-03-23
2499,240,1044,18270,2020-03-24
2978,231,657,20360,2020-03-25
3951,365,1048,22898,2020-03-26
3851,299,752,25698,2020-03-27
4703,320,17,30064,2020-03-28
2603,294,1502,30871,2020-03-29
4462,419,738,34176,2020-03-30
7657,502,1549,39782,2020-03-31
4922,882,1540,42282,2020-04-01
2180,984,1495,41983,2020-04-02
5273,1122,1587,44547,2020-04-03
4298,1054,1437,46354,2020-04-04
1912,519,777,46970,2020-04-05
3931,833,1079,48989,2020-04-06
3820,1417,2095,49297,2020-04-07
3894,544,1929,50718,2020-04-08
4309,1341,1961,51725,2020-04-09
4372,987,1782,53328,2020-04-10
3125,636,1468,54349,2020-04-11
26849,561,806,79831,2020-04-12
3682,574,532,82407,2020-04-13
4971,745,804,85829,2020-04-14
3220,1438,2150,85461,2020-04-15
12490,753,1857,95341,2020-04-16
2009,761,1608,94981,2020-04-17
2,642,1563,92778,2020-04-18
4925,395,595,96713,2020-04-19
2382,547,831,97717,2020-04-20
2775,531,1772,98189,2020-04-21
-2188,544,1476,93981,2020-04-22
2323,516,1431,94357,2020-04-23
1649,390,1405,94211,2020-04-24
1692,369,1101,94433,2020-04-25
576,242,309,94458,2020-04-26
3743,437,610,97154,2020-04-27
3090,367,1373,98504,2020-04-28
-2510,427,1342,94225,2020-04-29
756,289,1248,93444,2020-04-30
6,218,736,92496,2020-05-01
1213,166,451,93092,2020-05-02
407,137,222,93140,2020-05-03
658,304,591,92903,2020-05-04
1104,333,1366,92308,2020-05-05
3537,275,1237,94333,2020-05-06
694,178,1112,93737,2020-05-07
1284,243,701,94077,2020-05-08
580,80,256,94321,2020-05-09
312,70,179,94384,2020-05-10
453,263,508,94066,2020-05-11
802,348,1063,93457,2020-05-12
-165,83,888,92321,2020-05-13
810,351,933,91847,2020-05-14
636,104,843,91536,2020-05-15
0,0,0,91536,2020-05-16
63,579,765,90255,2020-05-17
358,131,516,89966,2020-05-18
882,-217,835,90230,2020-05-19
767,110,794,90093,2020-05-20
251,83,504,89757,2020-05-21
403,74,351,89735,2020-05-22
340,43,338,89694,2020-05-23
15,35,70,89604,2020-05-24
358,90,582,89290,2020-05-25
-220,73,680,88317,2020-05-26
191,66,705,87737,2020-05-27
3326,66,607,90390,2020-05-28
559,52,612,90285,2020-05-29
1829,57,465,91592,2020-05-30
