Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
1,0,0,1,2020-01-27
3,0,0,4,2020-01-28
0,0,0,4,2020-01-29
0,0,0,4,2020-01-30
1,0,0,5,2020-01-31
3,0,0,8,2020-02-01
2,0,0,10,2020-02-02
2,0,0,12,2020-02-03
0,0,0,12,2020-02-04
0,0,0,12,2020-02-05
0,0,0,12,2020-02-06
1,0,0,13,2020-02-07
0,0,0,13,2020-02-08
1,0,0,14,2020-02-09
0,0,0,14,2020-02-10
2,0,0,16,2020-02-11
0,0,0,16,2020-02-12
0,0,1,15,2020-02-13
0,0,0,15,2020-02-14
0,0,0,15,2020-02-15
0,0,0,15,2020-02-16
0,0,0,15,2020-02-17
0,0,11,4,2020-02-18
0,0,0,4,2020-02-19
0,0,0,4,2020-02-20
0,0,2,2,2020-02-21
0,0,0,2,2020-02-22
0,0,0,2,2020-02-23
0,0,0,2,2020-02-24
1,0,0,3,2020-02-25
10,0,1,12,2020-02-26
19,0,1,30,2020-02-27
2,0,0,32,2020-02-28
31,0,0,63,2020-02-29
51,0,0,114,2020-03-01
29,0,0,143,2020-03-02
37,0,0,180,2020-03-03
66,0,0,246,2020-03-04
220,0,0,466,2020-03-05
188,0,1,653,2020-03-06
129,0,1,781,2020-03-07
241,0,0,1022,2020-03-08
136,2,0,1156,2020-03-09
281,0,0,1437,2020-03-10
451,1,7,1880,2020-03-11
170,0,0,2050,2020-03-12
1597,4,21,3622,2020-03-13
910,2,0,4530,2020-03-14
1210,2,0,5738,2020-03-15
1477,6,21,7188,2020-03-16
1985,7,0,9166,2020-03-17
3070,4,38,12194,2020-03-18
2993,16,8,15163,2020-03-19
4528,23,67,19601,2020-03-20
2365,17,53,21896,2020-03-21
2660,10,33,24513,2020-03-22
4183,29,0,28667,2020-03-23
3930,34,2977,29586,2020-03-24
4337,49,304,33570,2020-03-25
6615,61,2126,37998,2020-03-26
6933,75,985,43871,2020-03-27
6824,91,1823,48781,2020-03-28
4400,100,730,52351,2020-03-29
4790,112,4289,52740,2020-03-30
4923,130,2600,54933,2020-03-31
6064,145,2600,58252,2020-04-01
6922,187,3740,61247,2020-04-02
6365,168,2135,65309,2020-04-03
4933,169,1825,68248,2020-04-04
4031,140,2300,69839,2020-04-05
3251,226,0,72864,2020-04-06
4289,206,7381,69566,2020-04-07
5633,333,10219,64647,2020-04-08
4885,258,6107,63167,2020-04-09
3990,160,1506,65491,2020-04-10
2737,-31,3487,64772,2020-04-11
2946,286,2900,64532,2020-04-12
2218,172,4000,62578,2020-04-13
1287,100,3900,59865,2020-04-14
3394,510,4400,58349,2020-04-15
2945,248,4400,56646,2020-04-16
3699,300,6114,53931,2020-04-17
1945,107,2286,53483,2020-04-18
1842,127,2600,52598,2020-04-19
1881,276,3500,50703,2020-04-20
1226,171,3700,48058,2020-04-21
2357,246,4200,45969,2020-04-22
2481,296,3900,44254,2020-04-23
1870,185,6500,39439,2020-04-24
1514,117,0,40836,2020-04-25
1257,99,2200,39794,2020-04-26
988,150,2500,38132,2020-04-27
1154,188,2900,36198,2020-04-28
1627,153,3000,34672,2020-04-29
1470,156,3100,32886,2020-04-30
1068,113,3400,30441,2020-05-01
890,76,2100,29155,2020-05-02
697,54,1600,28198,2020-05-03
488,127,2100,26459,2020-05-04
855,0,2400,24914,2020-05-05
1155,282,4800,20987,2020-05-06
1268,117,1800,20338,2020-05-07
1158,118,0,21378,2020-05-08
736,39,1600,20475,2020-05-09
555,20,1100,19910,2020-05-10
697,92,1217,19298,2020-05-11
595,77,1583,18233,2020-05-12
927,123,1500,17537,2020-05-13
380,23,1600,16294,2020-05-14
755,13,1297,15739,2020-05-15
519,41,1003,15214,2020-05-16
617,24,1411,14396,2020-05-17
182,41,1030,13507,2020-05-18
1227,78,640,14016,2020-05-19
695,63,1285,13363,2020-05-20
548,59,1121,12731,2020-05-21
689,25,977,12418,2020-05-22
276,33,652,12009,2020-05-23
342,22,565,11764,2020-05-24
272,26,918,11092,2020-05-25
600,63,768,10861,2020-05-26
324,56,853,10276,2020-05-27
672,42,540,10366,2020-05-28
726,34,885,10173,2020-05-29
