Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
3,0,0,3,2020-03-14
3,0,0,6,2020-03-15
0,0,0,6,2020-03-16
1,0,0,7,2020-03-17
0,0,0,7,2020-03-18
4,0,0,11,2020-03-19
5,0,0,16,2020-03-20
3,1,0,18,2020-03-21
4,0,0,22,2020-03-22
4,1,0,25,2020-03-23
26,0,0,51,2020-03-24
40,2,0,89,2020-03-25
39,0,1,127,2020-03-26
5,0,1,131,2020-03-27
4,1,0,134,2020-03-28
11,0,0,145,2020-03-29
0,0,0,145,2020-03-30
9,0,29,125,2020-03-31
34,0,0,159,2020-04-01
9,0,0,168,2020-04-02
1,0,0,169,2020-04-03
0,0,0,169,2020-04-04
9,0,0,178,2020-04-05
0,0,0,178,2020-04-06
73,0,0,251,2020-04-07
26,1,3,273,2020-04-08
65,0,-31,369,2020-04-09
0,0,1,368,2020-04-10
30,2,0,396,2020-04-11
158,0,0,554,2020-04-12
0,0,0,554,2020-04-13
70,0,13,611,2020-04-14
0,0,0,611,2020-04-15
5,0,66,550,2020-04-16
0,0,0,550,2020-04-17
193,1,16,726,2020-04-18
208,0,0,934,2020-04-19
0,0,0,934,2020-04-20
0,0,0,934,2020-04-21
112,0,0,1046,2020-04-22
0,0,0,1046,2020-04-23
125,1,35,1135,2020-04-24
0,0,0,1135,2020-04-25
271,1,21,1384,2020-04-26
0,0,0,1384,2020-04-27
121,5,33,1467,2020-04-28
0,0,0,1467,2020-04-29
403,1,24,1845,2020-04-30
0,0,0,1845,2020-05-01
95,1,17,1922,2020-05-02
0,0,0,1922,2020-05-03
550,0,65,2407,2020-05-04
0,0,0,2407,2020-05-05
372,0,0,2779,2020-05-06
0,0,9,2770,2020-05-07
921,0,20,3671,2020-05-08
251,4,55,3863,2020-05-09
0,0,0,3863,2020-05-10
437,0,116,4184,2020-05-11
427,0,0,4611,2020-05-12
281,2,20,4870,2020-05-13
122,0,160,4832,2020-05-14
108,4,786,4150,2020-05-15
97,1,294,3952,2020-05-16
0,0,0,3952,2020-05-17
0,0,0,3952,2020-05-18
361,2,19,4292,2020-05-19
173,0,125,4340,2020-05-20
0,0,0,4340,2020-05-21
217,0,53,4504,2020-05-22
131,0,27,4608,2020-05-23
66,1,20,4653,2020-05-24
125,0,72,4706,2020-05-25
309,2,247,4766,2020-05-26
186,0,95,4857,2020-05-27
0,0,0,4857,2020-05-28
313,0,9,5161,2020-05-29
152,1,119,5193,2020-05-30
302,1,407,5087,2020-05-31
0,0,0,5087,2020-06-01
227,2,39,5273,2020-06-02
251,0,146,5378,2020-06-03
337,0,57,5658,2020-06-04
283,4,268,5669,2020-06-05
294,2,90,5871,2020-06-06
176,0,89,5958,2020-06-07
272,4,9,6217,2020-06-08
