Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
1,0,0,1,2020-02-26
2,0,0,3,2020-02-27
1,0,0,4,2020-02-28
0,0,0,4,2020-02-29
3,0,0,7,2020-03-01
0,0,0,7,2020-03-02
0,0,0,7,2020-03-03
2,0,0,9,2020-03-04
22,0,0,31,2020-03-05
14,0,0,45,2020-03-06
1,0,0,46,2020-03-07
27,0,0,73,2020-03-08
0,0,0,73,2020-03-09
16,0,0,89,2020-03-10
10,1,0,98,2020-03-11
0,0,0,98,2020-03-12
91,0,0,189,2020-03-13
38,2,8,217,2020-03-14
103,1,0,319,2020-03-15
0,0,0,319,2020-03-16
56,1,0,374,2020-03-17
31,0,0,405,2020-03-18
0,1,0,404,2020-03-19
77,0,11,470,2020-03-20
35,7,0,498,2020-03-21
94,2,0,590,2020-03-22
71,2,0,659,2020-03-23
48,3,10,694,2020-03-24
78,2,7,763,2020-03-25
71,4,0,830,2020-03-26
74,2,16,886,2020-03-27
95,4,0,977,2020-03-28
95,6,0,1066,2020-03-29
56,5,0,1117,2020-03-30
102,6,0,1213,2020-03-31
101,1,0,1313,2020-04-01
129,3,9,1430,2020-04-02
69,10,17,1472,2020-04-03
60,5,0,1527,2020-04-04
62,5,0,1584,2020-04-05
20,6,191,1407,2020-04-06
77,2,0,1482,2020-04-07
52,2,0,1532,2020-04-08
71,4,0,1599,2020-04-09
56,5,0,1650,2020-04-10
70,1,0,1719,2020-04-11
33,5,0,1747,2020-04-12
31,1,0,1777,2020-04-13
25,2,0,1800,2020-04-14
22,1,0,1821,2020-04-15
15,3,0,1833,2020-04-16
17,3,0,1847,2020-04-17
11,2,0,1856,2020-04-18
0,3,0,1853,2020-04-19
10,3,0,1860,2020-04-20
156,5,308,1703,2020-04-21
7,0,0,1710,2020-04-22
55,4,0,1761,2020-04-23
27,5,0,1783,2020-04-24
16,0,0,1799,2020-04-25
11,4,0,1806,2020-04-26
17,2,0,1821,2020-04-27
32,2,0,1851,2020-04-28
10,1,0,1860,2020-04-29
15,1,797,1077,2020-04-30
21,0,0,1098,2020-05-01
8,3,0,1103,2020-05-02
6,1,0,1108,2020-05-03
6,2,0,1112,2020-05-04
10,0,0,1122,2020-05-05
21,1,0,1142,2020-05-06
15,1,0,1156,2020-05-07
13,2,0,1167,2020-05-08
19,1,0,1185,2020-05-09
6,0,0,1191,2020-05-10
10,0,0,1201,2020-05-11
18,1,0,1218,2020-05-12
16,3,0,1231,2020-05-13
10,1,0,1240,2020-05-14
40,4,0,1276,2020-05-15
9,2,0,1283,2020-05-16
15,1,0,1297,2020-05-17
2,2,0,1297,2020-05-18
4,0,0,1301,2020-05-19
10,1,0,1310,2020-05-20
3,2,0,1311,2020-05-21
21,1,0,1331,2020-05-22
2,2,0,1331,2020-05-23
2,0,0,1333,2020-05-24
4,1,0,1336,2020-05-25
10,1,0,1345,2020-05-26
11,0,0,1356,2020-05-27
3,2,0,1357,2020-05-28
3,0,0,1360,2020-05-29
6,0,0,1366,2020-05-30
2,0,0,1368,2020-05-31
1,4,0,1365,2020-06-01
19,0,0,1384,2020-06-02
0,0,0,1384,2020-06-03
15,1,0,1398,2020-06-04
15,0,0,1413,2020-06-05
13,0,0,1426,2020-06-06
