Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
1,0,0,1,2020-03-14
0,0,0,1,2020-03-15
1,1,0,1,2020-03-16
4,0,0,5,2020-03-17
0,0,0,5,2020-03-18
3,0,0,8,2020-03-19
3,0,0,11,2020-03-20
5,0,0,16,2020-03-21
2,0,0,18,2020-03-22
1,0,0,19,2020-03-23
1,0,0,20,2020-03-24
3,0,4,19,2020-03-25
1,0,0,20,2020-03-26
3,0,0,23,2020-03-27
6,0,6,23,2020-03-28
0,0,0,23,2020-03-29
2,0,0,25,2020-03-30
2,0,2,25,2020-03-31
1,0,0,26,2020-04-01
8,0,0,34,2020-04-02
3,0,0,37,2020-04-03
11,1,3,44,2020-04-04
0,0,0,44,2020-04-05
9,1,0,52,2020-04-06
7,0,2,57,2020-04-07
10,0,0,67,2020-04-08
8,0,0,75,2020-04-09
31,0,0,106,2020-04-10
11,0,2,115,2020-04-11
18,2,0,131,2020-04-12
1,0,0,132,2020-04-13
11,0,0,143,2020-04-14
13,0,0,156,2020-04-15
16,0,0,172,2020-04-16
18,2,2,186,2020-04-17
21,0,0,207,2020-04-18
22,0,0,229,2020-04-19
32,0,0,261,2020-04-20
5,0,3,263,2020-04-21
22,1,0,284,2020-04-22
68,3,6,343,2020-04-23
46,0,0,389,2020-04-24
43,2,15,415,2020-04-25
27,2,4,436,2020-04-26
30,0,0,466,2020-04-27
0,0,0,466,2020-04-28
27,1,13,479,2020-04-29
42,0,4,517,2020-04-30
45,0,6,556,2020-05-01
44,1,0,599,2020-05-02
15,0,0,614,2020-05-03
27,2,7,632,2020-05-04
33,0,0,665,2020-05-05
35,2,7,691,2020-05-06
34,2,4,719,2020-05-07
68,1,11,775,2020-05-08
67,0,3,839,2020-05-09
85,2,6,916,2020-05-10
62,0,1,977,2020-05-11
85,1,9,1052,2020-05-12
143,2,1,1192,2020-05-13
176,0,8,1360,2020-05-14
125,1,6,1478,2020-05-15
120,3,3,1592,2020-05-16
0,0,0,1592,2020-05-17
149,2,0,1739,2020-05-18
221,8,17,1935,2020-05-19
132,2,4,2061,2020-05-20
247,3,63,2242,2020-05-21
231,3,0,2470,2020-05-22
311,4,22,2755,2020-05-23
370,3,14,3108,2020-05-24
336,1,16,3427,2020-05-25
194,4,15,3602,2020-05-26
191,5,204,3584,2020-05-27
203,12,72,3703,2020-05-28
259,10,83,3869,2020-05-29
132,12,58,3931,2020-05-30
348,6,29,4244,2020-05-31
249,8,60,4425,2020-06-01
250,7,29,4639,2020-06-02
174,20,105,4688,2020-06-03
394,15,50,5017,2020-06-04
331,58,74,5216,2020-06-05
307,14,80,5429,2020-06-06
263,22,128,5542,2020-06-07
447,15,62,5912,2020-06-08
364,22,90,6164,2020-06-09
