Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
0,0,0,0,2020-03-14
0,0,0,0,2020-03-15
0,0,0,0,2020-03-16
0,0,0,0,2020-03-17
0,0,0,0,2020-03-18
0,0,0,0,2020-03-19
2,0,0,2,2020-03-20
0,0,0,2,2020-03-21
0,0,0,2,2020-03-22
4,0,0,6,2020-03-23
1,0,0,7,2020-03-24
1,0,0,8,2020-03-25
0,0,0,8,2020-03-26
0,0,0,8,2020-03-27
0,0,0,8,2020-03-28
7,0,1,14,2020-03-29
0,0,0,14,2020-03-30
0,0,0,14,2020-03-31
1,0,0,15,2020-04-01
0,0,0,15,2020-04-02
2,0,0,17,2020-04-03
2,0,0,19,2020-04-04
1,1,0,19,2020-04-05
3,0,-1,23,2020-04-06
1,0,0,24,2020-04-07
2,0,0,26,2020-04-08
3,1,0,28,2020-04-09
1,0,0,29,2020-04-10
2,0,0,31,2020-04-11
0,1,0,30,2020-04-12
7,0,0,37,2020-04-13
0,0,0,37,2020-04-14
1,0,0,38,2020-04-15
0,0,0,38,2020-04-16
2,0,0,40,2020-04-17
1,0,0,41,2020-04-18
3,0,0,44,2020-04-19
10,0,0,54,2020-04-20
0,0,0,54,2020-04-21
5,1,2,56,2020-04-22
10,1,0,65,2020-04-23
0,0,0,65,2020-04-24
0,1,4,60,2020-04-25
2,0,1,61,2020-04-26
2,0,1,62,2020-04-27
0,0,0,62,2020-04-28
0,0,0,62,2020-04-29
5,2,0,65,2020-04-30
4,0,2,67,2020-05-01
0,0,0,67,2020-05-02
3,1,0,69,2020-05-03
12,2,0,79,2020-05-04
1,1,0,79,2020-05-05
0,0,0,79,2020-05-06
28,0,6,101,2020-05-07
17,0,1,117,2020-05-08
5,0,0,122,2020-05-09
31,3,0,150,2020-05-10
27,1,0,176,2020-05-11
0,0,0,176,2020-05-12
25,2,0,199,2020-05-13
39,2,1,235,2020-05-14
37,0,11,261,2020-05-15
48,0,0,309,2020-05-16
98,0,-8,415,2020-05-17
77,1,0,491,2020-05-18
0,0,0,491,2020-05-19
63,1,0,553,2020-05-20
138,3,0,688,2020-05-21
78,0,1,765,2020-05-22
53,1,0,817,2020-05-23
0,0,0,817,2020-05-24
93,1,0,909,2020-05-25
216,6,0,1119,2020-05-26
146,1,0,1264,2020-05-27
0,0,0,1264,2020-05-28
264,1,0,1527,2020-05-29
281,6,2,1800,2020-05-30
259,3,0,2056,2020-05-31
102,1,0,2157,2020-06-01
0,0,0,2157,2020-06-02
281,3,0,2435,2020-06-03
133,2,0,2566,2020-06-04
100,0,0,2666,2020-06-05
332,0,0,2998,2020-06-06
262,1,0,3259,2020-06-07
204,3,0,3460,2020-06-08
124,2,0,3582,2020-06-09
134,2,0,3714,2020-06-10
