Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
2,0,0,2,2020-03-04
0,0,0,2,2020-03-05
0,0,0,2,2020-03-06
2,0,0,4,2020-03-07
3,0,0,7,2020-03-08
2,0,0,9,2020-03-09
0,0,0,9,2020-03-10
4,0,0,13,2020-03-11
0,0,0,13,2020-03-12
6,0,0,19,2020-03-13
11,0,1,29,2020-03-14
2,1,0,30,2020-03-15
7,0,0,37,2020-03-16
11,0,1,47,2020-03-17
8,0,0,55,2020-03-18
15,0,0,70,2020-03-19
12,2,0,80,2020-03-20
18,1,5,92,2020-03-21
28,2,9,109,2020-03-22
36,1,0,144,2020-03-23
20,2,5,157,2020-03-24
39,1,0,195,2020-03-25
35,0,7,223,2020-03-26
39,0,6,256,2020-03-27
43,1,0,298,2020-03-28
65,2,0,361,2020-03-29
39,2,0,398,2020-03-30
45,1,3,439,2020-03-31
33,4,3,465,2020-04-01
60,1,2,522,2020-04-02
38,5,1,554,2020-04-03
55,6,15,588,2020-04-04
55,2,8,633,2020-04-05
11,4,1,639,2020-04-06
73,9,4,699,2020-04-07
78,11,23,743,2020-04-08
85,8,2,818,2020-04-09
210,11,16,1001,2020-04-10
120,8,3,1110,2020-04-11
100,14,3,1193,2020-04-12
48,10,2,1229,2020-04-13
54,13,2,1268,2020-04-14
67,12,70,1253,2020-04-15
73,8,7,1311,2020-04-16
111,14,8,1400,2020-04-17
71,16,24,1431,2020-04-18
82,17,19,1477,2020-04-19
68,10,17,1518,2020-04-20
114,14,20,1598,2020-04-21
70,12,8,1648,2020-04-22
116,14,95,1655,2020-04-23
159,23,68,1723,2020-04-24
0,0,0,1723,2020-04-25
57,10,27,1743,2020-04-26
83,8,13,1805,2020-04-27
66,11,18,1842,2020-04-28
78,9,20,1891,2020-04-29
48,12,45,1882,2020-04-30
88,11,28,1931,2020-05-01
79,12,16,1982,2020-05-02
56,5,4,2029,2020-05-03
37,11,1,2054,2020-05-04
30,12,79,1993,2020-05-05
46,10,50,1979,2020-05-06
39,10,42,1966,2020-05-07
28,9,64,1921,2020-05-08
35,13,39,1904,2020-05-09
50,8,29,1917,2020-05-10
21,8,25,1905,2020-05-11
29,4,49,1881,2020-05-12
28,5,95,1809,2020-05-13
39,6,67,1775,2020-05-14
37,6,118,1688,2020-05-15
56,6,84,1654,2020-05-16
36,3,25,1662,2020-05-17
26,11,4,1673,2020-05-18
21,5,12,1677,2020-05-19
42,3,42,1674,2020-05-20
43,3,55,1659,2020-05-21
37,3,78,1615,2020-05-22
35,6,68,1576,2020-05-23
28,4,35,1565,2020-05-24
15,5,21,1554,2020-05-25
15,8,125,1436,2020-05-26
22,6,20,1432,2020-05-27
23,4,140,1311,2020-05-28
25,8,28,1300,2020-05-29
26,7,118,1201,2020-05-30
9,2,5,1203,2020-05-31
16,1,9,1209,2020-06-01
29,5,4,1229,2020-06-02
10,2,30,1207,2020-06-03
23,5,15,1210,2020-06-04
16,3,40,1183,2020-06-05
20,3,34,1166,2020-06-06
18,1,0,1183,2020-06-07
