Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
1,0,0,1,2020-01-30
0,0,0,1,2020-01-31
0,0,0,1,2020-02-01
1,0,0,2,2020-02-02
1,0,0,3,2020-02-03
0,0,0,3,2020-02-04
0,0,0,3,2020-02-05
0,0,0,3,2020-02-06
0,0,0,3,2020-02-07
0,0,0,3,2020-02-08
0,0,0,3,2020-02-09
0,0,0,3,2020-02-10
0,0,0,3,2020-02-11
0,0,0,3,2020-02-12
0,0,0,3,2020-02-13
0,0,0,3,2020-02-14
0,0,0,3,2020-02-15
0,0,3,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
2,0,0,2,2020-03-02
0,0,0,2,2020-03-03
23,0,0,25,2020-03-04
2,0,0,27,2020-03-05
1,0,0,28,2020-03-06
3,0,0,31,2020-03-07
5,0,0,36,2020-03-08
4,0,0,40,2020-03-09
13,0,1,52,2020-03-10
6,1,0,57,2020-03-11
11,0,0,68,2020-03-12
9,1,0,76,2020-03-13
20,0,0,96,2020-03-14
11,0,9,98,2020-03-15
6,0,0,104,2020-03-16
23,1,1,125,2020-03-17
14,0,0,139,2020-03-18
38,1,1,175,2020-03-19
50,1,5,219,2020-03-20
86,-1,3,303,2020-03-21
66,3,4,362,2020-03-22
103,3,0,462,2020-03-23
37,0,13,486,2020-03-24
121,2,3,602,2020-03-25
70,8,2,662,2020-03-26
160,0,28,794,2020-03-27
100,4,11,879,2020-03-28
37,3,11,902,2020-03-29
227,5,7,1117,2020-03-30
146,3,21,1239,2020-03-31
601,23,25,1792,2020-04-01
545,14,43,2280,2020-04-02
24,0,1,2303,2020-04-03
515,14,37,2767,2020-04-04
506,13,0,3260,2020-04-05
1190,37,146,4267,2020-04-06
533,14,46,4740,2020-04-07
605,28,85,5232,2020-04-08
809,48,114,5879,2020-04-09
873,20,154,6578,2020-04-10
848,42,195,7189,2020-04-11
759,43,111,7794,2020-04-12
1248,27,101,8914,2020-04-13
1034,35,178,9735,2020-04-14
835,12,73,10485,2020-04-15
1108,43,336,11214,2020-04-16
922,38,273,11825,2020-04-17
1370,35,422,12738,2020-04-18
1893,38,391,14202,2020-04-19
924,33,419,14674,2020-04-20
1541,53,702,15460,2020-04-21
1290,36,395,16319,2020-04-22
1707,40,642,17344,2020-04-23
1453,59,486,18252,2020-04-24
1753,45,441,19519,2020-04-25
1607,56,584,20486,2020-04-26
1561,58,614,21375,2020-04-27
1873,69,610,22569,2020-04-28
1738,71,690,23546,2020-04-29
1801,75,631,24641,2020-04-30
2394,69,939,26027,2020-05-01
2442,100,812,27557,2020-05-02
2806,68,956,29339,2020-05-03
3932,175,1072,32024,2020-05-04
2963,127,1295,33565,2020-05-05
3587,92,1189,35871,2020-05-06
3364,104,1445,37686,2020-05-07
3344,96,1111,39823,2020-05-08
3113,116,1414,41406,2020-05-09
4353,111,1668,43980,2020-05-10
3607,82,1580,45925,2020-05-11
3524,121,1871,47457,2020-05-12
3763,136,1980,49104,2020-05-13
3942,98,1569,51379,2020-05-14
3787,104,2289,52773,2020-05-15
4864,118,3966,53553,2020-05-16
5050,154,2571,55878,2020-05-17
4630,131,2438,57939,2020-05-18
6147,146,3076,60864,2020-05-19
5553,132,3113,63172,2020-05-20
6198,150,3131,66089,2020-05-21
6568,142,3271,69244,2020-05-22
6629,142,2561,73170,2020-05-23
7113,156,3307,76820,2020-05-24
6414,148,3014,80072,2020-05-25
5843,172,3571,82172,2020-05-26
7293,190,3472,85803,2020-05-27
7300,177,3171,89755,2020-05-28
8105,269,11707,85884,2020-05-29
8336,205,4309,89706,2020-05-30
8782,223,4916,93349,2020-05-31
7761,200,3902,97008,2020-06-01
