Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
2,0,0,2,2020-03-02
0,0,0,2,2020-03-03
0,0,0,2,2020-03-04
0,0,0,2,2020-03-05
2,0,0,4,2020-03-06
0,0,0,4,2020-03-07
2,0,0,6,2020-03-08
13,0,0,19,2020-03-09
8,0,2,25,2020-03-10
7,1,0,31,2020-03-11
0,0,0,31,2020-03-12
35,3,0,63,2020-03-13
27,1,6,83,2020-03-14
21,0,0,104,2020-03-15
17,0,0,121,2020-03-16
38,0,0,159,2020-03-17
55,14,3,197,2020-03-18
84,6,0,275,2020-03-19
58,7,4,322,2020-03-20
81,6,0,397,2020-03-21
64,10,14,437,2020-03-22
65,1,0,501,2020-03-23
107,6,1,601,2020-03-24
104,3,1,701,2020-03-25
103,20,4,780,2020-03-26
153,9,11,913,2020-03-27
109,15,13,994,2020-03-28
130,12,5,1107,2020-03-29
129,8,11,1217,2020-03-30
114,14,6,1311,2020-03-31
149,21,22,1417,2020-04-01
113,13,9,1508,2020-04-02
196,11,22,1671,2020-04-03
106,10,16,1751,2020-04-04
181,7,14,1911,2020-04-05
218,11,28,2090,2020-04-06
247,12,12,2313,2020-04-07
218,19,18,2494,2020-04-08
337,40,30,2761,2020-04-09
219,26,30,2924,2020-04-10
330,21,4,3229,2020-04-11
399,46,73,3509,2020-04-12
316,26,21,3778,2020-04-13
282,60,46,3954,2020-04-14
297,10,20,4221,2020-04-15
380,27,102,4472,2020-04-16
407,24,59,4796,2020-04-17
325,15,24,5082,2020-04-18
327,47,55,5307,2020-04-19
185,8,61,5423,2020-04-20
375,26,95,5677,2020-04-21
283,19,71,5870,2020-04-22
357,12,47,6168,2020-04-23
436,42,42,6520,2020-04-24
396,31,40,6845,2020-04-25
275,23,65,7032,2020-04-26
214,22,44,7180,2020-04-27
415,8,103,7484,2020-04-28
260,11,137,7596,2020-04-29
347,8,131,7804,2020-04-30
433,8,69,8160,2020-05-01
292,31,74,8347,2020-05-02
349,14,211,8471,2020-05-03
395,19,78,8769,2020-05-04
484,8,243,9002,2020-05-05
367,23,120,9226,2020-05-06
338,35,64,9465,2020-05-07
336,13,113,9675,2020-05-08
533,16,113,10079,2020-05-09
387,14,91,10361,2020-05-10
233,18,183,10393,2020-05-11
484,16,182,10679,2020-05-12
689,21,224,11123,2020-05-13
568,15,231,11445,2020-05-14
490,33,285,11617,2020-05-15
529,13,108,12025,2020-05-16
489,59,218,12237,2020-05-17
496,43,195,12495,2020-05-18
486,30,143,12808,2020-05-19
693,21,108,13372,2020-05-20
973,36,263,14046,2020-05-21
634,48,219,14413,2020-05-22
949,25,192,15145,2020-05-23
526,21,153,15497,2020-05-24
479,19,240,15717,2020-05-25
415,27,235,15870,2020-05-26
686,55,180,16321,2020-05-27
687,23,183,16802,2020-05-28
678,24,252,17204,2020-05-29
557,53,523,17185,2020-05-30
700,40,293,17552,2020-05-31
467,28,329,17662,2020-06-01
609,22,298,17951,2020-06-02
684,35,471,18129,2020-06-03
585,23,486,18205,2020-06-04
703,49,551,18308,2020-06-05
993,31,464,18806,2020-06-06
