Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
2,2,0,0,2020-02-19
3,0,0,3,2020-02-20
13,2,0,14,2020-02-21
10,1,0,23,2020-02-22
15,3,0,35,2020-02-23
18,4,0,49,2020-02-24
34,4,0,79,2020-02-25
44,3,49,71,2020-02-26
106,7,0,170,2020-02-27
143,8,24,281,2020-02-28
205,9,50,427,2020-02-29
385,11,52,749,2020-03-01
523,12,116,1144,2020-03-02
835,11,0,1968,2020-03-03
586,15,261,2278,2020-03-04
591,15,187,2667,2020-03-05
1234,17,174,3710,2020-03-06
1076,21,756,4009,2020-03-07
743,49,465,4238,2020-03-08
595,43,260,4530,2020-03-09
881,54,337,5020,2020-03-10
958,63,228,5687,2020-03-11
1075,75,0,6687,2020-03-12
1289,85,0,7891,2020-03-13
1365,97,0,9159,2020-03-14
1209,113,1631,8624,2020-03-15
1053,129,0,9548,2020-03-16
1178,135,799,9792,2020-03-17
1192,147,0,10837,2020-03-18
1046,149,321,11413,2020-03-19
1237,149,1035,11466,2020-03-20
966,123,890,11419,2020-03-21
1028,129,296,12022,2020-03-22
1411,127,0,13306,2020-03-23
1762,122,982,13964,2020-03-24
2206,143,712,15315,2020-03-25
2389,157,832,16715,2020-03-26
2926,144,676,18821,2020-03-27
3076,139,546,21212,2020-03-28
2901,123,712,23278,2020-03-29
3186,117,1520,24827,2020-03-30
3110,141,745,27051,2020-03-31
2988,138,817,29084,2020-04-01
2875,124,1238,30597,2020-04-02
2715,134,1224,31954,2020-04-03
2560,158,1801,32555,2020-04-04
2483,151,0,34887,2020-04-05
2274,136,4500,32525,2020-04-06
2089,133,2803,31678,2020-04-07
1997,121,2773,30781,2020-04-08
1634,117,2497,29801,2020-04-09
1972,122,3156,28495,2020-04-10
1837,125,6482,23725,2020-04-11
1657,117,1947,23318,2020-04-12
1617,111,2089,22735,2020-04-13
1574,98,2146,22065,2020-04-14
1512,94,1804,21679,2020-04-15
1606,92,2296,20897,2020-04-16
1499,89,1835,20472,2020-04-17
1374,73,1923,19850,2020-04-18
1343,87,1036,20070,2020-04-19
1294,91,2250,19023,2020-04-20
1297,88,1692,18540,2020-04-21
1194,94,2148,17492,2020-04-22
1030,90,1730,16702,2020-04-23
1168,93,1756,16021,2020-04-24
1134,76,1594,15485,2020-04-25
1153,60,1464,15114,2020-04-26
991,96,1276,14733,2020-04-27
1112,71,1506,14268,2020-04-28
1073,80,1352,13909,2020-04-29
983,71,1312,13509,2020-04-30
1006,63,1215,13237,2020-05-01
802,65,1032,12942,2020-05-02
976,47,1072,12799,2020-05-03
1223,74,957,12991,2020-05-04
1323,63,1096,13155,2020-05-05
1680,78,1112,13645,2020-05-06
1485,68,1157,13905,2020-05-07
1556,55,1093,14313,2020-05-08
1529,48,1227,14567,2020-05-09
1383,51,1079,14820,2020-05-10
1683,45,1279,15179,2020-05-11
1481,48,935,15677,2020-05-12
1958,50,1071,16514,2020-05-13
1808,71,1111,17140,2020-05-14
2102,48,1297,17897,2020-05-15
1757,35,1311,18308,2020-05-16
1806,51,1317,18746,2020-05-17
2294,69,1197,19774,2020-05-18
2111,62,1512,20311,2020-05-19
2346,64,1635,20958,2020-05-20
2392,66,1756,21528,2020-05-21
2311,51,1712,22076,2020-05-22
1869,59,1796,22090,2020-05-23
2180,58,1729,22483,2020-05-24
2023,34,1912,22560,2020-05-25
1787,57,1724,22566,2020-05-26
2080,56,1739,22851,2020-05-27
