Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
1,0,0,1,2020-02-24
0,0,0,1,2020-02-25
4,0,0,5,2020-02-26
2,0,0,7,2020-02-27
0,0,0,7,2020-02-28
6,0,0,13,2020-02-29
6,0,0,19,2020-03-01
7,0,0,26,2020-03-02
6,0,0,32,2020-03-03
3,2,0,33,2020-03-04
0,0,0,33,2020-03-05
5,1,0,37,2020-03-06
14,1,0,50,2020-03-07
6,2,0,54,2020-03-08
0,0,3,51,2020-03-09
11,1,0,61,2020-03-10
0,0,12,49,2020-03-11
0,1,0,48,2020-03-12
30,1,9,68,2020-03-13
9,1,2,74,2020-03-14
6,0,0,80,2020-03-15
8,0,0,88,2020-03-16
30,1,6,111,2020-03-17
10,1,11,109,2020-03-18
28,1,0,136,2020-03-19
16,4,6,142,2020-03-20
6,0,2,146,2020-03-21
19,3,6,156,2020-03-22
33,3,0,186,2020-03-23
50,4,18,214,2020-03-24
30,2,28,214,2020-03-25
36,7,2,241,2020-03-26
76,4,17,296,2020-03-27
48,2,9,333,2020-03-28
41,0,12,362,2020-03-29
83,4,9,432,2020-03-30
64,4,18,474,2020-03-31
34,2,12,494,2020-04-01
44,2,20,516,2020-04-02
48,0,24,540,2020-04-03
58,2,33,563,2020-04-04
83,5,20,621,2020-04-05
70,3,65,623,2020-04-06
91,1,29,684,2020-04-07
80,4,79,681,2020-04-08
30,0,44,667,2020-04-09
47,1,54,659,2020-04-10
39,2,51,645,2020-04-11
34,4,39,636,2020-04-12
26,2,77,583,2020-04-13
22,0,49,556,2020-04-14
15,1,46,524,2020-04-15
19,1,44,498,2020-04-16
48,1,50,495,2020-04-17
31,1,47,478,2020-04-18
26,0,56,448,2020-04-19
35,0,34,449,2020-04-20
28,1,53,423,2020-04-21
29,0,50,402,2020-04-22
46,0,25,423,2020-04-23
31,3,33,418,2020-04-24
55,0,20,453,2020-04-25
57,1,39,470,2020-04-26
27,1,23,473,2020-04-27
81,2,33,519,2020-04-28
75,2,27,565,2020-04-29
82,1,29,617,2020-04-30
68,1,39,645,2020-05-01
66,1,59,651,2020-05-02
77,2,17,709,2020-05-03
50,1,54,704,2020-05-04
85,4,27,758,2020-05-05
49,0,31,776,2020-05-06
63,0,24,815,2020-05-07
60,2,35,838,2020-05-08
76,3,41,870,2020-05-09
88,2,32,924,2020-05-10
51,1,56,918,2020-05-11
95,2,113,898,2020-05-12
119,3,63,951,2020-05-13
111,0,62,1000,2020-05-14
50,2,61,987,2020-05-15
67,4,37,1013,2020-05-16
144,2,92,1063,2020-05-17
150,4,92,1117,2020-05-18
57,4,56,1114,2020-05-19
113,3,72,1152,2020-05-20
153,6,45,1254,2020-05-21
87,7,49,1285,2020-05-22
308,5,53,1535,2020-05-23
197,8,153,1571,2020-05-24
163,3,73,1658,2020-05-25
216,6,41,1827,2020-05-26
287,6,52,2056,2020-05-27
322,4,67,2307,2020-05-28
416,6,73,2644,2020-05-29
306,10,66,2874,2020-05-30
260,10,46,3078,2020-05-31
429,10,119,3378,2020-06-01
519,20,233,3644,2020-06-02
781,21,587,3817,2020-06-03
672,15,243,4231,2020-06-04
1006,14,235,4988,2020-06-05
1252,33,331,5876,2020-06-06
1268,28,282,6834,2020-06-07
1115,24,386,7539,2020-06-08
787,22,259,8045,2020-06-09
