Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
2,0,0,2,2020-01-31
0,0,0,2,2020-02-01
0,0,0,2,2020-02-02
0,0,0,2,2020-02-03
0,0,0,2,2020-02-04
0,0,0,2,2020-02-05
0,0,0,2,2020-02-06
1,0,0,3,2020-02-07
0,0,0,3,2020-02-08
0,0,0,3,2020-02-09
0,0,0,3,2020-02-10
0,0,0,3,2020-02-11
0,0,0,3,2020-02-12
0,0,0,3,2020-02-13
0,0,0,3,2020-02-14
0,0,0,3,2020-02-15
0,0,0,3,2020-02-16
0,0,0,3,2020-02-17
0,0,0,3,2020-02-18
0,0,0,3,2020-02-19
0,0,0,3,2020-02-20
17,1,0,19,2020-02-21
42,1,1,59,2020-02-22
93,1,1,150,2020-02-23
74,4,-1,221,2020-02-24
93,3,0,311,2020-02-25
131,2,2,438,2020-02-26
202,5,42,593,2020-02-27
233,4,1,821,2020-02-28
240,8,0,1053,2020-02-29
566,5,37,1577,2020-03-01
342,18,66,1835,2020-03-02
466,27,11,2263,2020-03-03
587,28,116,2706,2020-03-04
769,41,138,3296,2020-03-05
778,49,109,3916,2020-03-06
1247,36,66,5061,2020-03-07
1492,133,33,6387,2020-03-08
1797,97,102,7985,2020-03-09
977,168,0,8794,2020-03-10
2313,196,321,10590,2020-03-11
2651,189,0,13052,2020-03-12
2547,250,394,14955,2020-03-13
3497,175,527,17750,2020-03-14
3590,368,369,20603,2020-03-15
3233,349,414,23073,2020-03-16
3526,345,192,26062,2020-03-17
4207,475,1084,28710,2020-03-18
5322,427,415,33190,2020-03-19
5986,627,0,38549,2020-03-20
6557,793,1632,42681,2020-03-21
5560,651,952,46638,2020-03-22
4789,601,0,50826,2020-03-23
5249,743,1302,54030,2020-03-24
5210,683,1036,57521,2020-03-25
6203,712,999,62013,2020-03-26
5909,919,589,66414,2020-03-27
5974,889,1434,70065,2020-03-28
5217,756,646,73880,2020-03-29
4050,812,1590,75528,2020-03-30
4053,837,1109,77635,2020-03-31
4782,727,1118,80572,2020-04-01
4668,760,1431,83049,2020-04-02
4585,766,1480,85388,2020-04-03
4805,681,1238,88274,2020-04-04
4316,525,819,91246,2020-04-05
3599,636,1022,93187,2020-04-06
3039,604,1555,94067,2020-04-07
3836,542,2099,95262,2020-04-08
4204,610,1979,96877,2020-04-09
3951,570,1985,98273,2020-04-10
4694,619,2079,100269,2020-04-11
4092,431,1677,102253,2020-04-12
3153,566,1224,103616,2020-04-13
2972,602,1695,104291,2020-04-14
2667,578,962,105418,2020-04-15
3786,525,2072,106607,2020-04-16
3493,575,2563,106962,2020-04-17
3491,482,2200,107771,2020-04-18
3047,433,2128,108257,2020-04-19
2256,454,1822,108237,2020-04-20
2729,534,2723,107709,2020-04-21
3370,437,2943,107699,2020-04-22
2646,464,3033,106848,2020-04-23
3021,420,2922,106527,2020-04-24
2357,415,2622,105847,2020-04-25
2324,260,1808,106103,2020-04-26
1739,333,1696,105813,2020-04-27
2091,382,2317,105205,2020-04-28
2086,323,2311,104657,2020-04-29
1872,285,4693,101551,2020-04-30
1965,269,2304,100943,2020-05-01
1900,474,1665,100704,2020-05-02
1389,174,1740,100179,2020-05-03
1221,195,1225,99980,2020-05-04
1075,236,2352,98467,2020-05-05
1444,369,8014,91528,2020-05-06
1401,274,3031,89624,2020-05-07
1327,243,2747,87961,2020-05-08
1083,194,4008,84842,2020-05-09
802,165,2155,83324,2020-05-10
744,179,1401,82488,2020-05-11
1402,172,2452,81266,2020-05-12
888,195,3502,78457,2020-05-13
992,262,2747,76440,2020-05-14
789,242,4917,72070,2020-05-15
875,153,2605,70187,2020-05-16
675,145,2366,68351,2020-05-17
451,99,2150,66553,2020-05-18
813,162,2075,65129,2020-05-19
665,161,2881,62752,2020-05-20
642,156,2278,60960,2020-05-21
652,130,2160,59322,2020-05-22
669,119,2120,57752,2020-05-23
531,50,1639,56594,2020-05-24
300,92,1502,55300,2020-05-25
397,78,2677,52942,2020-05-26
584,117,2443,50966,2020-05-27
