Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
1,0,0,1,2020-03-11
1,0,0,2,2020-03-12
6,0,0,8,2020-03-13
0,0,0,8,2020-03-14
2,0,0,10,2020-03-15
0,0,2,8,2020-03-16
2,0,0,10,2020-03-17
1,0,0,11,2020-03-18
2,1,0,12,2020-03-19
1,0,0,13,2020-03-20
0,0,0,13,2020-03-21
3,0,0,16,2020-03-22
0,0,0,16,2020-03-23
2,0,0,18,2020-03-24
5,0,0,23,2020-03-25
0,0,0,23,2020-03-26
0,0,0,23,2020-03-27
4,0,0,27,2020-03-28
2,0,0,29,2020-03-29
4,0,0,33,2020-03-30
0,0,0,33,2020-03-31
8,2,0,39,2020-04-01
3,0,0,42,2020-04-02
0,0,0,42,2020-04-03
6,0,5,43,2020-04-04
5,0,1,47,2020-04-05
0,0,0,47,2020-04-06
5,0,0,52,2020-04-07
0,1,2,49,2020-04-08
0,0,2,47,2020-04-09
0,0,1,46,2020-04-10
2,0,0,48,2020-04-11
4,0,0,52,2020-04-12
4,0,6,50,2020-04-13
0,0,0,50,2020-04-14
52,1,2,99,2020-04-15
18,0,0,117,2020-04-16
0,0,4,113,2020-04-17
20,0,0,133,2020-04-18
10,0,2,141,2020-04-19
50,0,0,191,2020-04-20
0,1,0,190,2020-04-21
10,0,0,200,2020-04-22
24,0,1,223,2020-04-23
31,1,0,253,2020-04-24
17,0,0,270,2020-04-25
45,0,0,315,2020-04-26
14,0,1,328,2020-04-27
0,0,0,328,2020-04-28
32,0,0,360,2020-04-29
26,1,0,385,2020-04-30
10,0,2,393,2020-05-01
31,0,2,422,2020-05-02
6,1,5,422,2020-05-03
2,0,0,424,2020-05-04
2,0,18,408,2020-05-05
5,0,1,412,2020-05-06
10,0,1,421,2020-05-07
2,0,4,419,2020-05-08
0,0,0,419,2020-05-09
12,0,28,403,2020-05-10
3,0,0,406,2020-05-11
2,0,10,398,2020-05-12
2,0,13,387,2020-05-13
0,0,5,382,2020-05-14
2,0,3,381,2020-05-15
6,0,0,387,2020-05-16
3,0,6,384,2020-05-17
0,0,4,380,2020-05-18
0,0,14,366,2020-05-19
9,0,26,349,2020-05-20
5,0,10,344,2020-05-21
10,0,10,344,2020-05-22
6,0,9,341,2020-05-23
2,0,11,332,2020-05-24
4,0,27,309,2020-05-25
8,0,29,288,2020-05-26
5,0,12,281,2020-05-27
0,0,5,276,2020-05-28
6,0,5,277,2020-05-29
6,0,1,282,2020-05-30
5,0,21,266,2020-05-31
2,0,11,257,2020-06-01
2,0,34,225,2020-06-02
1,1,5,220,2020-06-03
0,0,7,213,2020-06-04
4,0,17,200,2020-06-05
1,0,19,182,2020-06-06
2,0,1,183,2020-06-07
1,0,0,184,2020-06-08
6,0,0,190,2020-06-09
0,0,2,188,2020-06-10
6,0,1,193,2020-06-11
