Confirmed,Deaths,Recovered,Active,Date
2,0,0,2,2020-01-22
0,0,0,2,2020-01-23
0,0,0,2,2020-01-24
0,0,0,2,2020-01-25
2,0,1,3,2020-01-26
0,0,0,3,2020-01-27
3,0,0,6,2020-01-28
0,0,0,6,2020-01-29
4,0,0,10,2020-01-30
4,0,0,14,2020-01-31
5,0,0,19,2020-02-01
0,0,0,19,2020-02-02
0,0,0,19,2020-02-03
2,0,0,21,2020-02-04
1,0,0,22,2020-02-05
0,0,0,22,2020-02-06
0,0,0,22,2020-02-07
1,0,0,23,2020-02-08
0,0,0,23,2020-02-09
2,0,3,22,2020-02-10
1,0,5,18,2020-02-11
1,0,0,19,2020-02-12
5,1,0,23,2020-02-13
10,0,0,33,2020-02-14
11,0,3,41,2020-02-15
6,0,0,47,2020-02-16
7,0,0,54,2020-02-17
12,1,1,64,2020-02-18
6,0,5,65,2020-02-19
10,0,0,75,2020-02-20
17,0,4,88,2020-02-21
25,0,0,113,2020-02-22
12,0,0,125,2020-02-23
11,0,0,136,2020-02-24
13,1,0,148,2020-02-25
19,0,0,167,2020-02-26
26,1,0,192,2020-02-27
18,1,0,209,2020-02-28
9,1,10,207,2020-02-29
14,0,0,221,2020-03-01
19,0,0,240,2020-03-02
20,0,11,249,2020-03-03
35,1,0,283,2020-03-04
32,0,0,315,2020-03-05
55,0,3,367,2020-03-06
46,0,30,383,2020-03-07
33,1,0,415,2020-03-08
28,2,0,441,2020-03-09
58,3,25,471,2020-03-10
55,2,17,507,2020-03-11
56,4,0,559,2020-03-12
37,2,0,594,2020-03-13
62,1,0,655,2020-03-14
31,2,0,684,2020-03-15
17,6,26,669,2020-03-16
50,0,0,719,2020-03-17
35,2,0,752,2020-03-18
40,1,6,785,2020-03-19
54,1,41,797,2020-03-20
37,2,41,791,2020-03-21
45,4,3,829,2020-03-22
40,1,0,868,2020-03-23
73,1,50,890,2020-03-24
97,3,25,959,2020-03-25
102,2,49,1010,2020-03-26
114,6,13,1105,2020-03-27
198,3,32,1268,2020-03-28
179,7,20,1420,2020-03-29
94,2,0,1512,2020-03-30
254,2,0,1764,2020-03-31
