Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
1,0,0,1,2020-03-03
0,0,0,1,2020-03-04
0,0,0,1,2020-03-05
0,0,0,1,2020-03-06
0,0,0,1,2020-03-07
0,0,0,1,2020-03-08
0,0,0,1,2020-03-09
0,0,0,1,2020-03-10
0,0,0,1,2020-03-11
0,0,0,1,2020-03-12
0,0,1,0,2020-03-13
0,0,0,0,2020-03-14
7,0,0,7,2020-03-15
9,0,0,16,2020-03-16
17,0,0,33,2020-03-17
18,0,0,51,2020-03-18
17,0,0,68,2020-03-19
16,0,0,84,2020-03-20
0,0,0,84,2020-03-21
27,0,0,111,2020-03-22
15,0,0,126,2020-03-23
27,0,0,153,2020-03-24
18,0,0,171,2020-03-25
40,0,0,211,2020-03-26
23,1,17,216,2020-03-27
11,0,0,227,2020-03-28
13,2,0,238,2020-03-29
9,2,8,237,2020-03-30
6,0,4,239,2020-03-31
4,0,6,237,2020-04-01
21,0,9,249,2020-04-02
11,0,13,247,2020-04-03
13,0,16,244,2020-04-04
22,0,36,230,2020-04-05
4,1,16,217,2020-04-06
4,0,12,209,2020-04-07
5,0,12,202,2020-04-08
14,1,11,204,2020-04-09
0,0,9,195,2020-04-10
9,0,7,197,2020-04-11
8,0,24,181,2020-04-12
2,0,14,169,2020-04-13
6,0,20,155,2020-04-14
4,0,15,144,2020-04-15
1,0,9,136,2020-04-16
5,0,6,135,2020-04-17
6,0,4,137,2020-04-18
4,0,7,134,2020-04-19
8,0,6,136,2020-04-20
3,0,15,124,2020-04-21
7,0,18,113,2020-04-22
2,0,3,112,2020-04-23
4,0,8,108,2020-04-24
3,0,6,105,2020-04-25
3,0,5,103,2020-04-26
2,0,5,100,2020-04-27
0,1,6,93,2020-04-28
2,0,8,87,2020-04-29
2,0,6,83,2020-04-30
6,0,2,87,2020-05-01
1,1,3,84,2020-05-02
1,0,0,85,2020-05-03
4,0,3,86,2020-05-04
6,0,5,87,2020-05-05
2,0,2,87,2020-05-06
21,0,4,104,2020-05-07
14,0,4,114,2020-05-08
14,0,2,126,2020-05-09
18,0,2,142,2020-05-10
22,0,1,163,2020-05-11
14,0,0,177,2020-05-12
6,0,2,181,2020-05-13
4,0,1,184,2020-05-14
10,0,8,186,2020-05-15
11,0,3,194,2020-05-16
6,0,4,196,2020-05-17
16,0,5,207,2020-05-18
20,0,4,223,2020-05-19
23,0,29,217,2020-05-20
12,0,11,218,2020-05-21
16,0,4,230,2020-05-22
4,0,9,225,2020-05-23
4,0,1,228,2020-05-24
3,0,8,223,2020-05-25
7,0,107,123,2020-05-26
2,0,0,125,2020-05-27
8,0,-89,222,2020-05-28
2,0,10,214,2020-05-29
4,0,0,218,2020-05-30
5,0,15,208,2020-05-31
7,0,13,202,2020-06-01
9,0,14,197,2020-06-02
2,0,12,187,2020-06-03
8,0,5,190,2020-06-04
19,0,5,204,2020-06-05
11,0,15,200,2020-06-06
13,0,21,192,2020-06-07
23,0,20,195,2020-06-08
14,0,30,179,2020-06-09
18,0,6,191,2020-06-10
27,0,7,211,2020-06-11
