Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
4,0,0,4,2020-03-13
2,0,0,6,2020-03-14
3,0,0,9,2020-03-15
1,0,0,10,2020-03-16
23,0,0,33,2020-03-17
2,0,0,35,2020-03-18
9,0,0,44,2020-03-19
5,3,0,46,2020-03-20
4,-3,0,53,2020-03-21
7,0,0,60,2020-03-22
2,0,0,62,2020-03-23
10,0,0,72,2020-03-24
9,0,0,81,2020-03-25
30,1,2,108,2020-03-26
39,0,1,146,2020-03-27
78,0,13,211,2020-03-28
56,0,4,263,2020-03-29
18,0,1,280,2020-03-30
41,1,3,317,2020-03-31
37,1,2,351,2020-04-01
55,0,1,405,2020-04-02
29,3,2,429,2020-04-03
67,-1,7,490,2020-04-04
53,1,6,536,2020-04-05
78,0,4,610,2020-04-06
35,0,5,640,2020-04-07
30,1,3,666,2020-04-08
54,1,6,713,2020-04-09
31,2,4,738,2020-04-10
53,0,17,774,2020-04-11
86,0,18,842,2020-04-12
140,2,39,941,2020-04-13
141,2,65,1015,2020-04-14
63,2,37,1039,2020-04-15
107,1,37,1108,2020-04-16
144,0,70,1182,2020-04-17
69,0,30,1221,2020-04-18
61,0,23,1259,2020-04-19
176,2,47,1386,2020-04-20
143,0,42,1487,2020-04-21
140,0,26,1601,2020-04-22
154,1,45,1709,2020-04-23
193,5,44,1853,2020-04-24
119,0,42,1930,2020-04-25
116,0,36,2010,2020-04-26
118,0,38,2090,2020-04-27
192,0,54,2228,2020-04-28
111,0,45,2294,2020-04-29
264,0,47,2511,2020-04-30
195,0,56,2650,2020-05-01
260,0,63,2847,2020-05-02
63,2,99,2809,2020-05-03
129,2,89,2847,2020-05-04
156,0,106,2897,2020-05-05
217,1,129,2984,2020-05-06
156,0,110,3030,2020-05-07
256,1,113,3172,2020-05-08
141,0,145,3168,2020-05-09
115,0,165,3118,2020-05-10
117,1,133,3101,2020-05-11
72,0,149,3024,2020-05-12
138,0,185,2977,2020-05-13
154,0,123,3008,2020-05-14
118,2,176,2948,2020-05-15
161,0,273,2836,2020-05-16
307,0,276,2867,2020-05-17
594,1,213,3247,2020-05-18
0,0,129,3118,2020-05-19
218,0,136,3200,2020-05-20
265,0,109,3356,2020-05-21
685,0,253,3788,2020-05-22
0,0,118,3670,2020-05-23
612,0,138,4144,2020-05-24
438,0,163,4419,2020-05-25
0,2,98,4319,2020-05-26
335,0,155,4499,2020-05-27
272,0,132,4639,2020-05-28
356,0,157,4838,2020-05-29
450,1,163,5124,2020-05-30
476,2,184,5414,2020-05-31
450,1,183,5680,2020-06-01
263,3,354,5586,2020-06-02
496,4,299,5779,2020-06-03
0,4,366,5409,2020-06-04
245,0,297,5357,2020-06-05
199,1,232,5323,2020-06-06
183,3,241,5262,2020-06-07
