Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
1,0,0,1,2020-03-13
0,0,0,1,2020-03-14
2,0,0,3,2020-03-15
0,0,0,3,2020-03-16
0,0,0,3,2020-03-17
0,0,0,3,2020-03-18
4,0,0,7,2020-03-19
0,0,0,7,2020-03-20
0,0,0,7,2020-03-21
8,0,0,15,2020-03-22
1,0,0,16,2020-03-23
9,0,0,25,2020-03-24
3,0,1,27,2020-03-25
3,1,0,29,2020-03-26
0,0,0,29,2020-03-27
7,0,0,36,2020-03-28
4,0,0,40,2020-03-29
8,0,0,48,2020-03-30
9,0,0,57,2020-03-31
22,0,2,77,2020-04-01
29,2,1,103,2020-04-02
12,1,0,114,2020-04-03
4,0,0,118,2020-04-04
16,0,0,134,2020-04-05
16,2,0,148,2020-04-06
14,0,3,159,2020-04-07
7,0,2,164,2020-04-08
5,1,3,165,2020-04-09
5,0,10,160,2020-04-10
2,0,2,160,2020-04-11
6,1,1,164,2020-04-12
11,1,15,159,2020-04-13
8,0,1,166,2020-04-14
9,1,12,162,2020-04-15
9,1,0,170,2020-04-16
12,0,0,182,2020-04-17
16,1,7,190,2020-04-18
8,2,7,189,2020-04-19
11,0,2,198,2020-04-20
15,0,5,208,2020-04-21
7,0,0,215,2020-04-22
17,0,15,217,2020-04-23
16,0,5,228,2020-04-24
7,0,4,231,2020-04-25
12,0,8,235,2020-04-26
8,0,8,235,2020-04-27
11,0,10,236,2020-04-28
10,1,5,240,2020-04-29
12,2,15,235,2020-04-30
15,4,6,240,2020-05-01
24,1,2,261,2020-05-02
30,2,15,274,2020-05-03
25,0,6,293,2020-05-04
45,0,9,329,2020-05-05
47,2,8,366,2020-05-06
25,3,7,381,2020-05-07
14,0,5,390,2020-05-08
28,1,5,412,2020-05-09
23,2,32,401,2020-05-10
28,1,12,416,2020-05-11
15,3,8,420,2020-05-12
22,4,22,416,2020-05-13
21,2,3,432,2020-05-14
23,3,0,452,2020-05-15
49,5,17,479,2020-05-16
57,0,12,524,2020-05-17
25,0,23,526,2020-05-18
51,0,22,555,2020-05-19
66,0,8,613,2020-05-20
80,0,9,684,2020-05-21
52,0,5,731,2020-05-22
31,0,0,762,2020-05-23
22,1,3,780,2020-05-24
72,1,19,832,2020-05-25
62,0,3,891,2020-05-26
123,3,3,1008,2020-05-27
147,3,13,1139,2020-05-28
127,4,17,1245,2020-05-29
143,1,26,1361,2020-05-30
74,1,14,1420,2020-05-31
59,5,4,1470,2020-06-01
72,2,17,1523,2020-06-02
123,3,54,1589,2020-06-03
124,4,39,1670,2020-06-04
134,1,51,1752,2020-06-05
126,4,63,1811,2020-06-06
167,1,46,1931,2020-06-07
105,1,97,1938,2020-06-08
117,3,24,2028,2020-06-09
105,1,175,1957,2020-06-10
