Confirmed,Deaths,Recovered,Active,Date
1,0,0,1,2020-01-22
0,0,0,1,2020-01-23
1,0,0,2,2020-01-24
0,0,0,2,2020-01-25
1,0,0,3,2020-01-26
1,0,0,4,2020-01-27
0,0,0,4,2020-01-28
0,0,0,4,2020-01-29
0,0,0,4,2020-01-30
7,0,0,11,2020-01-31
1,0,0,12,2020-02-01
3,0,0,15,2020-02-02
0,0,0,15,2020-02-03
1,0,0,16,2020-02-04
3,0,0,19,2020-02-05
4,0,0,23,2020-02-06
1,0,1,23,2020-02-07
0,0,0,23,2020-02-08
1,0,2,22,2020-02-09
2,0,0,24,2020-02-10
1,0,0,25,2020-02-11
0,0,4,21,2020-02-12
0,0,0,21,2020-02-13
0,0,0,21,2020-02-14
0,0,2,19,2020-02-15
1,0,0,20,2020-02-16
1,0,1,20,2020-02-17
1,0,2,19,2020-02-18
0,0,0,19,2020-02-19
73,1,4,87,2020-02-20
100,1,0,186,2020-02-21
229,0,0,415,2020-02-22
169,4,2,578,2020-02-23
231,2,0,807,2020-02-24
144,2,4,945,2020-02-25
284,2,0,1227,2020-02-26
505,1,0,1731,2020-02-27
571,0,0,2302,2020-02-28
813,3,5,3107,2020-02-29
586,1,3,3689,2020-03-01
599,11,0,4277,2020-03-02
851,0,0,5128,2020-03-03
435,7,11,5545,2020-03-04
467,0,0,6012,2020-03-05
505,7,94,6416,2020-03-06
448,2,0,6862,2020-03-07
273,6,-17,7146,2020-03-08
164,3,0,7307,2020-03-09
35,1,129,7212,2020-03-10
242,6,41,7407,2020-03-11
114,6,45,7470,2020-03-12
110,0,177,7403,2020-03-13
107,6,0,7504,2020-03-14
76,3,0,7577,2020-03-15
74,0,627,7024,2020-03-16
84,6,270,6832,2020-03-17
93,3,133,6789,2020-03-18
152,7,0,6934,2020-03-19
87,3,0,7018,2020-03-20
147,8,0,7157,2020-03-21
162,9,1369,5941,2020-03-22
0,0,0,5941,2020-03-23
76,9,598,5410,2020-03-24
100,6,223,5281,2020-03-25
104,5,414,4966,2020-03-26
91,8,384,4665,2020-03-27
146,5,283,4523,2020-03-28
105,8,222,4398,2020-03-29
78,6,195,4275,2020-03-30
125,4,180,4216,2020-03-31
101,3,159,4155,2020-04-01
89,4,261,3979,2020-04-02
86,5,193,3867,2020-04-03
94,3,304,3654,2020-04-04
81,6,138,3591,2020-04-05
47,3,135,3500,2020-04-06
47,6,96,3445,2020-04-07
53,8,82,3408,2020-04-08
39,4,197,3246,2020-04-09
27,4,144,3125,2020-04-10
30,3,126,3026,2020-04-11
32,3,125,2930,2020-04-12
25,3,79,2873,2020-04-13
27,5,87,2808,2020-04-14
27,3,82,2750,2020-04-15
22,4,141,2627,2020-04-16
22,1,72,2576,2020-04-17
18,2,108,2484,2020-04-18
8,2,105,2385,2020-04-19
13,2,72,2324,2020-04-20
9,1,99,2233,2020-04-21
11,1,64,2179,2020-04-22
14,2,224,1967,2020-04-23
10,0,134,1843,2020-04-24
10,2,82,1769,2020-04-25
10,1,47,1731,2020-04-26
14,1,90,1654,2020-04-27
9,2,68,1593,2020-04-28
4,1,137,1459,2020-04-29
9,1,13,1454,2020-04-30
6,2,51,1407,2020-05-01
13,0,60,1360,2020-05-02
8,2,34,1332,2020-05-03
3,2,66,1267,2020-05-04
2,1,50,1218,2020-05-05
4,1,86,1135,2020-05-06
12,0,65,1082,2020-05-07
18,0,84,1016,2020-05-08
34,0,42,1008,2020-05-09
35,0,22,1021,2020-05-10
27,2,38,1008,2020-05-11
26,1,25,1008,2020-05-12
29,1,67,969,2020-05-13
27,0,59,937,2020-05-14
19,2,30,924,2020-05-15
13,0,37,900,2020-05-16
15,1,16,898,2020-05-17
13,0,34,877,2020-05-18
32,0,128,781,2020-05-19
12,1,69,723,2020-05-20
20,0,27,716,2020-05-21
23,2,32,705,2020-05-22
25,0,19,711,2020-05-23
16,1,13,713,2020-05-24
19,2,49,681,2020-05-25
40,0,20,701,2020-05-26
79,0,45,735,2020-05-27
58,0,23,770,2020-05-28
39,0,35,774,2020-05-29
27,1,7,793,2020-05-30
35,1,17,810,2020-05-31
38,1,24,823,2020-06-01
49,1,21,850,2020-06-02
39,0,32,857,2020-06-03
39,0,7,889,2020-06-04
51,0,25,915,2020-06-05
57,0,21,951,2020-06-06
38,0,11,978,2020-06-07
38,1,26,989,2020-06-08
50,2,22,1015,2020-06-09
45,0,43,1017,2020-06-10
56,1,15,1057,2020-06-11
48,0,22,1083,2020-06-12
34,0,27,1090,2020-06-13
36,0,12,1114,2020-06-14
34,1,30,1117,2020-06-15
43,1,14,1145,2020-06-16
59,1,26,1177,2020-06-17
49,0,35,1191,2020-06-18
67,0,21,1237,2020-06-19
48,0,12,1273,2020-06-20
17,0,13,1277,2020-06-21
46,1,27,1295,2020-06-22
51,0,22,1324,2020-06-23
28,1,44,1307,2020-06-24
39,0,198,1148,2020-06-25
51,0,145,1054,2020-06-26
62,0,47,1069,2020-06-27
42,0,65,1046,2020-06-28
43,0,108,981,2020-06-29
50,0,76,955,2020-06-30
54,0,71,938,2020-07-01
63,0,75,926,2020-07-02
63,1,52,936,2020-07-03
61,0,21,976,2020-07-04
46,1,16,1005,2020-07-05
44,1,66,982,2020-07-06
63,0,56,989,2020-07-07
49,2,49,987,2020-07-08
45,1,46,985,2020-07-09
35,0,79,941,2020-07-10
44,1,34,950,2020-07-11
62,0,26,986,2020-07-12
33,0,78,941,2020-07-13
39,0,66,914,2020-07-14
61,2,48,925,2020-07-15
60,2,64,919,2020-07-16
39,1,59,898,2020-07-17
34,1,37,894,2020-07-18
26,1,16,903,2020-07-19
45,0,71,877,2020-07-20
63,1,55,884,2020-07-21
59,0,60,883,2020-07-22
41,1,59,864,2020-07-23
113,0,49,928,2020-07-24
58,0,24,962,2020-07-25
25,1,15,971,2020-07-26
28,1,102,896,2020-07-27
48,0,62,882,2020-07-28
18,0,63,837,2020-07-29
36,1,51,821,2020-07-30
31,0,50,802,2020-07-31
30,0,26,806,2020-08-01
23,0,21,808,2020-08-02
34,0,72,770,2020-08-03
33,1,54,748,2020-08-04
43,0,95,696,2020-08-05
20,1,42,673,2020-08-06
43,1,86,629,2020-08-07
36,1,13,651,2020-08-08
28,0,16,663,2020-08-09
34,0,71,626,2020-08-10
54,0,57,623,2020-08-11
56,0,31,648,2020-08-12
103,0,46,705,2020-08-13
166,0,38,833,2020-08-14
279,0,9,1103,2020-08-15
197,0,7,1293,2020-08-16
246,1,17,1521,2020-08-17
297,0,72,1746,2020-08-18
288,1,57,1976,2020-08-19
324,2,57,2241,2020-08-20
332,0,49,2524,2020-08-21
397,0,31,2890,2020-08-22
266,0,19,3137,2020-08-23
280,1,67,3349,2020-08-24
320,2,82,3585,2020-08-25
441,1,93,3932,2020-08-26
371,3,90,4210,2020-08-27
323,5,214,4314,2020-08-28
299,2,138,4473,2020-08-29
