Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
1,0,0,1,2020-02-24
10,0,0,11,2020-02-25
15,0,0,26,2020-02-26
17,0,0,43,2020-02-27
2,0,0,45,2020-02-28
0,0,0,45,2020-02-29
0,0,0,45,2020-03-01
11,0,0,56,2020-03-02
0,0,0,56,2020-03-03
0,0,0,56,2020-03-04
2,0,0,58,2020-03-05
0,0,0,58,2020-03-06
3,0,0,61,2020-03-07
3,0,1,63,2020-03-08
0,0,0,63,2020-03-09
5,0,0,68,2020-03-10
3,0,1,70,2020-03-11
8,0,3,75,2020-03-12
0,0,0,75,2020-03-13
24,0,0,99,2020-03-14
8,0,0,107,2020-03-15
11,0,4,114,2020-03-16
7,0,0,121,2020-03-17
12,0,6,127,2020-03-18
6,0,3,130,2020-03-19
11,0,0,141,2020-03-20
17,0,9,149,2020-03-21
12,0,0,161,2020-03-22
1,0,0,162,2020-03-23
2,0,12,152,2020-03-24
4,0,4,152,2020-03-25
13,0,6,159,2020-03-26
17,0,8,168,2020-03-27
10,0,7,171,2020-03-28
20,0,3,188,2020-03-29
11,0,5,194,2020-03-30
23,0,1,216,2020-03-31
28,0,7,237,2020-04-01
25,0,1,261,2020-04-02
75,0,1,335,2020-04-03
62,1,11,385,2020-04-04
77,0,6,456,2020-04-05
109,0,4,561,2020-04-06
78,0,2,637,2020-04-07
112,0,6,743,2020-04-08
55,0,0,798,2020-04-09
83,0,12,869,2020-04-10
161,0,10,1020,2020-04-11
80,0,9,1091,2020-04-12
66,1,8,1148,2020-04-13
55,1,26,1176,2020-04-14
50,0,30,1196,2020-04-15
119,0,19,1296,2020-04-16
134,2,33,1395,2020-04-17
93,1,22,1465,2020-04-18
164,1,25,1603,2020-04-19
80,2,62,1619,2020-04-20
85,2,45,1657,2020-04-21
168,2,31,1792,2020-04-22
151,1,55,1887,2020-04-23
215,1,115,1986,2020-04-24
278,4,43,2217,2020-04-25
183,1,150,2249,2020-04-26
213,2,206,2254,2020-04-27
152,1,164,2241,2020-04-28
300,1,213,2327,2020-04-29
284,2,150,2459,2020-04-30
353,4,63,2745,2020-05-01
242,3,101,2883,2020-05-02
364,5,73,3169,2020-05-03
295,2,171,3291,2020-05-04
526,0,85,3732,2020-05-05
485,2,187,4028,2020-05-06
278,2,162,4142,2020-05-07
641,3,85,4695,2020-05-08
415,2,156,4952,2020-05-09
1065,9,107,5901,2020-05-10
598,7,178,6314,2020-05-11
991,10,194,7101,2020-05-12
751,7,162,7683,2020-05-13
947,6,188,8436,2020-05-14
885,8,189,9124,2020-05-15
942,11,203,9852,2020-05-16
1048,5,250,10645,2020-05-17
841,6,246,11234,2020-05-18
1073,3,342,11962,2020-05-19
804,3,204,12559,2020-05-20
1041,5,320,13275,2020-05-21
955,9,310,13911,2020-05-22
900,10,232,14569,2020-05-23
838,8,370,15029,2020-05-24
665,9,504,15181,2020-05-25
608,7,685,15097,2020-05-26
692,3,640,15146,2020-05-27
845,10,752,15229,2020-05-28
1072,9,575,15717,2020-05-29
1008,11,883,15831,2020-05-30
851,7,1230,15445,2020-05-31
719,8,1513,14643,2020-06-01
887,6,1382,14142,2020-06-02
710,4,1469,13379,2020-06-03
562,6,1473,12462,2020-06-04
723,8,1054,12123,2020-06-05
487,10,1005,11595,2020-06-06
