Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
0,0,0,0,2020-03-14
0,0,0,0,2020-03-15
0,0,0,0,2020-03-16
0,0,0,0,2020-03-17
3,0,0,3,2020-03-18
0,0,0,3,2020-03-19
3,0,0,6,2020-03-20
8,0,0,14,2020-03-21
0,0,0,14,2020-03-22
2,0,0,16,2020-03-23
26,0,0,42,2020-03-24
2,0,0,44,2020-03-25
0,0,0,44,2020-03-26
14,0,0,58,2020-03-27
0,0,0,58,2020-03-28
26,0,0,84,2020-03-29
10,0,3,91,2020-03-30
13,0,0,104,2020-03-31
4,0,0,108,2020-04-01
5,0,2,111,2020-04-02
14,1,1,123,2020-04-03
14,0,3,134,2020-04-04
3,0,0,137,2020-04-05
69,3,24,179,2020-04-06
12,0,0,191,2020-04-07
42,0,0,233,2020-04-08
10,0,2,241,2020-04-09
18,1,0,258,2020-04-10
41,0,9,290,2020-04-11
38,0,10,318,2020-04-12
42,0,13,347,2020-04-13
11,0,4,354,2020-04-14
19,0,7,366,2020-04-15
17,0,13,370,2020-04-16
23,0,23,370,2020-04-17
17,0,16,371,2020-04-18
48,0,3,416,2020-04-19
14,2,68,360,2020-04-20
22,0,15,367,2020-04-21
22,0,38,351,2020-04-22
19,1,48,321,2020-04-23
34,0,43,312,2020-04-24
0,0,0,312,2020-04-25
17,0,25,304,2020-04-26
13,0,25,292,2020-04-27
13,0,21,284,2020-04-28
21,0,21,284,2020-04-29
17,0,25,276,2020-04-30
10,0,42,244,2020-05-01
13,0,23,234,2020-05-02
26,2,37,221,2020-05-03
35,0,11,245,2020-05-04
13,1,25,232,2020-05-05
28,1,14,245,2020-05-06
24,0,23,246,2020-05-07
11,0,13,244,2020-05-08
25,0,8,261,2020-05-09
71,0,17,315,2020-05-10
14,0,13,316,2020-05-11
21,0,21,316,2020-05-12
7,0,17,306,2020-05-13
38,0,9,335,2020-05-14
29,2,10,352,2020-05-15
6,0,38,320,2020-05-16
21,0,21,320,2020-05-17
78,0,23,375,2020-05-18
27,0,71,331,2020-05-19
27,0,12,346,2020-05-20
43,0,13,376,2020-05-21
37,0,16,397,2020-05-22
15,0,18,394,2020-05-23
38,0,23,409,2020-05-24
30,2,12,425,2020-05-25
35,0,23,437,2020-05-26
52,0,28,461,2020-05-27
74,0,23,512,2020-05-28
68,0,22,558,2020-05-29
60,0,25,593,2020-05-30
26,0,57,562,2020-05-31
69,0,11,620,2020-06-01
28,1,38,609,2020-06-02
26,3,46,586,2020-06-03
28,0,27,587,2020-06-04
37,2,48,574,2020-06-05
38,0,20,592,2020-06-06
33,0,65,560,2020-06-07
25,1,20,564,2020-06-08
23,1,38,548,2020-06-09
38,2,89,495,2020-06-10
73,0,96,472,2020-06-11
