Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
1,0,0,1,2020-03-02
0,0,0,1,2020-03-03
0,0,0,1,2020-03-04
0,0,0,1,2020-03-05
0,0,0,1,2020-03-06
0,0,0,1,2020-03-07
1,0,0,2,2020-03-08
4,0,0,6,2020-03-09
2,0,1,7,2020-03-10
2,0,0,9,2020-03-11
0,0,0,9,2020-03-12
7,0,0,16,2020-03-13
9,0,0,25,2020-03-14
4,0,0,29,2020-03-15
4,0,0,33,2020-03-16
15,0,0,48,2020-03-17
22,0,0,70,2020-03-18
15,0,0,85,2020-03-19
25,0,0,110,2020-03-20
13,0,0,123,2020-03-21
15,0,0,138,2020-03-22
41,0,0,179,2020-03-23
17,0,0,196,2020-03-24
24,0,0,220,2020-03-25
23,0,0,243,2020-03-26
36,0,0,279,2020-03-27
25,0,0,304,2020-03-28
42,0,0,346,2020-03-29
29,0,0,375,2020-03-30
22,0,0,397,2020-03-31
48,0,0,445,2020-04-01
12,0,30,427,2020-04-02
35,1,-30,491,2020-04-03
16,0,0,507,2020-04-04
24,0,0,531,2020-04-05
9,0,15,525,2020-04-06
6,1,0,530,2020-04-07
29,0,0,559,2020-04-08
12,1,0,570,2020-04-09
23,0,0,593,2020-04-10
18,0,0,611,2020-04-11
21,2,0,630,2020-04-12
4,0,0,634,2020-04-13
2,0,0,636,2020-04-14
9,0,28,617,2020-04-15
9,0,13,613,2020-04-16
7,0,31,589,2020-04-17
30,0,0,619,2020-04-18
15,0,0,634,2020-04-19
12,0,0,646,2020-04-20
9,4,45,606,2020-04-21
13,2,0,617,2020-04-22
17,0,0,634,2020-04-23
6,1,134,505,2020-04-24
20,0,0,525,2020-04-25
8,0,0,533,2020-04-26
6,1,0,538,2020-04-27
18,0,0,556,2020-04-28
13,2,81,486,2020-04-29
9,0,0,495,2020-04-30
12,1,0,506,2020-05-01
1,0,0,507,2020-05-02
8,0,0,515,2020-05-03
17,0,0,532,2020-05-04
0,1,0,531,2020-05-05
4,0,116,419,2020-05-06
9,1,0,427,2020-05-07
19,0,0,446,2020-05-08
2,0,0,448,2020-05-09
9,0,0,457,2020-05-10
7,0,0,464,2020-05-11
4,0,163,305,2020-05-12
1,1,0,305,2020-05-13
11,0,0,316,2020-05-14
8,0,35,289,2020-05-15
27,0,0,316,2020-05-16
11,0,0,327,2020-05-17
1,0,0,328,2020-05-18
3,2,32,297,2020-05-19
4,0,0,301,2020-05-20
9,1,0,309,2020-05-21
5,0,18,296,2020-05-22
16,0,0,312,2020-05-23
1,0,0,313,2020-05-24
2,0,0,315,2020-05-25
4,0,29,290,2020-05-26
4,1,0,293,2020-05-27
4,1,0,296,2020-05-28
3,0,4,295,2020-05-29
1,0,0,296,2020-05-30
1,0,0,297,2020-05-31
0,0,0,297,2020-06-01
5,0,15,287,2020-06-02
8,0,0,295,2020-06-03
3,1,0,297,2020-06-04
3,0,21,279,2020-06-05
1,0,0,280,2020-06-06
2,0,0,282,2020-06-07
0,1,0,281,2020-06-08
1,0,13,269,2020-06-09
3,0,0,272,2020-06-10
2,0,24,250,2020-06-11
