Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
1,0,0,1,2020-02-21
0,0,0,1,2020-02-22
0,0,0,1,2020-02-23
0,0,0,1,2020-02-24
0,0,0,1,2020-02-25
1,0,0,2,2020-02-26
0,0,0,2,2020-02-27
0,0,0,2,2020-02-28
2,0,0,4,2020-02-29
6,0,0,10,2020-03-01
3,0,0,13,2020-03-02
0,0,0,13,2020-03-03
0,0,1,12,2020-03-04
3,0,0,15,2020-03-05
6,0,0,21,2020-03-06
0,0,0,21,2020-03-07
10,0,0,31,2020-03-08
0,0,0,31,2020-03-09
9,1,0,39,2020-03-10
20,2,0,57,2020-03-11
0,0,0,57,2020-03-12
16,0,0,73,2020-03-13
16,0,0,89,2020-03-14
17,0,0,106,2020-03-15
0,0,0,106,2020-03-16
10,0,2,114,2020-03-17
13,0,0,127,2020-03-18
24,1,1,149,2020-03-19
6,0,0,155,2020-03-20
24,0,0,179,2020-03-21
61,0,4,236,2020-03-22
19,0,0,255,2020-03-23
51,0,0,306,2020-03-24
15,2,12,307,2020-03-25
35,0,3,339,2020-03-26
23,2,4,356,2020-03-27
21,0,3,374,2020-03-28
26,2,0,398,2020-03-29
8,1,5,400,2020-03-30
24,1,2,421,2020-03-31
9,2,6,422,2020-04-01
15,2,3,432,2020-04-02
14,1,4,441,2020-04-03
12,0,4,449,2020-04-04
7,1,0,455,2020-04-05
14,1,6,462,2020-04-06
7,0,2,467,2020-04-07
28,0,0,495,2020-04-08
6,0,5,496,2020-04-09
27,1,9,513,2020-04-10
10,0,1,522,2020-04-11
11,0,3,530,2020-04-12
2,0,0,532,2020-04-13
9,1,0,540,2020-04-14
17,0,5,552,2020-04-15
5,0,1,556,2020-04-16
5,0,0,561,2020-04-17
4,0,13,552,2020-04-18
1,0,3,550,2020-04-19
4,0,1,553,2020-04-20
0,0,5,548,2020-04-21
5,1,5,547,2020-04-22
6,0,27,526,2020-04-23
8,0,0,534,2020-04-24
8,2,3,537,2020-04-25
3,0,2,538,2020-04-26
3,0,0,541,2020-04-27
7,0,0,548,2020-04-28
4,0,5,547,2020-04-29
4,0,0,551,2020-04-30
4,0,42,513,2020-05-01
4,1,5,511,2020-05-02
4,0,3,512,2020-05-03
3,0,0,515,2020-05-04
1,0,6,510,2020-05-05
9,0,0,519,2020-05-06
34,0,14,539,2020-05-07
12,1,3,547,2020-05-08
13,0,11,549,2020-05-09
36,0,0,585,2020-05-10
14,0,0,599,2020-05-11
11,0,0,610,2020-05-12
8,0,2,616,2020-05-13
8,0,0,624,2020-05-14
5,0,10,619,2020-05-15
11,0,1,629,2020-05-16
9,0,0,638,2020-05-17
20,0,4,654,2020-05-18
23,0,0,677,2020-05-19
7,0,0,684,2020-05-20
63,0,412,335,2020-05-21
62,0,0,397,2020-05-22
11,0,4,404,2020-05-23
17,0,21,400,2020-05-24
5,0,0,405,2020-05-25
21,0,1,425,2020-05-26
21,0,3,443,2020-05-27
7,0,7,443,2020-05-28
4,0,6,441,2020-05-29
19,0,3,457,2020-05-30
29,1,4,481,2020-05-31
13,0,3,491,2020-06-01
9,0,4,496,2020-06-02
14,0,5,505,2020-06-03
50,1,7,547,2020-06-04
6,0,37,516,2020-06-05
8,1,0,523,2020-06-06
11,1,0,533,2020-06-07
19,0,11,541,2020-06-08
18,0,16,543,2020-06-09
20,0,37,526,2020-06-10
14,1,13,526,2020-06-11
