Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
0,0,0,0,2020-03-14
0,0,0,0,2020-03-15
1,0,0,1,2020-03-16
0,0,0,1,2020-03-17
1,0,0,2,2020-03-18
0,0,0,2,2020-03-19
0,0,0,2,2020-03-20
1,0,0,3,2020-03-21
0,0,0,3,2020-03-22
0,0,0,3,2020-03-23
0,0,0,3,2020-03-24
0,0,0,3,2020-03-25
0,0,0,3,2020-03-26
0,0,0,3,2020-03-27
0,0,0,3,2020-03-28
0,0,0,3,2020-03-29
0,0,0,3,2020-03-30
0,0,0,3,2020-03-31
3,0,0,6,2020-04-01
0,0,0,6,2020-04-02
1,0,0,7,2020-04-03
3,1,3,6,2020-04-04
3,2,0,7,2020-04-05
1,0,0,8,2020-04-06
0,0,0,8,2020-04-07
17,1,0,24,2020-04-08
0,0,0,24,2020-04-09
6,1,0,29,2020-04-10
11,0,0,40,2020-04-11
2,0,0,42,2020-04-12
9,1,1,49,2020-04-13
0,0,0,49,2020-04-14
0,0,0,49,2020-04-15
0,0,0,49,2020-04-16
17,1,3,62,2020-04-17
0,0,0,62,2020-04-18
15,1,0,76,2020-04-19
8,0,0,84,2020-04-20
2,0,0,86,2020-04-21
0,0,13,73,2020-04-22
0,0,0,73,2020-04-23
16,0,5,84,2020-04-24
3,3,0,84,2020-04-25
4,1,0,87,2020-04-26
0,0,0,87,2020-04-27
17,4,20,80,2020-04-28
0,0,0,80,2020-04-29
0,0,0,80,2020-04-30
11,2,0,89,2020-05-01
2,0,3,88,2020-05-02
4,0,10,82,2020-05-03
8,0,0,90,2020-05-04
4,2,0,92,2020-05-05
8,0,17,83,2020-05-06
11,0,4,90,2020-05-07
10,0,0,100,2020-05-08
0,0,0,100,2020-05-09
0,0,0,100,2020-05-10
12,0,6,106,2020-05-11
0,0,0,106,2020-05-12
2,0,16,92,2020-05-13
2,0,4,90,2020-05-14
4,0,3,91,2020-05-15
4,0,8,87,2020-05-16
3,1,4,85,2020-05-17
3,1,3,84,2020-05-18
4,1,2,85,2020-05-19
5,0,3,87,2020-05-20
2,0,3,86,2020-05-21
9,1,5,89,2020-05-22
6,2,0,93,2020-05-23
10,0,3,100,2020-05-24
0,0,2,98,2020-05-25
1,0,3,96,2020-05-26
0,1,0,95,2020-05-27
3,0,0,98,2020-05-28
4,0,2,100,2020-05-29
7,0,2,105,2020-05-30
8,0,9,104,2020-05-31
8,0,2,110,2020-06-01
15,1,8,116,2020-06-02
5,0,2,119,2020-06-03
5,0,6,118,2020-06-04
13,2,1,128,2020-06-05
11,0,9,130,2020-06-06
14,0,9,135,2020-06-07
11,0,1,145,2020-06-08
13,1,4,153,2020-06-09
14,0,1,166,2020-06-10
13,0,6,173,2020-06-11
