Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
1,0,0,1,2020-02-29
0,0,0,1,2020-03-01
0,0,0,1,2020-03-02
0,0,0,1,2020-03-03
0,0,0,1,2020-03-04
0,0,0,1,2020-03-05
1,0,0,2,2020-03-06
0,0,0,2,2020-03-07
1,0,0,3,2020-03-08
0,0,0,3,2020-03-09
2,0,0,5,2020-03-10
2,0,0,7,2020-03-11
12,0,0,19,2020-03-12
15,0,0,34,2020-03-13
17,1,0,50,2020-03-14
8,0,0,58,2020-03-15
18,0,0,76,2020-03-16
63,0,0,139,2020-03-17
63,1,0,201,2020-03-18
132,2,0,331,2020-03-19
149,0,0,480,2020-03-20
186,4,0,662,2020-03-21
128,0,6,784,2020-03-22
77,0,0,861,2020-03-23
224,0,0,1085,2020-03-24
234,0,0,1319,2020-03-25
120,1,0,1438,2020-03-26
152,6,34,1550,2020-03-27
226,3,0,1773,2020-03-28
119,3,0,1889,2020-03-29
38,1,0,1926,2020-03-30
190,1,40,2075,2020-03-31
141,6,0,2210,2020-04-01
168,1,0,2377,2020-04-02
125,1,420,2081,2020-04-03
117,0,0,2198,2020-04-04
75,5,0,2268,2020-04-05
39,5,0,2302,2020-04-06
127,3,0,2426,2020-04-07
64,2,0,2488,2020-04-08
81,6,0,2563,2020-04-09
108,2,0,2669,2020-04-10
47,8,0,2708,2020-04-11
11,4,0,2715,2020-04-12
11,3,0,2723,2020-04-13
15,-2,0,2740,2020-04-14
66,2,26,2778,2020-04-15
71,0,26,2823,2020-04-16
36,3,27,2829,2020-04-17
57,0,22,2864,2020-04-18
13,1,26,2850,2020-04-19
8,2,10,2846,2020-04-20
60,3,33,2870,2020-04-21
36,2,41,2863,2020-04-22
11,3,17,2854,2020-04-23
30,2,2279,603,2020-04-24
16,0,81,538,2020-04-25
12,3,16,531,2020-04-26
6,0,19,518,2020-04-27
12,1,0,529,2020-04-28
28,0,11,546,2020-04-29
15,1,79,481,2020-04-30
18,2,0,497,2020-05-01
10,0,105,402,2020-05-02
12,4,61,349,2020-05-03
4,0,26,327,2020-05-04
12,0,7,332,2020-05-05
11,2,40,301,2020-05-06
8,2,53,254,2020-05-07
12,0,21,245,2020-05-08
6,1,24,226,2020-05-09
9,0,36,199,2020-05-10
2,0,16,185,2020-05-11
6,1,8,182,2020-05-12
10,1,19,172,2020-05-13
11,0,36,147,2020-05-14
8,1,17,137,2020-05-15
7,0,17,127,2020-05-16
15,3,3,136,2020-05-17
2,0,13,125,2020-05-18
11,2,3,131,2020-05-19
13,0,10,134,2020-05-20
9,0,13,130,2020-05-21
1,0,7,124,2020-05-22
9,0,10,123,2020-05-23
2,1,9,115,2020-05-24
1,0,14,102,2020-05-25
2,0,2,102,2020-05-26
6,0,8,100,2020-05-27
7,0,12,95,2020-05-28
4,0,12,87,2020-05-29
4,0,0,91,2020-05-30
2,0,18,75,2020-05-31
1,0,12,64,2020-06-01
1,0,3,62,2020-06-02
4,0,13,53,2020-06-03
3,0,13,43,2020-06-04
5,0,11,37,2020-06-05
3,0,3,37,2020-06-06
4,0,11,30,2020-06-07
1,0,2,29,2020-06-08
6,0,1,34,2020-06-09
