Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
1,0,0,1,2020-02-26
0,0,0,1,2020-02-27
0,0,0,1,2020-02-28
0,0,0,1,2020-02-29
0,0,0,1,2020-03-01
0,0,0,1,2020-03-02
0,0,0,1,2020-03-03
0,0,0,1,2020-03-04
0,0,0,1,2020-03-05
2,0,0,3,2020-03-06
0,0,0,3,2020-03-07
0,0,0,3,2020-03-08
0,0,0,3,2020-03-09
4,0,0,7,2020-03-10
0,0,0,7,2020-03-11
0,0,0,7,2020-03-12
7,0,1,13,2020-03-13
0,0,0,13,2020-03-14
0,0,0,13,2020-03-15
4,0,0,17,2020-03-16
8,0,0,25,2020-03-17
9,0,0,34,2020-03-18
13,0,0,47,2020-03-19
19,0,0,66,2020-03-20
18,0,0,84,2020-03-21
30,1,0,113,2020-03-22
21,1,0,133,2020-03-23
12,0,0,145,2020-03-24
29,1,0,173,2020-03-25
24,0,2,195,2020-03-26
18,0,0,213,2020-03-27
22,1,0,234,2020-03-28
18,2,0,250,2020-03-29
26,1,9,266,2020-03-30
44,2,0,308,2020-03-31
25,2,5,326,2020-04-01
30,0,0,356,2020-04-02
46,1,3,398,2020-04-03
53,5,0,446,2020-04-04
72,1,3,514,2020-04-05
15,5,7,517,2020-04-06
29,3,0,543,2020-04-07
18,3,5,553,2020-04-08
46,1,2,596,2020-04-09
48,2,4,638,2020-04-10
49,2,0,685,2020-04-11
68,0,0,753,2020-04-12
26,4,3,772,2020-04-13
54,6,42,778,2020-04-14
66,1,12,831,2020-04-15
107,1,23,914,2020-04-16
36,3,18,929,2020-04-17
53,0,25,957,2020-04-18
37,2,15,977,2020-04-19
18,3,21,971,2020-04-20
6,1,24,952,2020-04-21
28,1,48,931,2020-04-22
41,0,29,943,2020-04-23
26,1,36,932,2020-04-24
41,2,37,934,2020-04-25
19,2,126,825,2020-04-26
13,4,53,781,2020-04-27
22,6,36,761,2020-04-28
21,2,38,742,2020-04-29
23,4,111,650,2020-04-30
29,4,69,606,2020-05-01
12,1,45,572,2020-05-02
5,2,93,482,2020-05-03
7,1,47,441,2020-05-04
8,1,21,427,2020-05-05
13,2,44,394,2020-05-06
33,1,22,404,2020-05-07
14,1,20,397,2020-05-08
36,1,13,419,2020-05-09
20,0,24,415,2020-05-10
22,0,64,373,2020-05-11
10,1,5,377,2020-05-12
20,3,24,370,2020-05-13
29,0,6,393,2020-05-14
17,2,16,392,2020-05-15
22,1,16,397,2020-05-16
30,3,26,398,2020-05-17
25,3,8,412,2020-05-18
22,2,50,382,2020-05-19
19,4,16,381,2020-05-20
40,1,11,409,2020-05-21
23,1,9,422,2020-05-22
20,1,24,417,2020-05-23
37,0,11,443,2020-05-24
21,0,17,447,2020-05-25
15,3,14,445,2020-05-26
25,3,17,450,2020-05-27
38,2,16,470,2020-05-28
52,5,30,487,2020-05-29
35,5,19,498,2020-05-30
62,2,17,541,2020-05-31
89,7,17,606,2020-06-01
76,1,26,655,2020-06-02
101,4,10,742,2020-06-03
119,2,16,843,2020-06-04
179,2,11,1009,2020-06-05
125,2,8,1124,2020-06-06
110,2,6,1226,2020-06-07
127,3,7,1343,2020-06-08
87,1,5,1424,2020-06-09
125,7,6,1536,2020-06-10
