Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
0,0,0,0,2020-03-14
0,0,0,0,2020-03-15
0,0,0,0,2020-03-16
0,0,0,0,2020-03-17
0,0,0,0,2020-03-18
0,0,0,0,2020-03-19
0,0,0,0,2020-03-20
0,0,0,0,2020-03-21
0,0,0,0,2020-03-22
0,0,0,0,2020-03-23
0,0,0,0,2020-03-24
0,0,0,0,2020-03-25
0,0,0,0,2020-03-26
0,0,0,0,2020-03-27
0,0,0,0,2020-03-28
0,0,0,0,2020-03-29
0,0,0,0,2020-03-30
0,0,0,0,2020-03-31
0,0,0,0,2020-04-01
3,0,0,3,2020-04-02
0,0,0,3,2020-04-03
1,0,0,4,2020-04-04
0,0,0,4,2020-04-05
1,0,0,5,2020-04-06
3,1,0,7,2020-04-07
0,0,0,7,2020-04-08
0,0,0,7,2020-04-09
1,0,0,8,2020-04-10
3,1,0,10,2020-04-11
1,0,0,11,2020-04-12
3,0,0,14,2020-04-13
0,0,0,14,2020-04-14
0,0,0,14,2020-04-15
0,0,0,14,2020-04-16
1,0,3,12,2020-04-17
0,0,0,12,2020-04-18
0,0,0,12,2020-04-19
0,0,0,12,2020-04-20
1,0,0,13,2020-04-21
5,1,0,17,2020-04-22
10,0,0,27,2020-04-23
0,0,1,26,2020-04-24
0,0,0,26,2020-04-25
1,0,0,27,2020-04-26
2,0,0,29,2020-04-27
0,0,1,28,2020-04-28
0,0,2,26,2020-04-29
1,0,0,27,2020-04-30
0,0,2,25,2020-05-01
1,0,0,26,2020-05-02
1,0,0,27,2020-05-03
2,0,0,29,2020-05-04
0,0,0,29,2020-05-05
2,0,0,31,2020-05-06
0,0,5,26,2020-05-07
0,0,0,26,2020-05-08
13,0,0,39,2020-05-09
0,0,0,39,2020-05-10
1,0,10,30,2020-05-11
0,0,0,30,2020-05-12
6,0,0,36,2020-05-13
0,0,0,36,2020-05-14
0,0,0,36,2020-05-15
2,0,0,38,2020-05-16
5,0,3,40,2020-05-17
0,0,0,40,2020-05-18
0,0,0,40,2020-05-19
1,0,0,41,2020-05-20
1,0,0,42,2020-05-21
10,0,1,51,2020-05-22
0,0,0,51,2020-05-23
1,1,5,46,2020-05-24
18,0,0,64,2020-05-25
0,0,4,60,2020-05-26
0,0,0,60,2020-05-27
102,0,0,162,2020-05-28
70,0,5,227,2020-05-29
6,0,0,233,2020-05-30
5,0,0,238,2020-05-31
52,0,0,290,2020-06-01
22,0,0,312,2020-06-02
11,0,9,314,2020-06-03
24,0,0,338,2020-06-04
16,0,4,350,2020-06-05
0,0,0,350,2020-06-06
29,0,0,379,2020-06-07
5,0,0,384,2020-06-08
12,0,0,396,2020-06-09
0,0,0,396,2020-06-10
26,0,0,422,2020-06-11
