Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
3,0,0,3,2020-01-25
1,0,0,4,2020-01-26
0,0,0,4,2020-01-27
0,0,0,4,2020-01-28
3,0,0,7,2020-01-29
1,0,0,8,2020-01-30
0,0,0,8,2020-01-31
0,0,0,8,2020-02-01
0,0,0,8,2020-02-02
0,0,0,8,2020-02-03
2,0,0,10,2020-02-04
2,0,0,12,2020-02-05
0,0,0,12,2020-02-06
0,0,1,11,2020-02-07
4,0,0,15,2020-02-08
0,0,0,15,2020-02-09
2,0,0,17,2020-02-10
0,0,2,15,2020-02-11
0,0,0,15,2020-02-12
1,0,0,16,2020-02-13
0,0,0,16,2020-02-14
3,0,4,15,2020-02-15
0,0,0,15,2020-02-16
0,0,0,15,2020-02-17
0,0,6,9,2020-02-18
0,0,2,7,2020-02-19
0,0,0,7,2020-02-20
0,0,0,7,2020-02-21
0,0,0,7,2020-02-22
0,0,0,7,2020-02-23
0,0,3,4,2020-02-24
0,0,0,4,2020-02-25
0,0,0,4,2020-02-26
1,0,0,5,2020-02-27
0,0,0,5,2020-02-28
2,0,0,7,2020-02-29
4,0,0,11,2020-03-01
0,0,0,11,2020-03-02
7,0,4,14,2020-03-03
14,0,0,28,2020-03-04
0,0,0,28,2020-03-05
33,0,0,61,2020-03-06
10,0,1,70,2020-03-07
6,0,1,75,2020-03-08
18,0,0,93,2020-03-09
12,0,0,105,2020-03-10
20,0,2,123,2020-03-11
0,0,0,123,2020-03-12
48,0,0,171,2020-03-13
41,0,9,203,2020-03-14
190,0,7,386,2020-03-15
138,0,0,524,2020-03-16
107,2,7,622,2020-03-17
117,0,11,728,2020-03-18
110,0,15,823,2020-03-19
130,1,12,940,2020-03-20
153,1,27,1065,2020-03-21
123,6,25,1157,2020-03-22
212,4,0,1365,2020-03-23
106,2,44,1425,2020-03-24
172,4,16,1577,2020-03-25
235,3,16,1793,2020-03-26
130,3,44,1876,2020-03-27
159,1,61,1973,2020-03-28
150,8,68,2047,2020-03-29
156,2,91,2110,2020-03-30
140,6,58,2186,2020-03-31
142,2,108,2218,2020-04-01
208,5,122,2299,2020-04-02
217,3,60,2453,2020-04-03
150,4,88,2511,2020-04-04
179,4,90,2596,2020-04-05
131,1,236,2490,2020-04-06
170,1,80,2579,2020-04-07
156,2,166,2567,2020-04-08
109,2,121,2553,2020-04-09
118,3,222,2446,2020-04-10
184,3,165,2462,2020-04-11
153,3,113,2499,2020-04-12
134,1,168,2464,2020-04-13
170,5,202,2427,2020-04-14
85,1,169,2342,2020-04-15
110,1,119,2332,2020-04-16
69,2,201,2198,2020-04-17
54,2,135,2115,2020-04-18
84,1,95,2103,2020-04-19
36,0,98,2041,2020-04-20
57,3,54,2041,2020-04-21
50,1,103,1987,2020-04-22
71,2,90,1966,2020-04-23
88,1,121,1932,2020-04-24
51,2,99,1882,2020-04-25
38,0,100,1820,2020-04-26
40,1,95,1764,2020-04-27
31,1,75,1719,2020-04-28
94,0,55,1758,2020-04-29
57,2,84,1729,2020-04-30
69,1,39,1758,2020-05-01
105,0,116,1747,2020-05-02
122,2,87,1780,2020-05-03
55,0,71,1764,2020-05-04
30,1,83,1710,2020-05-05
45,1,135,1619,2020-05-06
39,0,74,1584,2020-05-07
68,0,88,1564,2020-05-08
54,1,65,1552,2020-05-09
67,0,96,1523,2020-05-10
70,1,88,1504,2020-05-11
16,0,110,1410,2020-05-12
37,2,58,1387,2020-05-13
40,1,70,1356,2020-05-14
36,0,88,1304,2020-05-15
17,1,73,1247,2020-05-16
22,0,59,1210,2020-05-17
47,0,44,1213,2020-05-18
37,1,31,1218,2020-05-19
31,0,60,1189,2020-05-20
50,0,90,1149,2020-05-21
78,1,63,1163,2020-05-22
48,0,53,1158,2020-05-23
60,0,33,1185,2020-05-24
172,0,34,1323,2020-05-25
187,0,62,1448,2020-05-26
15,0,42,1421,2020-05-27
10,0,86,1345,2020-05-28
103,0,66,1382,2020-05-29
30,0,95,1317,2020-05-30
57,0,23,1351,2020-05-31
38,0,51,1338,2020-06-01
20,0,66,1292,2020-06-02
93,0,61,1324,2020-06-03
277,0,28,1573,2020-06-04
19,1,51,1540,2020-06-05
37,1,25,1551,2020-06-06
