Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
4,0,0,4,2020-03-08
0,0,0,4,2020-03-09
2,0,0,6,2020-03-10
2,0,0,8,2020-03-11
0,0,0,8,2020-03-12
1,0,0,9,2020-03-13
1,0,0,10,2020-03-14
3,0,0,13,2020-03-15
0,0,0,13,2020-03-16
0,0,0,13,2020-03-17
0,0,0,13,2020-03-18
0,0,0,13,2020-03-19
0,0,0,13,2020-03-20
0,0,0,13,2020-03-21
0,0,0,13,2020-03-22
0,0,0,13,2020-03-23
0,0,5,8,2020-03-24
0,0,3,5,2020-03-25
0,0,0,5,2020-03-26
3,0,1,7,2020-03-27
0,0,0,7,2020-03-28
1,0,4,4,2020-03-29
0,0,0,4,2020-03-30
1,0,0,5,2020-03-31
1,0,0,6,2020-04-01
0,0,0,6,2020-04-02
0,0,0,6,2020-04-03
0,0,0,6,2020-04-04
0,0,0,6,2020-04-05
0,0,0,6,2020-04-06
0,0,0,6,2020-04-07
0,0,0,6,2020-04-08
0,0,0,6,2020-04-09
0,0,0,6,2020-04-10
0,0,0,6,2020-04-11
1,0,1,6,2020-04-12
0,0,0,6,2020-04-13
0,0,2,4,2020-04-14
2,0,0,6,2020-04-15
3,0,0,9,2020-04-16
3,0,0,12,2020-04-17
7,0,0,19,2020-04-18
17,0,0,36,2020-04-19
17,0,0,53,2020-04-20
14,0,0,67,2020-04-21
3,0,0,70,2020-04-22
22,0,0,92,2020-04-23
21,0,0,113,2020-04-24
48,0,1,160,2020-04-25
37,0,0,197,2020-04-26
12,0,0,209,2020-04-27
24,0,0,233,2020-04-28
28,1,0,260,2020-04-29
190,0,0,450,2020-04-30
23,0,0,473,2020-05-01
28,0,1,500,2020-05-02
8,0,0,508,2020-05-03
14,0,0,522,2020-05-04
32,1,2,551,2020-05-05
44,0,0,595,2020-05-06
31,1,0,625,2020-05-07
96,0,0,721,2020-05-08
46,0,9,758,2020-05-09
45,0,0,803,2020-05-10
62,0,0,865,2020-05-11
7,0,0,872,2020-05-12
51,1,11,911,2020-05-13
27,0,5,933,2020-05-14
49,0,4,978,2020-05-15
47,0,9,1016,2020-05-16
16,0,0,1032,2020-05-17
12,0,0,1044,2020-05-18
37,0,33,1048,2020-05-19
43,0,0,1091,2020-05-20
30,0,0,1121,2020-05-21
58,0,18,1161,2020-05-22
39,0,19,1181,2020-05-23
58,0,16,1223,2020-05-24
24,0,11,1236,2020-05-25
43,1,42,1236,2020-05-26
19,0,0,1255,2020-05-27
56,0,0,1311,2020-05-28
78,0,0,1389,2020-05-29
81,0,209,1261,2020-05-30
101,0,47,1315,2020-05-31
56,1,35,1335,2020-06-01
12,1,120,1226,2020-06-02
9,0,36,1199,2020-06-03
22,0,4,1217,2020-06-04
11,0,69,1159,2020-06-05
18,1,46,1130,2020-06-06
2,0,64,1068,2020-06-07
13,0,98,983,2020-06-08
26,0,85,924,2020-06-09
