Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
0,0,0,0,2020-03-14
0,0,0,0,2020-03-15
0,0,0,0,2020-03-16
0,0,0,0,2020-03-17
0,0,0,0,2020-03-18
0,0,0,0,2020-03-19
0,0,0,0,2020-03-20
0,0,0,0,2020-03-21
0,0,0,0,2020-03-22
0,0,0,0,2020-03-23
0,0,0,0,2020-03-24
2,0,0,2,2020-03-25
2,0,0,4,2020-03-26
7,0,0,11,2020-03-27
7,0,0,18,2020-03-28
0,1,0,17,2020-03-29
7,1,0,23,2020-03-30
3,0,0,26,2020-03-31
3,1,0,28,2020-04-01
5,0,0,33,2020-04-02
3,0,0,36,2020-04-03
2,0,1,37,2020-04-04
4,2,0,39,2020-04-05
2,0,8,33,2020-04-06
9,0,3,39,2020-04-07
3,2,4,36,2020-04-08
15,0,6,45,2020-04-09
13,0,0,58,2020-04-10
0,0,0,58,2020-04-11
18,2,0,74,2020-04-12
18,1,4,87,2020-04-13
21,3,8,97,2020-04-14
4,0,0,101,2020-04-15
23,0,0,124,2020-04-16
0,0,0,124,2020-04-17
45,0,7,162,2020-04-18
8,1,1,168,2020-04-19
22,0,14,176,2020-04-20
12,0,1,187,2020-04-21
35,3,16,203,2020-04-22
16,4,4,211,2020-04-23
16,0,10,217,2020-04-24
45,0,4,258,2020-04-25
19,2,21,254,2020-04-26
19,0,1,272,2020-04-27
16,1,9,278,2020-04-28
58,1,7,328,2020-04-29
8,1,6,329,2020-04-30
18,0,61,286,2020-05-01
36,0,10,312,2020-05-02
19,1,7,323,2020-05-03
17,2,10,328,2020-05-04
32,3,5,352,2020-05-05
19,0,33,338,2020-05-06
19,0,10,347,2020-05-07
18,3,14,348,2020-05-08
24,2,13,357,2020-05-09
12,1,53,315,2020-05-10
8,1,26,296,2020-05-11
18,1,21,292,2020-05-12
28,4,14,302,2020-05-13
21,2,24,297,2020-05-14
27,0,19,305,2020-05-15
29,2,24,308,2020-05-16
25,4,15,314,2020-05-17
14,0,18,310,2020-05-18
27,1,17,319,2020-05-19
30,2,14,333,2020-05-20
16,5,15,329,2020-05-21
22,2,2,347,2020-05-22
46,1,14,378,2020-05-23
15,2,23,368,2020-05-24
29,2,7,388,2020-05-25
18,3,13,390,2020-05-26
39,0,15,414,2020-05-27
78,2,20,470,2020-05-28
32,1,17,484,2020-05-29
24,3,27,478,2020-05-30
15,1,20,472,2020-05-31
50,1,28,493,2020-06-01
36,0,25,504,2020-06-02
35,1,19,519,2020-06-03
75,6,18,570,2020-06-04
24,2,10,582,2020-06-05
38,3,29,588,2020-06-06
10,0,28,570,2020-06-07
14,2,43,539,2020-06-08
39,2,15,561,2020-06-09
81,2,17,623,2020-06-10
55,1,41,636,2020-06-11
