Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
1,0,0,1,2020-03-14
0,0,0,1,2020-03-15
0,0,0,1,2020-03-16
0,0,0,1,2020-03-17
0,0,0,1,2020-03-18
1,0,0,2,2020-03-19
0,0,0,2,2020-03-20
0,0,0,2,2020-03-21
0,0,0,2,2020-03-22
0,0,0,2,2020-03-23
0,0,0,2,2020-03-24
0,0,0,2,2020-03-25
1,0,0,3,2020-03-26
0,0,0,3,2020-03-27
2,0,0,5,2020-03-28
0,0,2,3,2020-03-29
0,1,0,2,2020-03-30
1,0,0,3,2020-03-31
0,0,0,3,2020-04-01
0,0,0,3,2020-04-02
0,0,0,3,2020-04-03
0,0,0,3,2020-04-04
0,0,0,3,2020-04-05
0,0,0,3,2020-04-06
0,0,0,3,2020-04-07
0,0,0,3,2020-04-08
1,0,0,4,2020-04-09
0,0,0,4,2020-04-10
0,0,0,4,2020-04-11
0,0,0,4,2020-04-12
0,0,0,4,2020-04-13
0,0,0,4,2020-04-14
0,0,0,4,2020-04-15
0,0,0,4,2020-04-16
0,0,0,4,2020-04-17
0,0,0,4,2020-04-18
0,0,4,0,2020-04-19
0,0,0,0,2020-04-20
0,0,0,0,2020-04-21
0,0,0,0,2020-04-22
0,0,0,0,2020-04-23
0,0,0,0,2020-04-24
0,0,0,0,2020-04-25
0,0,0,0,2020-04-26
0,0,0,0,2020-04-27
0,0,0,0,2020-04-28
1,0,0,1,2020-04-29
0,0,0,1,2020-04-30
0,0,0,1,2020-05-01
0,0,0,1,2020-05-02
0,0,0,1,2020-05-03
0,0,0,1,2020-05-04
0,0,0,1,2020-05-05
0,0,0,1,2020-05-06
0,0,0,1,2020-05-07
0,0,0,1,2020-05-08
0,0,0,1,2020-05-09
0,0,0,1,2020-05-10
0,0,0,1,2020-05-11
1,0,0,2,2020-05-12
6,1,0,7,2020-05-13
5,0,1,11,2020-05-14
9,1,0,19,2020-05-15
11,1,0,29,2020-05-16
22,0,0,51,2020-05-17
19,0,0,70,2020-05-18
50,0,0,120,2020-05-19
10,0,0,130,2020-05-20
32,1,0,161,2020-05-21
27,1,0,187,2020-05-22
27,0,0,214,2020-05-23
10,0,8,216,2020-05-24
25,3,0,238,2020-05-25
6,4,0,240,2020-05-26
24,3,0,261,2020-05-27
54,3,0,312,2020-05-28
77,1,6,382,2020-05-29
60,0,0,442,2020-05-30
47,3,6,480,2020-05-31
58,0,0,538,2020-06-01
80,8,28,582,2020-06-02
77,3,2,654,2020-06-03
39,5,8,680,2020-06-04
99,4,4,771,2020-06-05
64,6,35,794,2020-06-06
102,6,4,886,2020-06-07
55,4,11,926,2020-06-08
58,2,20,962,2020-06-09
121,10,3,1070,2020-06-10
156,3,108,1115,2020-06-11
