Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
1,0,0,1,2020-02-28
3,0,0,4,2020-02-29
1,0,0,5,2020-03-01
0,0,0,5,2020-03-02
0,0,1,4,2020-03-03
0,0,0,4,2020-03-04
0,0,0,4,2020-03-05
1,0,0,5,2020-03-06
0,0,0,5,2020-03-07
1,0,0,6,2020-03-08
0,0,0,6,2020-03-09
0,0,3,3,2020-03-10
1,0,0,4,2020-03-11
4,0,0,8,2020-03-12
14,0,0,22,2020-03-13
15,0,0,37,2020-03-14
12,0,0,49,2020-03-15
29,0,0,78,2020-03-16
11,0,0,89,2020-03-17
25,0,0,114,2020-03-18
46,1,0,159,2020-03-19
39,1,0,197,2020-03-20
48,0,0,245,2020-03-21
65,1,0,309,2020-03-22
51,1,0,359,2020-03-23
38,1,0,396,2020-03-24
70,1,0,465,2020-03-25
110,2,0,573,2020-03-26
132,4,0,701,2020-03-27
131,4,0,828,2020-03-28
145,4,0,969,2020-03-29
101,8,31,1031,2020-03-30
121,1,0,1151,2020-03-31
163,8,0,1306,2020-04-01
132,13,0,1425,2020-04-02
178,10,598,995,2020-04-03
202,19,0,1178,2020-04-04
253,15,0,1416,2020-04-05
296,31,0,1681,2020-04-06
346,16,0,2011,2020-04-07
396,33,0,2374,2020-04-08
260,20,0,2614,2020-04-09
403,39,0,2978,2020-04-10
375,40,0,3313,2020-04-11
442,23,1139,2593,2020-04-12
353,36,71,2839,2020-04-13
385,74,121,3029,2020-04-14
448,43,161,3273,2020-04-15
450,37,0,3686,2020-04-16
578,60,0,4204,2020-04-17
622,104,0,4722,2020-04-18
764,36,502,4948,2020-04-19
511,26,0,5433,2020-04-20
729,145,0,6017,2020-04-21
1043,113,0,6947,2020-04-22
1089,99,0,7937,2020-04-23
1239,152,0,9024,2020-04-24
970,84,4522,5388,2020-04-25
835,46,1205,4972,2020-04-26
852,83,732,5009,2020-04-27
1223,135,2337,3760,2020-04-28
1047,163,0,4644,2020-04-29
1425,127,0,5942,2020-04-30
1515,113,954,6390,2020-05-01
1349,89,0,7650,2020-05-02
1383,93,1070,7870,2020-05-03
1434,117,0,9187,2020-05-04
1120,236,3363,6708,2020-05-05
1609,197,971,7149,2020-05-06
1982,257,0,8874,2020-05-07
1906,199,2533,8048,2020-05-08
1938,193,1510,8283,2020-05-09
1562,112,0,9733,2020-05-10
1305,108,1276,9654,2020-05-11
1997,353,2835,8463,2020-05-12
1862,294,1055,8976,2020-05-13
2409,257,1485,9643,2020-05-14
2437,290,1976,9814,2020-05-15
2112,278,1397,10251,2020-05-16
2075,132,1481,10713,2020-05-17
2414,155,2059,10913,2020-05-18
2713,334,1937,11355,2020-05-19
2248,424,1094,12085,2020-05-20
2973,420,1733,12905,2020-05-21
2960,479,2039,13347,2020-05-22
3329,190,2233,14253,2020-05-23
2764,215,2555,14247,2020-05-24
2485,239,2473,14020,2020-05-25
3455,501,2256,14718,2020-05-26
3463,463,2126,15592,2020-05-27
3377,447,2207,16315,2020-05-28
3227,371,2962,16209,2020-05-29
2885,364,2244,16486,2020-05-30
3152,151,2525,16962,2020-05-31
2771,237,3193,16303,2020-06-01
3891,470,2784,16940,2020-06-02
