Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
1,0,0,1,2020-03-08
0,0,0,1,2020-03-09
2,0,0,3,2020-03-10
0,0,0,3,2020-03-11
0,0,0,3,2020-03-12
3,0,0,6,2020-03-13
6,0,0,12,2020-03-14
11,0,0,23,2020-03-15
0,0,0,23,2020-03-16
7,0,1,29,2020-03-17
0,1,0,28,2020-03-18
19,0,0,47,2020-03-19
17,0,0,64,2020-03-20
14,0,0,78,2020-03-21
14,0,0,92,2020-03-22
15,0,0,107,2020-03-23
16,0,1,122,2020-03-24
24,0,0,146,2020-03-25
28,0,0,174,2020-03-26
22,1,0,195,2020-03-27
32,0,0,227,2020-03-28
32,0,0,259,2020-03-29
35,0,13,281,2020-03-30
55,2,3,331,2020-03-31
70,1,5,395,2020-04-01
82,1,0,476,2020-04-02
86,2,3,557,2020-04-03
161,4,3,711,2020-04-04
112,3,1,819,2020-04-05
101,4,7,909,2020-04-06
91,3,3,994,2020-04-07
118,5,0,1107,2020-04-08
115,2,10,1210,2020-04-09
149,0,6,1353,2020-04-10
122,1,19,1455,2020-04-11
102,1,19,1537,2020-04-12
50,4,13,1570,2020-04-13
222,5,27,1760,2020-04-14
115,6,37,1832,2020-04-15
105,8,64,1865,2020-04-16
110,2,41,1932,2020-04-17
114,1,115,1930,2020-04-18
94,10,66,1948,2020-04-19
76,3,0,2021,2020-04-20
66,2,48,2037,2020-04-21
164,3,55,2143,2020-04-22
148,5,101,2185,2020-04-23
184,4,94,2271,2020-04-24
194,10,70,2385,2020-04-25
104,2,70,2417,2020-04-26
73,6,30,2454,2020-04-27
157,1,50,2560,2020-04-28
133,8,139,2546,2020-04-29
126,5,68,2599,2020-04-30
83,6,90,2586,2020-05-01
72,2,62,2594,2020-05-02
69,1,48,2614,2020-05-03
127,7,41,2693,2020-05-04
115,4,121,2683,2020-05-05
113,7,114,2675,2020-05-06
129,2,89,2713,2020-05-07
123,5,79,2752,2020-05-08
139,11,99,2781,2020-05-09
60,8,33,2800,2020-05-10
68,6,22,2840,2020-05-11
159,7,89,2903,2020-05-12
252,3,107,3045,2020-05-13
147,9,52,3131,2020-05-14
192,8,0,3315,2020-05-15
189,5,116,3383,2020-05-16
126,4,0,3505,2020-05-17
78,6,81,3496,2020-05-18
202,4,83,3611,2020-05-19
213,7,445,3372,2020-05-20
151,5,0,3518,2020-05-21
143,4,416,3241,2020-05-22
147,5,83,3300,2020-05-23
99,8,261,3130,2020-05-24
54,11,89,3084,2020-05-25
158,6,82,3154,2020-05-26
232,7,0,3379,2020-05-27
188,8,239,3320,2020-05-28
171,6,155,3330,2020-05-29
202,3,177,3352,2020-05-30
153,4,126,3375,2020-05-31
109,10,41,3433,2020-06-01
188,2,116,3503,2020-06-02
247,3,125,3622,2020-06-03
223,5,146,3694,2020-06-04
229,8,231,3684,2020-06-05
264,8,210,3730,2020-06-06
189,10,188,3721,2020-06-07
