Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
1,0,0,1,2020-02-29
0,0,0,1,2020-03-01
0,0,0,1,2020-03-02
0,0,0,1,2020-03-03
0,0,0,1,2020-03-04
0,0,0,1,2020-03-05
0,0,0,1,2020-03-06
0,0,0,1,2020-03-07
0,0,0,1,2020-03-08
0,0,0,1,2020-03-09
0,0,0,1,2020-03-10
0,0,0,1,2020-03-11
1,0,0,2,2020-03-12
0,0,0,2,2020-03-13
0,0,0,2,2020-03-14
0,0,0,2,2020-03-15
5,0,0,7,2020-03-16
0,0,0,7,2020-03-17
0,0,0,7,2020-03-18
0,0,0,7,2020-03-19
4,0,0,11,2020-03-20
0,0,0,11,2020-03-21
12,0,1,22,2020-03-22
0,0,0,22,2020-03-23
0,0,0,22,2020-03-24
8,0,0,30,2020-03-25
2,0,0,32,2020-03-26
9,0,0,41,2020-03-27
0,0,0,41,2020-03-28
4,1,0,44,2020-03-29
3,0,0,47,2020-03-30
3,0,1,49,2020-03-31
3,0,0,52,2020-04-01
5,0,0,57,2020-04-02
4,0,1,60,2020-04-03
2,0,0,62,2020-04-04
7,0,0,69,2020-04-05
4,0,1,72,2020-04-06
2,0,0,74,2020-04-07
2,0,0,76,2020-04-08
3,0,1,78,2020-04-09
6,0,0,84,2020-04-10
2,0,0,86,2020-04-11
1,0,1,86,2020-04-12
0,0,0,86,2020-04-13
0,0,0,86,2020-04-14
0,2,6,78,2020-04-15
0,0,0,78,2020-04-16
1,0,8,71,2020-04-17
0,0,2,69,2020-04-18
0,0,0,69,2020-04-19
0,0,1,68,2020-04-20
0,0,3,65,2020-04-21
0,0,0,65,2020-04-22
0,1,9,55,2020-04-23
0,0,6,49,2020-04-24
0,0,1,48,2020-04-25
0,0,0,48,2020-04-26
1,0,0,49,2020-04-27
0,0,8,41,2020-04-28
0,0,8,33,2020-04-29
0,0,6,27,2020-04-30
0,0,9,18,2020-05-01
0,0,5,13,2020-05-02
0,0,0,13,2020-05-03
0,0,0,13,2020-05-04
0,0,3,10,2020-05-05
0,0,1,9,2020-05-06
0,0,0,9,2020-05-07
0,0,0,9,2020-05-08
1,0,0,10,2020-05-09
0,0,0,10,2020-05-10
0,0,3,7,2020-05-11
0,0,0,7,2020-05-12
0,0,2,5,2020-05-13
0,0,0,5,2020-05-14
0,0,0,5,2020-05-15
0,0,0,5,2020-05-16
0,0,0,5,2020-05-17
1,0,0,6,2020-05-18
0,0,0,6,2020-05-19
0,0,3,3,2020-05-20
0,0,0,3,2020-05-21
0,0,0,3,2020-05-22
1,0,0,4,2020-05-23
0,0,0,4,2020-05-24
0,0,0,4,2020-05-25
0,0,0,4,2020-05-26
0,0,0,4,2020-05-27
0,0,0,4,2020-05-28
0,0,0,4,2020-05-29
1,0,0,5,2020-05-30
0,0,0,5,2020-05-31
0,0,0,5,2020-06-01
0,0,0,5,2020-06-02
0,0,0,5,2020-06-03
0,0,2,3,2020-06-04
0,0,1,2,2020-06-05
0,0,0,2,2020-06-06
0,0,0,2,2020-06-07
0,0,0,2,2020-06-08
0,0,0,2,2020-06-09
0,0,0,2,2020-06-10
0,0,0,2,2020-06-11
