Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
0,0,0,0,2020-03-14
0,0,0,0,2020-03-15
0,0,0,0,2020-03-16
2,0,0,2,2020-03-17
0,0,0,2,2020-03-18
1,0,0,3,2020-03-19
11,0,0,14,2020-03-20
0,0,0,14,2020-03-21
7,0,0,21,2020-03-22
6,1,0,26,2020-03-23
20,0,0,46,2020-03-24
5,0,0,51,2020-03-25
17,0,0,68,2020-03-26
13,0,0,81,2020-03-27
2,0,0,83,2020-03-28
1,0,0,84,2020-03-29
6,0,0,90,2020-03-30
18,1,0,107,2020-03-31
14,0,0,121,2020-04-01
21,0,0,142,2020-04-02
30,0,1,171,2020-04-03
27,0,0,198,2020-04-04
13,0,0,211,2020-04-05
19,0,0,230,2020-04-06
8,0,3,235,2020-04-07
7,0,0,242,2020-04-08
4,0,0,246,2020-04-09
3,0,0,249,2020-04-10
8,0,1,256,2020-04-11
9,1,0,264,2020-04-12
2,0,0,266,2020-04-13
9,1,41,233,2020-04-14
5,0,9,229,2020-04-15
15,0,0,244,2020-04-16
0,1,0,243,2020-04-17
4,0,0,247,2020-04-18
1,0,0,248,2020-04-19
4,0,33,219,2020-04-20
1,0,13,207,2020-04-21
2,0,15,194,2020-04-22
1,0,7,188,2020-04-23
3,1,0,190,2020-04-24
1,0,30,161,2020-04-25
1,1,0,161,2020-04-26
0,0,36,125,2020-04-27
0,0,10,115,2020-04-28
1,0,4,112,2020-04-29
0,0,11,101,2020-04-30
0,0,19,82,2020-05-01
0,1,12,69,2020-05-02
0,0,4,65,2020-05-03
1,0,4,62,2020-05-04
1,0,0,63,2020-05-05
0,0,8,55,2020-05-06
0,0,4,51,2020-05-07
0,0,2,49,2020-05-08
0,0,7,42,2020-05-09
0,1,16,25,2020-05-10
0,0,4,21,2020-05-11
0,0,4,17,2020-05-12
0,0,9,8,2020-05-13
0,0,2,6,2020-05-14
0,0,2,4,2020-05-15
0,0,0,4,2020-05-16
0,0,0,4,2020-05-17
0,0,0,4,2020-05-18
0,0,1,3,2020-05-19
0,0,0,3,2020-05-20
0,0,2,1,2020-05-21
0,0,0,1,2020-05-22
0,0,0,1,2020-05-23
0,0,1,0,2020-05-24
0,0,0,0,2020-05-25
0,0,0,0,2020-05-26
0,0,0,0,2020-05-27
0,0,0,0,2020-05-28
0,0,0,0,2020-05-29
0,0,0,0,2020-05-30
0,0,0,0,2020-05-31
0,0,0,0,2020-06-01
0,0,0,0,2020-06-02
0,0,0,0,2020-06-03
0,0,0,0,2020-06-04
0,0,0,0,2020-06-05
0,0,0,0,2020-06-06
0,0,0,0,2020-06-07
0,0,0,0,2020-06-08
0,0,0,0,2020-06-09
0,0,0,0,2020-06-10
0,0,0,0,2020-06-11
