Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
0,0,0,0,2020-03-14
0,0,0,0,2020-03-15
0,0,0,0,2020-03-16
0,0,0,0,2020-03-17
0,0,0,0,2020-03-18
0,0,0,0,2020-03-19
0,0,0,0,2020-03-20
0,0,0,0,2020-03-21
1,0,0,1,2020-03-22
0,0,0,1,2020-03-23
2,0,0,3,2020-03-24
2,0,0,5,2020-03-25
2,0,0,7,2020-03-26
0,0,0,7,2020-03-27
1,0,0,8,2020-03-28
0,0,0,8,2020-03-29
0,0,0,8,2020-03-30
0,0,0,8,2020-03-31
2,0,0,10,2020-04-01
0,0,0,10,2020-04-02
0,0,0,10,2020-04-03
0,0,1,9,2020-04-04
0,0,0,9,2020-04-05
0,0,0,9,2020-04-06
0,0,0,9,2020-04-07
7,0,0,16,2020-04-08
0,0,0,16,2020-04-09
3,0,1,18,2020-04-10
0,0,0,18,2020-04-11
1,0,0,19,2020-04-12
0,0,0,19,2020-04-13
7,0,0,26,2020-04-14
1,0,0,27,2020-04-15
2,0,0,29,2020-04-16
3,0,0,32,2020-04-17
1,0,2,31,2020-04-18
4,0,4,31,2020-04-19
0,0,0,31,2020-04-20
0,0,0,31,2020-04-21
2,0,0,33,2020-04-22
5,0,1,37,2020-04-23
19,0,3,53,2020-04-24
5,0,0,58,2020-04-25
6,0,0,64,2020-04-26
0,0,0,64,2020-04-27
0,0,0,64,2020-04-28
0,0,0,64,2020-04-29
0,0,0,64,2020-04-30
3,0,0,67,2020-05-01
0,0,6,61,2020-05-02
1,0,1,61,2020-05-03
0,0,0,61,2020-05-04
1,0,0,62,2020-05-05
0,0,2,60,2020-05-06
0,0,3,57,2020-05-07
1,0,3,55,2020-05-08
5,0,7,53,2020-05-09
4,0,0,57,2020-05-10
12,0,0,69,2020-05-11
1,0,0,70,2020-05-12
0,0,0,70,2020-05-13
11,0,1,80,2020-05-14
4,0,7,77,2020-05-15
10,0,1,86,2020-05-16
8,0,1,93,2020-05-17
8,0,0,101,2020-05-18
1,0,0,102,2020-05-19
10,0,4,108,2020-05-20
6,0,0,114,2020-05-21
2,0,0,116,2020-05-22
4,0,0,120,2020-05-23
26,0,3,143,2020-05-24
15,1,20,137,2020-05-25
4,0,0,141,2020-05-26
14,0,0,155,2020-05-27
6,1,11,149,2020-05-28
1,0,2,148,2020-05-29
10,0,6,152,2020-05-30
10,0,1,161,2020-05-31
0,0,6,155,2020-06-01
53,0,1,207,2020-06-02
9,0,11,205,2020-06-03
36,0,5,236,2020-06-04
2,0,5,233,2020-06-05
55,0,7,281,2020-06-06
15,0,1,295,2020-06-07
9,0,4,300,2020-06-08
20,0,5,315,2020-06-09
19,0,2,332,2020-06-10
17,0,6,343,2020-06-11
