Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
0,0,0,0,2020-03-14
0,0,0,0,2020-03-15
0,0,0,0,2020-03-16
0,0,0,0,2020-03-17
0,0,0,0,2020-03-18
0,0,0,0,2020-03-19
0,0,0,0,2020-03-20
0,0,0,0,2020-03-21
0,0,0,0,2020-03-22
0,0,0,0,2020-03-23
0,0,0,0,2020-03-24
0,0,0,0,2020-03-25
0,0,0,0,2020-03-26
8,0,0,8,2020-03-27
0,0,0,8,2020-03-28
2,0,0,10,2020-03-29
4,0,0,14,2020-03-30
1,1,0,14,2020-03-31
0,0,0,14,2020-04-01
5,0,0,19,2020-04-02
0,0,0,19,2020-04-03
1,0,0,20,2020-04-04
0,0,0,20,2020-04-05
1,0,0,21,2020-04-06
0,0,0,21,2020-04-07
0,2,0,19,2020-04-08
1,0,2,18,2020-04-09
4,0,0,22,2020-04-10
11,0,0,33,2020-04-11
3,1,0,35,2020-04-12
21,0,0,56,2020-04-13
1,0,0,57,2020-04-14
11,0,0,68,2020-04-15
11,0,0,79,2020-04-16
3,0,3,79,2020-04-17
10,1,0,88,2020-04-18
13,0,2,99,2020-04-19
8,0,0,107,2020-04-20
2,0,0,109,2020-04-21
2,0,0,111,2020-04-22
16,0,2,125,2020-04-23
5,0,0,130,2020-04-24
2,0,1,131,2020-04-25
0,0,0,131,2020-04-26
0,0,6,125,2020-04-27
4,0,0,129,2020-04-28
0,1,11,117,2020-04-29
1,0,0,118,2020-04-30
0,0,4,114,2020-05-01
0,0,6,108,2020-05-02
4,0,6,106,2020-05-03
6,0,6,106,2020-05-04
0,0,0,106,2020-05-05
0,0,1,105,2020-05-06
15,0,12,108,2020-05-07
1,0,5,104,2020-05-08
1,0,1,104,2020-05-09
2,0,4,102,2020-05-10
0,0,2,100,2020-05-11
0,0,2,98,2020-05-12
1,0,3,96,2020-05-13
0,0,5,91,2020-05-14
1,0,5,87,2020-05-15
0,0,7,80,2020-05-16
2,0,1,81,2020-05-17
7,0,4,84,2020-05-18
2,0,3,83,2020-05-19
6,0,4,85,2020-05-20
0,0,0,85,2020-05-21
0,0,8,77,2020-05-22
2,0,4,75,2020-05-23
0,0,2,73,2020-05-24
2,0,1,74,2020-05-25
3,0,1,76,2020-05-26
0,0,2,74,2020-05-27
0,0,0,74,2020-05-28
1,0,4,71,2020-05-29
17,0,0,88,2020-05-30
0,0,8,80,2020-05-31
4,0,0,84,2020-06-01
4,0,5,83,2020-06-02
1,0,2,82,2020-06-03
3,0,3,82,2020-06-04
0,0,3,79,2020-06-05
4,0,5,78,2020-06-06
2,0,0,80,2020-06-07
2,0,3,79,2020-06-08
2,0,0,81,2020-06-09
2,0,6,77,2020-06-10
12,0,0,89,2020-06-11
