Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
1,0,0,1,2020-01-25
0,0,0,1,2020-01-26
0,0,0,1,2020-01-27
0,0,0,1,2020-01-28
0,0,0,1,2020-01-29
0,0,0,1,2020-01-30
0,0,0,1,2020-01-31
0,0,0,1,2020-02-01
0,0,0,1,2020-02-02
0,0,0,1,2020-02-03
0,0,0,1,2020-02-04
0,0,0,1,2020-02-05
0,0,0,1,2020-02-06
0,0,0,1,2020-02-07
0,0,0,1,2020-02-08
0,0,0,1,2020-02-09
0,0,0,1,2020-02-10
0,0,0,1,2020-02-11
0,0,1,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
0,0,0,0,2020-03-14
0,0,0,0,2020-03-15
0,0,0,0,2020-03-16
0,0,0,0,2020-03-17
0,0,0,0,2020-03-18
0,0,0,0,2020-03-19
0,0,0,0,2020-03-20
0,0,0,0,2020-03-21
0,0,0,0,2020-03-22
1,0,0,1,2020-03-23
0,0,0,1,2020-03-24
1,0,0,2,2020-03-25
0,0,0,2,2020-03-26
1,0,0,3,2020-03-27
1,0,0,4,2020-03-28
0,0,0,4,2020-03-29
0,0,0,4,2020-03-30
0,0,0,4,2020-03-31
0,0,0,4,2020-04-01
1,0,0,5,2020-04-02
0,0,0,5,2020-04-03
3,0,0,8,2020-04-04
0,0,0,8,2020-04-05
0,0,0,8,2020-04-06
0,0,0,8,2020-04-07
0,0,0,8,2020-04-08
0,0,0,8,2020-04-09
0,0,0,8,2020-04-10
0,0,0,8,2020-04-11
3,0,0,11,2020-04-12
2,0,0,13,2020-04-13
2,0,0,15,2020-04-14
0,0,0,15,2020-04-15
0,0,1,14,2020-04-16
14,0,0,28,2020-04-17
1,0,0,29,2020-04-18
0,0,2,27,2020-04-19
0,0,0,27,2020-04-20
12,0,0,39,2020-04-21
2,0,3,38,2020-04-22
3,0,3,38,2020-04-23
1,0,1,38,2020-04-24
0,0,1,37,2020-04-25
3,0,4,36,2020-04-26
0,0,0,36,2020-04-27
2,0,0,38,2020-04-28
3,0,0,41,2020-04-29
0,0,0,41,2020-04-30
2,0,0,43,2020-05-01
0,0,0,43,2020-05-02
16,0,0,59,2020-05-03
0,0,0,59,2020-05-04
7,0,0,66,2020-05-05
17,0,6,77,2020-05-06
2,0,0,79,2020-05-07
1,0,9,71,2020-05-08
8,0,0,79,2020-05-09
0,0,0,79,2020-05-10
24,0,2,101,2020-05-11
83,0,0,184,2020-05-12
33,0,2,215,2020-05-13
-1,0,0,214,2020-05-14
18,0,1,231,2020-05-15
24,1,0,254,2020-05-16
4,1,0,257,2020-05-17
80,0,0,337,2020-05-18
27,0,1,363,2020-05-19
25,0,8,380,2020-05-20
30,1,4,405,2020-05-21
59,0,21,443,2020-05-22
68,0,0,511,2020-05-23
19,0,17,513,2020-05-24
79,1,25,566,2020-05-25
90,0,43,613,2020-05-26
114,0,28,699,2020-05-27
156,1,4,850,2020-05-28
170,1,19,1000,2020-05-29
189,0,13,1176,2020-05-30
171,2,1,1344,2020-05-31
239,0,1,1582,2020-06-01
288,0,45,1825,2020-06-02
201,1,12,2013,2020-06-03
334,1,12,2334,2020-06-04
278,1,43,2568,2020-06-05
323,2,32,2857,2020-06-06
213,0,102,2968,2020-06-07
314,1,21,3260,2020-06-08
324,1,96,3487,2020-06-09
278,0,90,3675,2020-06-10
