Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
1,0,0,1,2020-02-27
0,0,0,1,2020-02-28
5,0,0,6,2020-02-29
4,0,0,10,2020-03-01
8,0,0,18,2020-03-02
6,0,0,24,2020-03-03
14,0,0,38,2020-03-04
44,0,0,82,2020-03-05
46,1,0,127,2020-03-06
60,0,0,187,2020-03-07
77,2,0,262,2020-03-08
56,0,0,318,2020-03-09
61,1,0,378,2020-03-10
121,1,0,498,2020-03-11
0,0,0,498,2020-03-12
303,5,0,796,2020-03-13
156,2,0,950,2020-03-14
176,8,0,1118,2020-03-15
278,4,0,1392,2020-03-16
295,19,0,1668,2020-03-17
347,15,0,2000,2020-03-18
409,19,0,2390,2020-03-19
536,30,0,2896,2020-03-20
637,30,0,3503,2020-03-21
577,43,0,4037,2020-03-22
547,34,0,4550,2020-03-23
816,63,1,5302,2020-03-24
858,80,0,6080,2020-03-25
1030,78,2,7030,2020-03-26
1179,112,0,8097,2020-03-27
1172,93,0,9176,2020-03-28
1111,132,0,10155,2020-03-29
887,93,0,10949,2020-03-30
850,175,0,11624,2020-03-31
1029,135,7,12511,2020-04-01
1092,166,0,13437,2020-04-02
1033,149,0,14321,2020-04-03
906,166,2,15059,2020-04-04
1226,115,-5,16175,2020-04-05
973,103,1,17044,2020-04-06
783,234,14,17579,2020-04-07
973,147,0,18405,2020-04-08
1221,148,6,19472,2020-04-09
1346,117,9,20692,2020-04-10
1322,133,4,21877,2020-04-11
1175,94,4,22954,2020-04-12
964,86,0,23832,2020-04-13
870,122,2,24578,2020-04-14
736,190,7,25117,2020-04-15
1067,182,7,25995,2020-04-16
1236,144,4,27083,2020-04-17
1147,142,2,28086,2020-04-18
1072,84,5,29069,2020-04-19
750,67,0,29752,2020-04-20
729,165,2,30314,2020-04-21
715,139,27,30863,2020-04-22
889,124,0,31628,2020-04-23
808,112,1,32323,2020-04-24
655,120,0,32858,2020-04-25
656,67,15,33432,2020-04-26
400,43,0,33789,2020-04-27
172,48,0,33913,2020-04-28
386,145,2,34152,2020-04-29
514,84,6,34576,2020-04-30
477,98,13,34942,2020-05-01
445,94,0,35293,2020-05-02
335,69,0,35559,2020-05-03
199,26,0,35732,2020-05-04
318,87,1,35962,2020-05-05
232,36,7,36151,2020-05-06
455,85,1,36520,2020-05-07
319,71,0,36768,2020-05-08
289,64,2,36991,2020-05-09
245,18,0,37218,2020-05-10
161,16,0,37363,2020-05-11
196,54,0,37505,2020-05-12
227,52,8,37672,2020-05-13
270,28,2,37912,2020-05-14
200,53,0,38059,2020-05-15
190,27,8,38214,2020-05-16
125,10,0,38329,2020-05-17
146,14,0,38461,2020-05-18
108,21,0,38548,2020-05-19
198,33,2,38711,2020-05-20
253,27,0,38937,2020-05-21
188,13,5,39107,2020-05-22
177,23,0,39261,2020-05-23
172,11,0,39422,2020-05-24
210,8,0,39624,2020-05-25
133,26,0,39731,2020-05-26
190,15,3,39903,2020-05-27
182,32,1,40052,2020-05-28
176,28,0,40200,2020-05-29
132,20,0,40312,2020-05-30
185,5,0,40492,2020-05-31
104,6,1,40589,2020-06-01
103,5,1,40686,2020-06-02
87,10,0,40763,2020-06-03
209,13,0,40959,2020-06-04
